,State,PC No.,PC Name,Category,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
0,Andhra Pradesh,1,Srikakulam,GEN,Viswanatham Kanithi,M,INC,288263,Appayyadora Hanumanthu,M,TDP,238149
1,Andhra Pradesh,2,Parvathipuram,(ST),Vijayaramaraju Satrucharla,M,INC,284228,Kishorechandra Suryanarayana Deo Vyricherla,M,ICS(SCS),241587
2,Andhra Pradesh,3,Bobbili,GEN,Komburi Ram Mohan Rao,M,TDP,325809,Anand Gajapathi Raju Poosapati,M,INC,285865
3,Andhra Pradesh,4,Visakhapatnam,GEN,Uma Gajapathi Raju Poosapati,F,INC,352326,M.V.V.S. Murthy,M,TDP,326593
4,Andhra Pradesh,5,Bhadrachalam,(ST),Kariyeddula Kamala Kumari,F,INC,270648,Ramaith Sode,M,CPI,246662
5,Andhra Pradesh,6,Anakapalli,GEN,Konathala Ramakrishna,M,INC,299109,Appalanarasimham,M,TDP,299100
6,Andhra Pradesh,7,Kakinada,GEN,Mallipudi Mangapathi Pallamraju,M,INC,383681,Thota Gopala Krishna,M,TDP,300698
7,Andhra Pradesh,8,Rajahmundry,GEN,Jamuna,F,INC,386314,Chundru Srihari,M,TDP,327992
8,Andhra Pradesh,9,Amalapuram,(SC),Kusuma Krishna Murty,M,INC,339419,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,M,TDP,284638
9,Andhra Pradesh,10,Narsapuram,GEN,Bhupatiraju Vijaya Kumar Raju,M,TDP,334215,Nachu Seshagiri Rao,M,INC,320413
10,Andhra Pradesh,11,Eluru,GEN,Krishana,M,INC,410708,Bolla Bulli Ramalah,M,TDP,339301
11,Andhra Pradesh,12,Machilipatnam,GEN,Sambasivarao Kavuri,M,INC,354533,Boppana Gangadhara Chaudry,M,TDP,311044
12,Andhra Pradesh,13,Vijayawada,GEN,Chennupati Vidya,F,INC,423867,Vadde Sobhanadreeswarrarao,M,TDP,365663
13,Andhra Pradesh,14,Tenali,GEN,Basavapannayya Singam,M,INC,345150,Ummareddy Venkateswarlu,M,TDP,280962
14,Andhra Pradesh,15,Guntur,GEN,N.G.Ranga,M,INC,404558,Koteswararao M.S.S,M,TDP,339545
15,Andhra Pradesh,16,Bapatla,GEN,Salagala Benjamin,M,INC,364008,Muppavarapu Venkaiah Naidu,M,BJP,320388
16,Andhra Pradesh,17,Narasaraopet,GEN,Kasu Venkata Krishna Reddy,M,INC,402289,Pidatala Renga Reddy,M,TDP,336583
17,Andhra Pradesh,18,Ongole,GEN,Rajamohana Reddy Mekapati,M,INC,396282,Narayanaswamy Katuri,M,TDP,298912
18,Andhra Pradesh,19,Nellore,(SC),Putchalapalli Penchalaiah,M,INC,377602,M.Nagabhushanamma,F,TDP,305763
19,Andhra Pradesh,20,Tirupati,(SC),Chinta Mohan,M,INC,406057,M.Muragaiah,M,TDP,333557
20,Andhra Pradesh,21,Chittoor,GEN,Gnanendra Reddy,M,INC,390786,N.Rangaswamy,M,TDP,308278
21,Andhra Pradesh,22,Rajampet,GEN,Annaiahgari Sai Prathap,M,INC,340796,Ramachandraiah C.,M,TDP,302373
22,Andhra Pradesh,23,Cuddapah,GEN,Y.S.Rajasekhar Reddy,M,INC,480524,M.V.Ramana Reddy,M,TDP,313772
23,Andhra Pradesh,24,Hindupur,GEN,S.Gangadhara,M,INC,327512,K.Rameschandra Reddy,M,TDP,325344
24,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkata Reddy,M,INC,349685,G. Ramanna Chowdary,M,TDP,290203
25,Andhra Pradesh,26,Kurnool,GEN,Kotla Vijay Bhaskara Reddy,M,INC,363955,Erasu Ayyapu Reddy,M,TDP,253537
26,Andhra Pradesh,27,Nandyal,GEN,Bojja Venkata Reddy,M,INC,370097,Madduru Subba Reddy,M,TDP,313835
27,Andhra Pradesh,28,Nagarkurnool,(SC),Anatha Ramulu Mullu,M,INC,363026,V.Tulassi Ram,M,TDP,291852
28,Andhra Pradesh,29,Mahabubnagar,GEN,Mallikarjun,M,INC,335762,Jayapal Reddy,M,JD,265984
29,Andhra Pradesh,30,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,MIM,403625,Teegala Krishana Reddy,M,TDP,270547
30,Andhra Pradesh,31,Secunderabad,GEN,T.Manemma,F,INC,348491,P.Babul Reddy,M,JD,200890
31,Andhra Pradesh,32,Siddipet,(SC),Yellaiah Nandi,M,INC,378172,G.Vijaya Rama Rao,M,TDP,291335
32,Andhra Pradesh,33,Medak,GEN,Bagareddy M.,M,INC,383586,P.Manik Reddy,M,TDP,287490
33,Andhra Pradesh,34,Nizamabad,GEN,Taduri Bala Goud,M,INC,294340,P.Srinivas Reddy,M,TDP,270241
34,Andhra Pradesh,35,Adilabad,GEN,P.Narasa Reddy,M,INC,290072,C.Madhava Reddy,M,TDP,245707
35,Andhra Pradesh,36,Peddapalli,(SC),G.Venkat Swamy,M,INC,320628,Gotte Bhoopathy,M,TDP,289993
36,Andhra Pradesh,37,Karimnagar,GEN,Chokka Rao Juvvadi,M,INC,284200,Anand Rao Chalimeda,M,TDP,249008
37,Andhra Pradesh,38,Hanamkonda,GEN,Kamaluddin Ahmed,M,INC,310079,Janga Reddy Chanduptla,M,BJP,246736
38,Andhra Pradesh,39,Warangal,GEN,Janga Reddy Chanduptla,M,INC,311810,Kalpana Devi Tourtreddy,F,TDP,257689
39,Andhra Pradesh,40,Khammam,GEN,Jalagam Vengal Rao,M,INC,388461,Radhakrishna Murthy Yelamanchili,M,CPM,329209
40,Andhra Pradesh,41,Nalgonda,GEN,Chalilam Srinivasa Rao,M,INC,357733,Rama Sharma Boddupally,M,CPI,315883
41,Andhra Pradesh,42,Miryalguda,GEN,B.N.Reddy,M,INC,396615,Narsimha Reddy Bheemireddy,M,CPM,361620
42,Arunachal Pradesh,1,Arunachal West,GEN,Prem Khandu Thungon,M,INC,63247,Tomo Riba,M,PPA,55501
43,Arunachal Pradesh,2,Arunachal East,GEN,Laeta Umbrey,M,INC,73294,L. Wanglat,M,PPA,40680
44,Bihar,1,Bagaha,(SC),Mahendra Baitha,M,JD,232362,Bholarai,M,INC,144330
45,Bihar,2,Bettiah,GEN,Dharmesh Prassad Verma,M,JD,209009,Abdul Mogani Kaifi,M,CPI,160661
46,Bihar,3,Motihari,GEN,Radha Mohan Singh,M,BJP,253292,Kamala Mishra Madhukar,M,CPI,175181
47,Bihar,4,Gopalganj,GEN,Rajmangal Mishra,M,JD,429563,Kali Prasad Panday,M,INC,235642
48,Bihar,5,Siwan,GEN,Janardan Tiwari,M,BJP,334637,Abdul Gaffur,M,INC,175686
49,Bihar,6,Maharajganj,GEN,Chanrasbekhar,M,JD,382488,Krishna Pratap,M,INC,165170
50,Bihar,7,Chapra,GEN,Laloo Prassad,M,JD,333897,Tajiv Ranjan Singh,M,JNP(JP),192015
51,Bihar,8,Hajipur,(SC),Ram Vilas Paswan,M,JD,615129,Mahabir Paswan,M,INC,110681
52,Bihar,9,Vaishali,GEN,Usha Singh,F,JD,441514,Kishori Sinha,F,INC,228297
53,Bihar,10,Muzaffarpur,GEN,George Farnandes,M,JD,492615,Laliteshwar Pd. Sahi,M,INC,207605
54,Bihar,11,Sitamarhi,GEN,Hukumdeo Narayan Yadav,M,JD,335796,Nagendra Pd. Yadav,M,INC,164935
55,Bihar,12,Sheohar,GEN,Hari Kishor Singh,M,JD,463687,Madhureendra Kumar Singh,M,INC,149212
56,Bihar,13,Madhubani,GEN,Bhogendra Jha,M,CPI,275858,A. Hannan An.,M,INC,134492
57,Bihar,14,Jhanjharpur,GEN,Devandra Prassad Yadav,M,JD,339454,Gauri Sankar Rajhans,M,INC,180118
58,Bihar,15,Darbhanga,GEN,Shakeeul Rahman,M,JD,356894,Nagendra Jha (Baghant),M,INC,278437
59,Bihar,16,Rosera,(SC),Dashai Chaudhary,M,JD,394291,Ram Bhagat Paswan,M,INC,189804
60,Bihar,17,Samastipur,GEN,Manjai Lal,M,JD,451477,Ramdeo Rai,M,INC,213796
61,Bihar,18,Barh,GEN,Nitish Kumar,M,JD,368972,Ramlakhan Singh Yadav,M,INC,290625
62,Bihar,19,Balia,GEN,Suryanarayan Singh,M,CPI,324353,Chandra Bhatu Devi,F,INC,162904
63,Bihar,20,Saharsa,GEN,Surya Nr. Yadav,M,JD,502662,Cjandra Kishore Pathak,M,INC,225581
64,Bihar,21,Madhepura,GEN,Ramesh Kumar Yadav Ravi,M,JD,451856,Mahavir Prasad,M,INC,158908
65,Bihar,22,Araria,(SC),Sukdeo Paswan,M,JD,245693,Dumar Lal Bhitha,M,INC,173038
