,State,PC No.,PC Name,Category,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
0,Andhra Pradesh,1,Srikakulam,GEN,Appayyadora Hanumantu,M,TDP,298167,Rajgopalarao Boddepalli,M,INC,173699
1,Andhra Pradesh,2,Parvathipuram,(ST),Kishore Chandra Suryamarayana Deo Vyricheria,M,ICS,233175,Narasimha Rao Viswasa Rayi,M,INC,184495
2,Andhra Pradesh,3,Bobbili,GEN,Anand Gajapathi Raju Poosapati,M,TDP,315156,Penumetcha Samba Siva Raju,M,INC,177573
3,Andhra Pradesh,4,Visakhapatnam,GEN,Bhattam Sreerama Murthy,M,TDP,334399,Narayana Murthy Patrudu Sukhavasi,M,INC,193968
4,Andhra Pradesh,5,Bhadrachalam,(ST),Sode Ramaiah,M,CPI,195618,B.Radhabai Anandarao,F,INC,170978
5,Andhra Pradesh,6,Anakapalli,GEN,Appalanarasimham P.,M,TDP,322347,Appalanaidy S.R.A.S.,M,INC,147531
6,Andhra Pradesh,7,Kakinada,GEN,Thota Gopala Krishna,M,TDP,344038,Sanjeeva Rao M.S.,M,INC,214324
7,Andhra Pradesh,8,Rajahmundry,GEN,Srihari Rao,M,TDP,381091,Satyanarayana Rao S.B.P.B.K.,M,INC,227213
8,Andhra Pradesh,9,Amalapuram,(SC),Aithabathula Jogeswara Venkata,M,TDP,317481,Kusuma Krishna Murthy,M,INC,197750
9,Andhra Pradesh,10,Narsapuram,GEN,Vijaya Kumar Raju Bhupathiraju,M,TDP,366534,Alluri Subhaschandra Bose,M,INC,170160
10,Andhra Pradesh,11,Eluru,GEN,Bolla Bulli Ramaiah,M,TDP,351340,Vatti Venkata Ranga Partha Sarathi,M,INC,239688
11,Andhra Pradesh,12,Machilipatnam,GEN,Sambasivarao Kuvuru,M,INC,272513,Vaddi Rangarao,M,TDP,263420
12,Andhra Pradesh,13,Vijayawada,GEN,Vadde Sobhanadreeswara Rao,M,TDP,318023,Chennupati Vidya,F,INC,289579
13,Andhra Pradesh,14,Tenali,GEN,Nissankararao Venkataratnam,M,TDP,256766,Basav Punnayya Singam,M,INC,246328
14,Andhra Pradesh,15,Guntur,GEN,N.G.Ranga,M,INC,293589,Chandraskhara Rao Movva,M,TDP,281695
15,Andhra Pradesh,16,Bapatla,GEN,Chimata Sambu,M,TDP,290492,Rajeswara Rao Maddirala,M,INC,256072
16,Andhra Pradesh,17,Narasaraopet,GEN,Katuri Narayanaswamy,M,TDP,295059,Kasu Bramananda Reddy,M,INC,280821
17,Andhra Pradesh,18,Ongole,GEN,Bezawada Papireddy,M,TDP,287662,Nkata Reddy Puli,M,INC,269519
18,Andhra Pradesh,19,Nellore,(SC),Penchalaiah Puchalapalli,M,TDP,296284,Orepalli Venkata Subbaiah,M,INC,242733
