,State,PC No.,PC Name,Category,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
0,Andhra Pradesh,1,Adilabad,(ST),Ramesh Rathod,M,TDP,372268,Kotnak Ramesh,M,INC,257181
1,Andhra Pradesh,2,Peddapalli,(SC),Dr. Gaddam Vivekanand,M,INC,313748,Gomasa Srinivas,M,TRS,264731
2,Andhra Pradesh,3,Karimnagar,GEN,Ponnam Prabhakar,M,INC,317927,Vinod Kumar Boinapally,M,TRS,267684
3,Andhra Pradesh,4,Nizamabad,GEN,Madhu Goud Yaskhi,M,INC,296504,Bigala Ganesh Gupta,M,TRS,236114
4,Andhra Pradesh,5,Zahirabad,GEN,Suresh Kumar Shetkar,M,INC,395767,Syed Yousuf Ali,M,TRS,378360
5,Andhra Pradesh,6,Medak,GEN,Smt. M. Vijaya Shanthi,F,TRS,388839,Narendranath .C,M,INC,382762
6,Andhra Pradesh,7,Malkajgiri,GEN,Sathyanarayana Sarvey,M,INC,388368,Bheemsen.T,M,TDP,295042
7,Andhra Pradesh,8,Secunderabad,GEN,M. Anjan Kumar Yadav,M,INC,340549,Bandaru Dattatreya,M,BJP,170382
8,Andhra Pradesh,9,Hyderabad,GEN,Asaduddin Owaisi,M,AIMIM,308061,Zahid Ali Khan,M,TDP,194196
9,Andhra Pradesh,10,Chelvella,GEN,Jaipal Sudini Reddy,M,INC,420807,A.P.Jithender Reddy,M,TDP,402275
10,Andhra Pradesh,11,Mahabubnagar,GEN,Kalva Kuntla Chandrasekhar Rao,M,TRS,366569,Devarakonda Vittal Rao,M,INC,346385
11,Andhra Pradesh,12,Nagarkurnool,(SC),Dr. M. Jagannath,M,INC,422745,Guvvala Balaraju,M,TRS,374978
12,Andhra Pradesh,13,Nalgonda,GEN,Sukender Reddy Gutha,M,INC,493849,Suravaram Sudhakar Reddy,M,CPI,340867
13,Andhra Pradesh,14,Bhongir,GEN,Komatireddy Raj Gopal Reddy,M,INC,504103,Nomula Narsimhaiah,M,CPM,364215
14,Andhra Pradesh,15,Warangal,(SC),Rajaiah Siricilla,M,INC,396568,Ramagalla Parameshwar,M,TRS,271907
15,Andhra Pradesh,16,Mahabubabad,(ST),Porika Balram Naik,M,INC,394447,Kunja Srinivasa Rao,M,CPI,325490
