,State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votes,Runner-Up,Party,Votes
51,Bihar,10,Kishanganj,GEN,Mohammad Asrarul Haque,INC,493461,Dr Dilip Kumar Jaiswal,BJP,298849
52,Bihar,11,Katihar,GEN,Tariq Anwar,NCP,431292,Nikhil Kumar Choudhary,BJP,316552
53,Bihar,12,Purnia,GEN,Santosh Kumar,JD(U),418826,Uday Singh Alias Pappu Singh,BJP,302157
54,Bihar,13,Madhepura,GEN,Rajesh Ranjan (Pappu Yadav),RJD,368937,Sharad Yadav,JD(U),312728
55,Bihar,14,Darbhanga,GEN,Kirti Azad,BJP,314949,Md. Ali Ashraf Fatmi,RJD,279906
56,Bihar,15,Muzaffarpur,GEN,Ajay Nishad,BJP,469295,Akhilesh Prasad Singh,INC,246873
57,Bihar,16,Vaishali,GEN,Rama Kishore Singh,LJP,305450,Raghuvansh Prasad Singh,RJD,206183
58,Bihar,17,Gopalganj,(SC),Janak Ram,BJP,478773,Dr. Jyoti Bharti,INC,191837
59,Bihar,18,Siwan,GEN,Om Prakash Yadav,BJP,372670,Hena Shahab,RJD,258823
60,Bihar,19,Maharajganj,GEN,Janardan Singh (Sigriwal),BJP,320753,Prabhu Nath Singh,RJD,282338
61,Bihar,20,Saran,GEN,Rajiv Pratap Rudy,BJP,355120,Rabri Devi,RJD,314172
62,Bihar,21,Hajipur,(SC),Ramvilas Paswan,LJP,455652,Sanjeev Prasad Toni,INC,230152
63,Bihar,22,Ujiarpur,GEN,Nityanand Rai,BJP,317352,Alok Kumar Mehta,RJD,256883
64,Bihar,23,Samastipur,(SC),Ram Chandra Paswan,LJP,270401,Dr. Ashok Kumar,INC,263529
65,Bihar,24,Begusarai,GEN,Bhola Singh,BJP,428227,Md. Tanveer Hassan,RJD,369892
66,Bihar,25,Khagaria,GEN,Choudhary Mahboob Ali Kaiser,LJP,313806,Krishna Kumari Yadav,RJD,237803
67,Bihar,26,Bhagalpur,GEN,Shailesh Kumar Urph Bulo Mandal,RJD,367623,Syed Shahnawaz Hussain,BJP,358138
68,Bihar,27,Banka,GEN,Jai Prakash Narayan Yadav,RJD,285150,Putul Kumari,BJP,275006
69,Bihar,28,Munger,GEN,Veena Devi,LJP,352911,Rajiv Ranjan Singh Alias Lalan Singh,JD(U),243827
70,Bihar,29,Nalanda,GEN,Kaushlendra Kumar,JD(U),321982,Satya Nand Sharma,LJP,312355
71,Bihar,30,Patna Sahib,GEN,Shatrughana Sinha,BJP,485905,Kunal Singh,INC,220100
72,Bihar,31,Pataliputra,GEN,Ram Kripal Yadav,BJP,383262,Misha Bharti,RJD,342940
73,Bihar,32,Arrah,GEN,Raj Kumar Singh,BJP,391074,Sribhagwan Singh Kushwaha,RJD,255204
74,Bihar,33,Buxar,GEN,Ashwini Kumar Choubey,BJP,319012,Jagadanand Singh,RJD,186674
75,Bihar,34,Sasaram,(SC),Chhedi Paswan,BJP,366087,Meira Kumar,INC,302760
76,Bihar,35,Karakat,GEN,Upendra Kushwaha,RLSP,338892,Kanti Singh,RJD,233651
77,Bihar,36,Jahanabad,GEN,Dr. Arun Kumar,RLSP,322647,Surendra Prasad Yadav,RJD,280307
78,Bihar,37,Aurangabad,GEN,Sushil Kumar Singh,BJP,307941,Nikhil Kumar,INC,241594
79,Bihar,38,Gaya,(SC),Hari Manjhi,BJP,326230,Ramji Manjhi,RJD,210726
80,Bihar,39,Nawada,GEN,Giriraj Singh,BJP,390248,Raj Ballabh Prasad,RJD,250091
81,Bihar,40,Jamui,(SC),Chirag Kumar Paswan,LJP,285354,Sudhansu Shekhar Bhaskar,RJD,199407
82,Chandigarh,1,Chandigarh,GEN,Smt. Kirron Kher Anupam,BJP,191362,Pawan Kumar Bansal,INC,121720
83,Chhattisgarh,1,Surguja,(ST),Kamalbhan Singh Marabi,BJP,585336,Ram Dev Ram,INC,438100
84,Chhattisgarh,2,Raigarh,(ST),Vishnu Deo Sai,BJP,662478,Arti Singh,INC,445728
85,Chhattisgarh,3,Janjgir-Champa,(SC),Smt. Kamla Patle,BJP,518909,Prem Chand Jayasi,INC,343948
86,Chhattisgarh,4,Korba,GEN,Dr. Banshilal Mahto,BJP,439002,Charan Das Mahant,INC,434737
87,Chhattisgarh,5,Bilaspur,GEN,Lakhan Lal Sahu,BJP,561387,Karuna Shukla,INC,384951
88,Chhattisgarh,6,Rajnandgaon,GEN,Abhishek Singh,BJP,643473,Kamleshwar Verma,INC,407562
89,Chhattisgarh,7,Durg,GEN,Tamradhwaj Sahu,INC,570687,Saroj Pandey,BJP,553839
90,Chhattisgarh,8,Raipur,GEN,Ramesh Bais,BJP,654922,Satya Narayan Sharma (Sattu Bhaiya),INC,483276
91,Chhattisgarh,9,Mahasamund,GEN,Chandu Lal Sahu (Chandu Bhaiya),BJP,503514,Ajit Jogi,INC,502297
92,Chhattisgarh,10,Bastar,(ST),Dinesh Kashyap,BJP,385829,Deepak Karma (Bunty),INC,261470
93,Chhattisgarh,11,Kanker,(ST),Vikram Dev Usendi,BJP,465215,Foolodevi Netam,INC,430057
94,Dadar & Nagar Haveli,1,Dadra And Nagar Haveli,(ST),Patel Natubhai Gomanbhai,BJP,80790,Delkar Mohanbhai Sanjibhai,INC,74576
95,Daman & diu,1,Daman And Diu,GEN,Patel Lalubhai Babubhai,BJP,46960,Ketan Dahyabhai Patel,INC,37738
96,Delhi,1,Chandni Chowk,GEN,Dr. Harsh Vardhan,BJP,437938,Ashutosh,AAP,301618
97,Delhi,2,North East Delhi,GEN,Manoj Tiwari,BJP,596125,Anand Kumar,AAP,452041
98,Delhi,3,East Delhi,GEN,Maheish Girri,BJP,572202,Rajmohan Gandhi,AAP,381739
99,Delhi,4,New Delhi,GEN,Smt. Meenakshi Lekhi,BJP,453350,Ashish Khetan,AAP,290642
100,Delhi,5,North West Delhi,(SC),Udit Raj,BJP,629860,Rakhi Birla,AAP,523058
101,Delhi,6,West Delhi,GEN,Parvesh Sahib Singh Verma,BJP,651395,Jarnail Singh,AAP,382809
102,Delhi,7,South Delhi,GEN,Ramesh Bidhuri,BJP,497980,Col Devinder Sehrawat,AAP,390980
103,Goa,1,North Goa,GEN,Shripad Yesso Naik,BJP,237903,Ravi Naik,INC,132304
