,State,PC No.,PC Name,Category,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
0,Andhra Pradesh,1,Srikakulam,GEN,Yerrannaidu Kinjarapu,M,TDP,361906,Killi Kruparani,M,INC,330027
1,Andhra Pradesh,2,Parvathipuram,(ST),Kishore Chandra Suryanarayana Deo Vyricherla,M,INC,321788,Dadichiluka Veera Gouri Sankara Rao,M,TDP,314370
2,Andhra Pradesh,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,M,TDP,373922,Jhansi Botcha,M,INC,342574
3,Andhra Pradesh,By Polls (2006),Bobbili,GEN,Jhansi Lakshmi Botcha,F,INC,334321,Appalanaidu Kondapalli,M,TDP,334164
4,Andhra Pradesh,4,Visakhapatnam,GEN,Janardhana Reddy Nedurumalli,M,INC,524122,Dr.M.V.V.S.Murthy,M,TDP,393551
5,Andhra Pradesh,5,Bhadrachalam,(ST),Midiyam Babu Rao,M,CPM,373148,Smt.Kprk Phaneeswaramma,M,TDP,319342
6,Andhra Pradesh,6,Anakapalli,GEN,Chalapathirao Pappala,M,TDP,385406,Nanda Gopal Gandham,M,INC,369992
7,Andhra Pradesh,7,Kakinada,GEN,Mallipudi Mangapati Pallam Raju,M,INC,410982,Mudragada Padmanabham,M,TDP,353730
8,Andhra Pradesh,8,Rajahmundry,GEN,Aruna Kumar Vundavalli,M,INC,413927,Kantipudi Sarvarayudu,M,BJP,265107
9,Andhra Pradesh,9,Amalapuram,(SC),G.V. Harsha Kumar,M,INC,350346,Dunna Janardhana Rao,M,TDP,308861
10,Andhra Pradesh,10,Narsapuram,GEN,Chegondi Venkata Harirama Jogaiah,M,INC,402761,Uppalapati Venkatakrishnam Raju,M,BJP,338349
11,Andhra Pradesh,11,Eluru,GEN,Kavuru  Samba Siva Rao,M,INC,499191,Bolla Bulli Ramaiah,M,TDP,375900
12,Andhra Pradesh,12,Machilipatnam,GEN,Badiga Ramakrishna,M,INC,387127,Ambati Brahmanaiah,M,TDP,336786
13,Andhra Pradesh,13,Vijayawada,GEN,Rajagopal Lagadapati,M,INC,519624,Aswini Dutt Chalasani,M,TDP,405037
14,Andhra Pradesh,14,Tenali,GEN,Balashowry Vallabhaneni,M,INC,366843,Ummareddy Venkateswarlu,M,TDP,288287
15,Andhra Pradesh,15,Guntur,GEN,Rayapati  Sambasiva Rao,M,INC,466221,Y. V. Rao,M,TDP,336429
16,Andhra Pradesh,16,Bapatla,GEN,Daggubati Purandareswari,F,INC,411099,Daggubati Ramanaidu,M,TDP,317017
17,Andhra Pradesh,17,Narasaraopet,GEN,Mekapati Rajamohan Reddy,M,INC,481310,Maddi Lakshmaiah,M,TDP,395055
18,Andhra Pradesh,18,Ongole,GEN,Sreenivasulu Reddy Magunta,M,INC,446584,Bathula Vijaya Bharathi,M,TDP,340563
19,Andhra Pradesh,19,Nellore,(SC),Panabaka Lakshmi,F,INC,450129,Balakondaiah Karupotala,M,BJP,321905
20,Andhra Pradesh,20,Tirupati,(SC),Chinta Mohan,M,INC,510961,Dr. N. Venkata Swamy,M,BJP,311633
21,Andhra Pradesh,21,Chittoor,GEN,D.K. Audikesavulu,M,TDP,454128,Dr. Ravuri Venkata Swamy,M,INC,391990
