,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
44,3,Purvi Champaran,GEN,Radha Mohan Singh,Bharatiya Janata Party,"5,77,787",Akash Kumar Singh,Rashtriya Lok Samta Party,"2,84,139","2,93,648",29.38%,Bihar
45,4,Sheohar,GEN,Rama Devi,Bharatiya Janata Party,"6,08,678",Syed Faisal Ali,Rashtriya Janata Dal,"2,68,318","3,40,360",33.88%,Bihar
46,5,Sitamarhi,GEN,Sunil Kumar Pintu,Janata Dal (United),"5,67,745",Arjun Rai,Rashtriya Janata Dal,"3,17,206","2,50,539",24.12%,Bihar
47,6,Madhubani,GEN,Ashok Kumar Yadav,Bharatiya Janata Party,"5,95,843",Badri Kumar Purbey,Vikassheel Insaan Party,"1,40,903","4,54,940",47.21%,Bihar
48,7,Jhanjharpur,GEN,Ramprit Mandal,Janata Dal (United),"6,02,391",Gulab Yadav,Rashtriya Janata Dal,"2,79,440","3,22,951",30.45%,Bihar
49,8,Supaul,GEN,Dileshwar Kamait,Janata Dal (United),"5,97,377",Ranjeet Ranjan,INC,"3,30,524","2,66,853",24.02%,Bihar
50,9,Araria,GEN,Pradeep Kumar Singh,Bharatiya Janata Party,"6,18,434",Sarfaraz Alam,Rashtriya Janata Dal,"4,81,193","1,37,241",11.73%,Bihar
51,10,Kishanganj,GEN,Mohammad Jawed,INC,"3,67,017",Syed Mahmood Ashraf,Janata Dal (United),"3,32,551","34,466",3.13%,Bihar
52,11,Katihar,GEN,Dulal Chandra Goswami,Janata Dal (United),"5,59,423",Tariq Anwar,INC,"5,02,220","57,203",5.12%,Bihar
53,12,Purnia,GEN,Santosh Kumar,Janata Dal (United),"6,32,924",Uday Singh,INC,"3,69,463","2,63,461",22.83%,Bihar
54,13,Madhepura,GEN,Dinesh Chandra Yadav,Janata Dal (United),"6,24,334",Sharad Yadav,Rashtriya Janata Dal,"3,22,807","3,01,527",26.28%,Bihar
55,14,Darbhanga,GEN,Gopal Jee Thakur,Bharatiya Janata Party,"5,86,668",Abdul Bari Siddiqui,Rashtriya Janata Dal,"3,18,689","2,67,979",27.77%,Bihar
56,15,Muzaffarpur,GEN,Ajay Nishad,Bharatiya Janata Party,"6,66,878",Raj Bhushan Singh,Vikassheel Insaan Party,"2,56,890","4,09,988",39.75%,Bihar
57,16,Vaishali,GEN,Veena Devi,Lok Janshakti Party,"5,68,215",Raghuvansh Prasad Singh,Rashtriya Janata Dal,"3,33,631","2,34,584",,Bihar
58,17,Gopalganj,(SC),Alok Kumar Suman,Janata Dal (United),"5,68,150",Surendra Ram,Rashtriya Janata Dal,"2,81,716","2,86,434",,Bihar
59,18,Siwan,GEN,Kavita Singh,Janata Dal (United),"4,48,473",Hena Shahab,Rashtriya Janata Dal,"3,31,515","1,16,958",,Bihar
60,19,Maharajganj,GEN,Janardan Singh Sigriwal,Bharatiya Janata Party,"5,46,352",Randhir Kumar Singh,Rashtriya Janata Dal,"3,15,580","2,30,772",,Uttar Pradesh
