,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
169,5,Gulbarga,(SC),Umesh. G. Jadhav,Bharatiya Janata Party,"6,20,192",Mallikarjun Kharge,INC,"5,24,740","95,452",,Karnataka
170,6,Raichur,(ST),Raja Amareswara Naik,Bharatiya Janata Party,"5,98,337",B. V. Nayak,INC,"4,80,621","1,17,716",,Karnataka
171,7,Bidar,GEN,Bhagwanth Khuba,Bharatiya Janata Party,"5,85,471",Eshwara Khandre,INC,"4,68,637","1,16,834",,Karnataka
172,8,Koppal,GEN,Karadi Sanganna,Bharatiya Janata Party,"5,86,783",Rajashekar Hitnal,INC,"5,48,386","38,397",,Karnataka
173,9,Bellary,(ST),Y. Devendrappa,Bharatiya Janata Party,"6,16,388",V. S. Ugrappa,INC,"5,60,681","55,707",,Karnataka
174,10,Haveri,GEN,Shivkumar Udasi,Bharatiya Janata Party,"6,83,660",D. R. Patil,INC,"5,42,778","1,40,882",,Karnataka
175,11,Dharwad,GEN,Pralhad Joshi,Bharatiya Janata Party,"6,84,837",Vinay Kulkarni,INC,"4,79,765","2,05,072",,Karnataka
176,12,Uttara Kannada,GEN,Anantkumar Hegde,Bharatiya Janata Party,"7,86,042",Anand Asnotikar,Janata Dal (Secular),"3,06,393","4,79,649",,Karnataka
177,13,Davanagere,GEN,G. M. Siddeshwara,Bharatiya Janata Party,"6,52,996",H. B. Manjappa,INC,"4,83,294","1,69,702",,Karnataka
178,14,Shimoga,GEN,B. Y. Raghavendra,Bharatiya Janata Party,"7,29,872",Madhu Bangarappa,Janata Dal (Secular),"5,06,512","2,23,360",,Karnataka
179,15,Udupi Chikmagalur,GEN,Shobha Karandlaje,Bharatiya Janata Party,"7,18,916",Pramod Madhwaraj,Janata Dal (Secular),"3,69,317","3,49,599",,Karnataka
180,16,Hassan,GEN,Prajwal Revanna,Janata Dal (Secular),"6,76,606",A. Manju,Bharatiya Janata Party,"5,35,282","1,41,324",,Karnataka
181,17,Dakshina Kannada,GEN,Nalin Kumar Kateel,Bharatiya Janata Party,"7,74,285",Mithun M. Rai,INC,"4,99,664","2,74,621",,Karnataka
182,18,Chitradurga,(SC),A Narayanaswamy,Bharatiya Janata Party,"6,26,195",B. N. Chandrappa,INC,"5,46,017","80,178",,Karnataka
183,19,Tumkur,GEN,G. S. Basavaraj,Bharatiya Janata Party,"5,96,127",H. D. Devegowda,Janata Dal (Secular),"5,82,788","13,339",,Karnataka
184,20,Mandya,GEN,Sumalatha Ambareesh,Independent,"7,03,660",Nikhil Kumaraswamy,Janata Dal (Secular),"5,77,784","1,25,876",,Karnataka
185,21,Mysore,GEN,Pratap Simha,Bharatiya Janata Party,"6,88,974",C. H. Vijayashankar,INC,"5,50,327","1,38,647",,Karnataka
186,22,Chamarajanagar,(SC),Srinivas Prasad,Bharatiya Janata Party,"5,68,537",R. Dhruvanarayana,INC,"5,66,720","1,817",,Karnataka
187,23,Bangalore Rural,GEN,D. K. Suresh,Indian National Congress,"8,78,258",Ashwathnarayan Gowda,Bharatiya Janata Party,"6,71,388","2,06,870",,Karnataka
188,24,Bangalore North,GEN,Sadananda Gowda,Bharatiya Janata Party,"8,24,500",Krishna Byre Gowda,INC,"6,76,982","1,47,518",,Karnataka
189,25,Bangalore Central,GEN,P. C. Mohan,Bharatiya Janata Party,"6,02,853",Rizwan Arshad,INC,"5,31,885","70,968",,Karnataka
190,26,Bangalore South,GEN,Tejasvi Surya,Bharatiya Janata Party,"7,39,229",B. K. Hariprasad,INC,"4,08,037","3,31,192",,Karnataka
191,27,Chikballapur,GEN,B. N. Bache Gowda,Bharatiya Janata Party,"7,45,912",M. Veerappa Moily,INC,"5,63,802","1,82,110",,Karnataka
192,28,Kolar,GEN,S. Muniswamy,Bharatiya Janata Party,"7,09,165",K. H. Muniyappa,INC,"4,99,144","2,10,021",,Karnataka
193,1,Kasaragod,GEN,Rajmohan Unnithan,INC,"4,74,961",K. P. Satheesh Chandran,Communist Party of India (Marxist),"4,34,523","40,438",,Kerala
194,2,Kannur,GEN,K. Sudhakaran,INC,"5,29,741",P.K. Sreemathy,Communist Party of India (Marxist),"4,35,182","94,559",,Kerala
195,3,Vatakara,GEN,K. Muraleedharan,INC,"5,26,755",P. Jayarajan,Communist Party of India (Marxist),"4,42,092","84,663",,Kerala
196,4,Wayanad,GEN,Rahul Gandhi,INC,"7,06,367",P. P. Suneer,Communist Party of India,"2,74,597","4,31,770",,Kerala
197,5,Kozhikode,GEN,M. K. Raghavan,INC,"4,93,444",A. Pradeepkumar,Communist Party of India (Marxist),"4,08,219","85,225",,Kerala
198,6,Malappuram,GEN,P. K. Kunhalikutty,Indian Union Muslim League,"5,89,873",V.P. Sanu,Communist Party of India (Marxist),"3,29,720","2,60,153",,Kerala
199,7,Ponnani,GEN,E. T. Muhammed Basheer,Indian Union Muslim League,"5,21,824",P. V. Anvar,Independent,"3,28,551","1,93,273",,Kerala
200,8,Palakkad,GEN,V. K. Sreekandan,INC,"3,99,274",M.B. Rajesh,Communist Party of India (Marxist),"3,87,637","11,637",,Kerala
201,9,Alathur,(SC),Ramya Haridas,INC,"5,33,815",P.K. Biju,Communist Party of India (Marxist),"3,74,847","1,58,968",,Kerala
202,10,Thrissur,GEN,T. N. Prathapan,INC,"4,15,089",Rajaji Mathew Thomas,Communist Party of India,"3,21,456","93,633",,Kerala
203,11,Chalakudy,GEN,Benny Behanan,INC,"4,73,444",Innocent Vareed Thekkethala,Communist Party of India (Marxist),"3,41,170","1,32,274",,Kerala
204,12,Ernakulam,GEN,Hibi Eden,INC,"4,91,263",P. Rajeev,Communist Party of India (Marxist),"3,22,110","1,69,153",,Kerala
205,13,Idukki,GEN,Dean Kuriakose,INC,"4,98,493",Joice George,Independent,"3,27,440","1,71,053",,Kerala
206,14,Kottayam,GEN,Thomas Chazhikadan,Kerala Congress (M),"4,21,046",V. N. Vasavan,Communist Party of India (Marxist),"3,14,787","1,06,259",,Kerala
207,15,Alappuzha,GEN,A. M. Ariff,Communist Party of India (Marxist),"4,45,970",Shanimol Usman,INC,"4,35,496","10,474",,Kerala
208,16,Mavelikkara,(SC),Kodikkunnil Suresh,INC,"4,40,415",Chittayam Gopakumar,Communist Party of India,"3,79,277","61,138",,Kerala
209,17,Pathanamthitta,GEN,Anto Antony,INC,"3,80,927",Veena George,Communist Party of India (Marxist),"3,36,684","44,243",,Kerala
210,18,Kollam,GEN,N. K. Premachandran,Revolutionary Socialist Party,"4,99,677",K. N. Balagopal,Communist Party of India (Marxist),"3,50,821","1,48,856",,Kerala
211,19,Attingal,GEN,Adoor Prakash,INC,"3,80,995",A. Sampath,Communist Party of India (Marxist),"3,42,748","38,247",,Kerala
212,20,Thiruvananthapuram,GEN,Shashi Tharoor,INC,"4,16,131",Kummanam Rajasekharan,Bharatiya Janata Party,"3,16,142","99,989",,Kerala
213,1,Lakshadweep,(ST),Mohammed Faizal P. P.,Nationalist Congress Party,"22,851",Muhammed Hamdulla Sayeed,INC,"22,028",823,,Lakshadweep
214,1,Morena,GEN,Narendra Singh Tomar,Bharatiya Janata Party,"5,41,689",Ramnivas Rawat,INC,"4,28,348","1,13,341",,Madhya Pradesh
215,2,Bhind,(SC),Sandhya Ray,Bharatiya Janata Party,"5,27,694",Devashish Jharariya,INC,"3,27,809","1,99,885",,Madhya Pradesh
216,3,Gwalior,GEN,Vivek Sejwalker,Bharatiya Janata Party,"6,27,250",Ashok Singh,INC,"4,80,408","1,46,842",,Madhya Pradesh
217,4,Guna,GEN,Krishna Pal Singh Yadav,Bharatiya Janata Party,"6,14,049",Jyotiraditya Scindia,INC,"4,88,500","1,25,549",,Madhya Pradesh
218,5,Sagar,GEN,Raj Bahadur Singh,Bharatiya Janata Party,"6,46,231",Prabhu Singh Thakur,INC,"3,40,689","3,05,542",,Madhya Pradesh
219,6,Tikamgarh,(SC),Virendra Kumar,Bharatiya Janata Party,"6,72,248",Ahirwar Kiran,INC,"3,24,189","3,48,059",,Madhya Pradesh
220,7,Damoh,GEN,Prahlad Singh Patel,Bharatiya Janata Party,"7,04,524",Pratap Singh,INC,"3,51,113","3,53,411",,Madhya Pradesh
221,8,Khajuraho,GEN,Vishnu Datt Sharma,Bharatiya Janata Party,"8,11,135",Kavita Singh,INC,"3,18,753","4,92,382",,Madhya Pradesh
222,9,Satna,GEN,Ganesh Singh,Bharatiya Janata Party,"5,88,753",Rajaram Tripathi,INC,"3,57,280","2,31,473",,Madhya Pradesh
223,10,Rewa,GEN,Janardan Mishra,Bharatiya Janata Party,"5,83,745",Siddhartha Tiwari,INC,"2,70,938","3,12,807",,Madhya Pradesh
224,11,Sidhi,GEN,Riti Pathak,Bharatiya Janata Party,"6,98,342",Ajay Arjun Singh,INC,"4,11,818","2,86,524",,Madhya Pradesh
225,12,Shahdol,(ST),Himadri Singh,Bharatiya Janata Party,"7,47,977",Pramila Singh,INC,"3,44,644","4,03,333",,Madhya Pradesh
226,13,Jabalpur,GEN,Rakesh Singh,Bharatiya Janata Party,"8,26,454",Vivek Tankha,INC,"3,71,710","4,54,744",,Madhya Pradesh
227,14,Mandla,(ST),Faggan Singh Kulaste,Bharatiya Janata Party,"7,37,266",Kamal Singh Maravi,INC,"6,39,592","97,674",,Madhya Pradesh
228,15,Balaghat,GEN,Dhal Singh Bisen,Bharatiya Janata Party,"6,96,102",Madhu Bhagat,INC,"4,54,036","2,42,066",,Madhya Pradesh
229,16,Chhindwara,GEN,Nakul Nath,INC,"5,87,305",Nathansaha Kawreti,Bharatiya Janata Party,"5,49,769","37,536",,Madhya Pradesh
230,17,Hoshangabad,GEN,Uday Pratap Singh,Bharatiya Janata Party,"8,77,927",Shailendra Diwan,INC,"3,24,245","5,53,682",,Madhya Pradesh
231,18,Vidisha,GEN,Ramakant Bhargava,Bharatiya Janata Party,"8,53,022",Shailendra Patel,INC,"3,49,938","5,03,084",,Madhya Pradesh
232,19,Bhopal,GEN,Pragya Thakur,Bharatiya Janata Party,"8,66,482",Digvijaya Singh,INC,"5,01,660","3,64,822",,Madhya Pradesh
233,20,Rajgarh,GEN,Rodmal Nagar,Bharatiya Janata Party,"8,23,824",Mona Sustani,INC,"3,92,805","4,31,019",,Madhya Pradesh
234,21,Dewas,(SC),Mahendra Singh Solanki,Bharatiya Janata Party,"8,62,429",Prahlad Singh Tipanya,INC,"4,90,180","3,72,249",,Madhya Pradesh
235,22,Ujjain,(SC),Anil Firojiya,Bharatiya Janata Party,"7,91,663",Babulal Malviya,INC,"4,26,026","3,65,637",,Madhya Pradesh
236,23,Mandsaur,GEN,Sudheer Gupta,Bharatiya Janata Party,"8,47,786",Meenakshi Natarajan,INC,"4,71,052","3,76,734",,Madhya Pradesh
237,24,Ratlam,(ST),Guman Singh Damor,Bharatiya Janata Party,"6,96,103",Kantilal Bhuria,INC,"6,05,467","90,636",,Madhya Pradesh
238,25,Dhar,(ST),Chattar Singh Darbar,Bharatiya Janata Party,"7,22,147",Girwal Dinesh,INC,"5,66,118","1,56,029",,Madhya Pradesh
239,26,Indore,GEN,Shankar Lalwani,Bharatiya Janata Party,"10,68,569",Pankaj Sanghvi,INC,"5,20,815","5,47,754",,Madhya Pradesh
240,27,Khargone,(ST),Gajendra Patel,Bharatiya Janata Party,"7,73,550",Govind Subhan Mujalda,INC,"5,71,040","2,02,510",,Madhya Pradesh
241,28,Khandwa,GEN,Nandkumar Singh Chauhan,Bharatiya Janata Party,"8,38,909",Arun Subhash Chandra Yadav,INC,"5,65,566","2,73,343",,Madhya Pradesh
242,29,Betul,(ST),Durga Das Uikey,Bharatiya Janata Party,"8,11,248",Ramu Tekam,INC,"4,51,007","3,60,241",,Madhya Pradesh
243,1,Nandurbar,(ST),Heena Gavit,Bharatiya Janata Party,"6,39,136",K. C. Padavi,INC,"5,43,507","95,629",,Maharashtra
244,2,Dhule,GEN,Subhash Bhamre,Bharatiya Janata Party,"6,13,533",Kunal Rohidas Patil,INC,"3,84,290","2,29,243",,Maharashtra
245,3,Jalgaon,GEN,Unmesh Patil,Bharatiya Janata Party,"7,13,874",Gulabrao Deokar,Nationalist Congress Party,"3,02,257","4,11,617",,Maharashtra
246,4,Raver,GEN,Raksha Khadase,Bharatiya Janata Party,"6,55,386",Ulhas Vasudeo Patil,INC,"3,19,504","3,35,882",,Maharashtra
247,5,Buldhana,GEN,Prataprao Jadhav,Shiv Sena,"5,21,977",Rajendra Shingne,Nationalist Congress Party,"3,88,690","1,33,287",,Maharashtra
248,6,Akola,GEN,Sanjay Dhotre,Bharatiya Janata Party,"5,54,444",Prakash Ambedkar,Vanchit Bahujan Aghadi,"2,78,848","2,75,596",,Maharashtra
249,7,Amravati,(SC),Navaneet Rana,Independent,"5,10,947",Anandrao Adsul,Shiv Sena,"4,73,996","36,951",,Maharashtra
250,8,Wardha,GEN,Ramdas Tadas,Bharatiya Janata Party,"5,78,364",Charulata Tokas,INC,"3,91,173","1,87,191",,Maharashtra
251,9,Ramtek,(SC),Krupal Tumane,Shiv Sena,"5,97,126",Kishore Uttamrao Gajbhiye,INC,"4,70,343","1,26,783",,Maharashtra
252,10,Nagpur,GEN,Nitin Gadkari,Bharatiya Janata Party,"6,60,221",Nanabhau Patole,INC,"4,44,212","2,16,009",,Maharashtra
253,11,Bhandara-Gondiya,GEN,Sunil Baburao Mendhe,Bharatiya Janata Party,"6,50,243",Panchabudhe Nana Jairam,Nationalist Congress Party,"4,52,849","1,97,394",,Maharashtra
254,12,Gadchiroli-Chimur,(ST),Ashok Nete,Bharatiya Janata Party,"5,19,968",Namdeo Usendi,INC,"4,42,442","77,526",,Maharashtra
255,13,Chandrapur,GEN,Suresh Dhanorkar,INC,"5,59,507",Hansraj Ahir,Bharatiya Janata Party,"5,14,744","44,763",,Maharashtra
256,14,Yavatmal-Washim,GEN,Bhavana Gawali,Shiv Sena,"5,42,098",Manikrao Thakre,INC,"4,24,159","1,17,939",,Maharashtra
257,15,Hingoli,GEN,Hemant Patil,Shiv Sena,"5,86,312",Subhashrao Wankhede,INC,"3,08,456","2,77,856",,Maharashtra
258,16,Nanded,GEN,Prataprao Chikhalikar,Bharatiya Janata Party,"4,86,806",Ashok Chavan,INC,"4,46,658","40,148",,Maharashtra
259,17,Parbhani,GEN,Sanjay Jadhav,Shiv Sena,"5,38,941",Rajesh Uttamrao Vitekar,Nationalist Congress Party,"4,96,742","42,199",,Maharashtra
260,18,Jalna,GEN,Raosaheb Danve,Bharatiya Janata Party,"6,98,019",Autade Vilas Keshavrao,INC,"3,65,204","3,32,815",,Maharashtra
261,19,Aurangabad,GEN,Imtiyaz Jaleel,All India Majlis-e-Ittehadul Muslimeen,"3,89,042",Chandrakant Khaire,Shiv Sena,"3,84,550","4,492",,Maharashtra
262,20,Dindori,(ST),Bharati Pawar,Bharatiya Janata Party,"5,67,470",Dhanraj Mahale,Nationalist Congress Party,"3,68,691","1,98,779",,Maharashtra
263,21,Nashik,GEN,Hemant Godse,Shiv Sena,"5,63,599",Sameer Bhujbal,Nationalist Congress Party,"2,71,395","2,92,204",,Maharashtra
264,22,Palghar,(ST),Rajendra Gavit,Shiv Sena,"5,80,479",Baliram Jadhav,Bahujan Vikas Aaghadi,"4,91,596","88,883",,Maharashtra
265,23,Bhiwandi,GEN,Kapil Patil,Bharatiya Janata Party,"5,23,583",Suresh Taware,INC,"3,67,254","1,56,329",,Maharashtra
266,24,Kalyan,GEN,Shrikant Shinde,Shiv Sena,"5,59,723",Babaji Balram Patil,Nationalist Congress Party,"2,15,380","3,44,343",,Maharashtra
267,25,Thane,GEN,Rajan Vichare,Shiv Sena,"7,40,969",Anand Paranjape,Nationalist Congress Party,"3,28,824","4,12,145",,Maharashtra
268,26,Mumbai North,GEN,Gopal Shetty,Bharatiya Janata Party,"7,06,678",Urmila Matondkar,INC,"2,41,431","4,65,247",,Maharashtra
269,27,Mumbai North West,GEN,Gajanan Kirtikar,Shiv Sena,"5,70,063",Sanjay Nirupam,INC,"3,09,735","2,60,328",,Maharashtra
270,28,Mumbai North East,GEN,Manoj Kotak,Bharatiya Janata Party,"5,14,599",Sanjay Dina Patil,Nationalist Congress Party,"2,88,113","2,26,486",,Maharashtra
271,29,Mumbai North Central,GEN,Poonam Mahajan,Bharatiya Janata Party,"4,86,672",Priya Sunil Dutt,INC,"3,56,667","1,30,005",,Maharashtra
272,30,Mumbai South Central,GEN,Rahul Shewale,Shiv Sena,"4,24,913",Eknath Gaikwad,INC,"2,72,774","1,52,139",,Maharashtra
273,31,Mumbai South,GEN,Arvind Sawant,Shiv Sena,"4,21,937",Milind Deora,INC,"3,21,870","1,00,067",,Maharashtra
274,32,Raigad,GEN,Sunil Tatkare,Nationalist Congress Party,"4,86,968",Anant Geete,Shiv Sena,"4,55,530","31,438",,Maharashtra
275,33,Maval,GEN,Shrirang Barne,Shiv Sena,"7,20,663",Parth Pawar,Nationalist Congress Party,"5,04,750","2,15,913",,Maharashtra
276,34,Pune,GEN,Girish Bapat,Bharatiya Janata Party,"6,32,835",Mohan Joshi,INC,"3,08,207","3,24,628",,Maharashtra
277,35,Baramati,GEN,Supriya Sule,Nationalist Congress Party,"6,86,714",Kanchan Kul,Bharatiya Janata Party,"5,30,940","1,55,774",,Maharashtra
278,36,Shirur,GEN,Amol Kolhe,Nationalist Congress Party,"6,35,830",Shivajirao Adhalarao Patil,Shiv Sena,"5,77,347","58,483",,Maharashtra
279,37,Ahmednagar,GEN,Sujay Vikhe Patil,Bharatiya Janata Party,"7,04,660",Sangram Jagtap,Nationalist Congress Party,"4,23,186","2,81,474",,Maharashtra
280,38,Shirdi,(SC),Sadashiv Lokhande,Shiv Sena,"4,86,820",Kamble Bhausaheb Malhari,INC,"3,66,625","1,20,195",,Maharashtra
281,39,Beed,GEN,Pritam Munde,Bharatiya Janata Party,"6,78,175",Bajrang Manohar Sonwane,Nationalist Congress Party,"5,09,807","1,68,368",,Maharashtra
282,40,Osmanabad,GEN,Omraje Nimbalkar,Shiv Sena,"5,96,640",Rana Jagjitsinha Padmasinha Patil,Nationalist Congress Party,"4,69,074","1,27,566",,Maharashtra
283,41,Latur,(SC),Sudhakar Shrungare,Bharatiya Janata Party,"6,61,495",Kamant Machhindra Gunwantrao,INC,"3,72,384","2,89,111",,Maharashtra
284,42,Solapur,(SC),Jaisidhesvar Swami,Bharatiya Janata Party,"5,24,985",Sushilkumar Shinde,INC,"3,66,377","1,58,608",,Maharashtra
285,43,Madha,GEN,Ranjit Naik-Nimbalkar,Bharatiya Janata Party,"5,86,314",Sanjay Vitthalrao Shinde,Nationalist Congress Party,"5,00,550","85,764",,Maharashtra
286,44,Sangli,GEN,Sanjaykaka Patil,Bharatiya Janata Party,"5,08,995",Vishal Prakashbapu Patil,Swabhimani Paksha,"3,44,643","1,64,352",,Maharashtra
287,45,Satara,GEN,Udayanraje Bhosale,Nationalist Congress Party,"5,79,026",Narendra Annasaheb Patil,Shiv Sena,"4,52,498","1,26,528",,Maharashtra
288,46,Ratnagiri-Sindhudurg,GEN,Vinayak Raut,Shiv Sena,"4,58,022",Nilesh Narayan Rane,Maharashtra Swabhiman Paksha,"2,79,700","1,78,322",,Maharashtra
289,47,Kolhapur,GEN,Sanjay Mandlik,Shiv Sena,"7,49,085",Dhananjay Mahadik,Nationalist Congress Party,"4,78,517","2,70,568",,Maharashtra
290,48,Hatkanangle,GEN,Dhairyashil Mane,Shiv Sena,"5,85,776",Raju Shetti,Swabhimani Paksha,"4,89,737","96,039",,Maharashtra
291,1,Inner Manipur,GEN,Rajkumar Ranjan Singh,Bharatiya Janata Party,"2,63,632",Oinam Nabakishore Singh,INC,"2,45,877","17,755",,Manipur
292,2,Outer Manipur,(ST),Lorho S. Pfoze,Naga People's Front,"3,63,527",Houlim Shokhopao Mate,Bharatiya Janata Party,"2,89,745","73,782",,Manipur
293,1,Shillong,(ST),Vincent Pala,INC,"4,19,689",Jemino Mawthoh,United Democratic Party,"2,67,256","1,52,433",,Meghalaya
294,2,Tura,(ST),Agatha Sangma,National People's Party,"3,04,455",Mukul Sangma,INC,"2,40,425","64,030",,Meghalaya
295,1,Mizoram,(ST),C. Lalrosanga,Mizo National Front,"2,24,286",Lalnghinglova Hmar,Independent,"2,16,146","8,140",,Mizoram
296,1,Nagaland,(ST),Tokheho Yepthomi,Nationalist Democratic Progressive Party,"5,00,510",K L Chishi,INC,"4,84,166","16,344",,Nagaland
297,1,Bargarh,GEN,Suresh Pujari,Bharatiya Janata Party,"5,81,245",Prasanna Acharya,Biju Janata Dal,"5,17,306","63,939",,Odisha
298,2,Sundargarh,(ST),Jual Oram,Bharatiya Janata Party,"5,00,056",Sunita Biswal,Biju Janata Dal,"2,76,991","2,23,065",,Odisha
299,3,Sambalpur,GEN,Nitesh Gangadev,Bharatiya Janata Party,"4,73,770",Nalini Kant Pradhan,Biju Janata Dal,"4,64,608","9,162",,Odisha
300,4,Keonjhar,(ST),Chandrani Murmu,Biju Janata Dal,"5,26,359",Ananta Nayak,Bharatiya Janata Party,"4,60,156","66,203",,Odisha
301,5,Mayurbhanj,(ST),Bishweswar Tudu,Bharatiya Janata Party,"4,83,812",Debashish Marndi,Biju Janata Dal,"4,58,556","25,256",,Odisha
302,6,Balasore,GEN,Pratap Chandra Sarangi,Bharatiya Janata Party,"4,83,858",Rabindra Kumar Jena,Biju Janata Dal,"4,70,902","12,956",,Odisha
303,7,Bhadrak,(SC),Manjulata Mandal,Biju Janata Dal,"5,12,305",Avimanyu Sethi,Bharatiya Janata Party,"4,83,502","28,803",,Odisha
304,8,Jajpur,(SC),Sarmistha Sethi,Biju Janata Dal,"5,44,020",Amiya Kanta Mallick,Bharatiya Janata Party,"4,42,327","1,01,693",,Odisha
305,9,Dhenkanal,GEN,Mahesh Sahoo,Biju Janata Dal,"5,22,884",Rudra Narayan Pany,Bharatiya Janata Party,"4,87,472","35,412",,Odisha
306,10,Bolangir,GEN,Sangeeta Kumari Singh Deo,Bharatiya Janata Party,"4,98,086",Kalikesh Narayan Singh Deo,Biju Janata Dal,"4,78,570","19,516",,Odisha
307,11,Kalahandi,GEN,Basanta Kumar Panda,Bharatiya Janata Party,"4,33,074",Pushpendra Singh Deo,Biju Janata Dal,"4,06,260","26,814",,Odisha
308,12,Nabarangpur,(ST),Ramesh Chandra Majhi,Biju Janata Dal,"3,92,504",Pradeep Kumar Majhi,INC,"3,50,870","41,634",,Odisha
309,13,Kandhamal,GEN,Achyutananda Samanta,Biju Janata Dal,"4,61,679",Mahamegha Bahan Aira Kharabela Swain,Bharatiya Janata Party,"3,12,463","1,49,216",,Odisha
310,14,Cuttack,GEN,Bhartruhari Mahtab,Biju Janata Dal,"5,24,592",Prakash Mishra,Bharatiya Janata Party,"4,03,391","1,21,201",,Odisha
311,15,Kendrapara,GEN,Anubhav Mohanty,Biju Janata Dal,"6,28,939",Baijayant Panda,Bharatiya Janata Party,"4,76,355","1,52,584",,Odisha
312,16,Jagatsinghpur,(SC),Rajashree Mallick,Biju Janata Dal,"6,19,985",Bibhu Prasad Tarai,Bharatiya Janata Party,"3,48,330","2,71,655",,Odisha
313,17,Puri,GEN,Pinaki Mishra,Biju Janata Dal,"5,38,321",Sambit Patra,Bharatiya Janata Party,"5,26,607","11,714",,Odisha
314,18,Bhubaneswar,GEN,Aparajita Sarangi,Bharatiya Janata Party,"4,86,991",Arup Patnaik,Biju Janata Dal,"4,63,152","23,839",,Odisha
315,19,Aska,GEN,Pramila Bisoyi,Biju Janata Dal,"5,52,749",Anita Subhadarshini,Bharatiya Janata Party,"3,48,042","2,04,707",,Odisha
316,20,Berhampur,GEN,Chandra Sekhar Sahu,Biju Janata Dal,"4,43,843",Bhrugu Baxipatra,Bharatiya Janata Party,"3,48,999","94,844",,Odisha
317,21,Koraput,(ST),Saptagiri Ulaka,INC,"3,71,129",Kaushalya Hikaka,Biju Janata Dal,"3,67,516","3,613",,Odisha
318,1,Puducherry,GEN,V. Vaithilingam,INC,"4,44,981",Narayanaswamy Kesavan,All India N.R. Congress,"2,47,956","1,97,025",,Puducherry
319,1,Gurdaspur,GEN,Sunny Deol,Bharatiya Janata Party,"5,58,719",Sunil Kumar Jakhar,INC,"4,76,260","82,459",,Punjab
320,2,Amritsar,GEN,Gurjeet Singh Aujla,INC,"4,45,032",Hardeep Singh Puri,Bharatiya Janata Party,"3,45,406","99,626",,Punjab
321,3,Khadoor Sahib,GEN,Jasbir Singh Gill,INC,"4,59,710",Bibi Jagir Kaur,Shiromani Akali Dal,"3,19,137","1,40,573",,Punjab
322,4,Jalandhar,(SC),Santokh Singh Chaudhary,INC,"3,85,712",Charanjit Singh Atwal,Shiromani Akali Dal,"3,66,221","19,491",,Punjab
323,5,Hoshiarpur,(SC),Som Prakash,Bharatiya Janata Party,"4,21,320",Raj Kumar Chhabbewal,INC,"3,72,790","48,530",,Punjab
324,6,Anandpur Sahib,GEN,Manish Tiwari,INC,"4,28,045",Prem Singh Chandumajra,Shiromani Akali Dal,"3,81,161","46,884",,Punjab
325,7,Ludhiana,GEN,Ravneet Singh Bittu,INC,"3,83,795",Simarjit Singh Bains,Lok Insaaf Party,"3,07,423","76,372",,Punjab
326,8,Fatehgarh Sahib,(SC),Amar Singh,INC,"4,11,651",Darbara Singh Guru,Shiromani Akali Dal,"3,17,753","93,898",,Punjab
327,9,Faridkot,(SC),Muhammad Sadiq,INC,"4,19,065",Gulzar Singh Ranike,Shiromani Akali Dal,"3,35,809","83,256",,Punjab
328,10,Ferozpur,GEN,Sukhbir Singh Badal,Shiromani Akali Dal,"6,33,427",Sher Singh Ghubaya,INC,"4,34,577","1,98,850",,Punjab
329,11,Bathinda,GEN,Harsimrat Kaur Badal,Shiromani Akali Dal,"4,92,824",Amrinder Singh Raja Warring,INC,"4,71,052","21,772",,Punjab
330,12,Sangrur,GEN,Bhagwant Mann,Aam Aadmi Party,"4,13,561",Kewal Singh Dhillon,INC,"3,03,350","1,10,211",,Punjab
331,13,Patiala,GEN,Preneet Kaur,INC,"5,32,027",Surjit Singh Rakhra,Shiromani Akali Dal,"3,69,309","1,62,718",,Punjab
332,1,Ganganagar,(SC),Nihalchand,Bharatiya Janata Party,"8,97,177",Bharat Ram Meghwal,INC,"4,90,199","4,06,978",,Rajasthan
333,2,Bikaner,(SC),Arjun Ram Meghwal,Bharatiya Janata Party,"6,57,743",Madan Gopal Meghwal,INC,"3,93,662","2,64,081",,Rajasthan
334,3,Churu,GEN,Rahul Kaswan,Bharatiya Janata Party,"7,92,999",Rafique Mandelia,INC,"4,58,597","3,34,402",,Rajasthan
335,4,Jhunjhunu,GEN,Narendra Kumar,Bharatiya Janata Party,"7,38,163",Sharwan Kumar,INC,"4,35,616","3,02,547",,Rajasthan
336,5,Sikar,GEN,Sumedhanand Saraswati,Bharatiya Janata Party,"7,72,104",Subhash Maharia,INC,"4,74,948","2,97,156",,Rajasthan
337,6,Jaipur Rural,GEN,Rajyavardhan Singh Rathore,Bharatiya Janata Party,"8,20,132",Krishna Poonia,INC,"4,26,961","3,93,171",,Rajasthan
338,7,Jaipur,GEN,Ramcharan Bohara,Bharatiya Janata Party,"9,24,065",Jyoti Khandelwal,INC,"4,93,439","4,30,626",,Rajasthan
339,8,Alwar,GEN,Balak Nath,Bharatiya Janata Party,"7,60,201",Bhanwar Jitendra Singh,INC,"4,30,230","3,29,971",,Rajasthan
340,9,Bharatpur,(SC),Ranjeeta Koli,Bharatiya Janata Party,"7,07,992",Abhijeet Kumar Jatav,INC,"3,89,593","3,18,399",,Rajasthan
341,10,Karauli–Dholpur,(SC),Manoj Rajoria,Bharatiya Janata Party,"5,26,443",Sanjay Kumar,INC,"4,28,761","97,682",,Rajasthan
