,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year,Party_clean
0,0,Andhra Pradesh,1,Srikakulam,GEN,Viswandham Kanithi,M,INC,235641,Appayyadora Hanumanthli,M,TDP,208977,26664,1991,INC
1,1,Andhra Pradesh,2,Parvathipuram,ST,Vijayaramaraju Satrucharla,M,INC,279415,Kishore Chandra Suryanarayanadeo Viricherla,M,ICS(SCS),229903,49512,1991,INC
2,2,Andhra Pradesh,3,Bobbili,GEN,Ananda Gajapathi Raju Poosapathi,M,INC,280335,Kemburu Rama Mohana Rao,M,TDP,252211,28124,1991,INC
3,3,Andhra Pradesh,4,Visakhapatnam,GEN,M.V.V.S. Murthi,M,TDP,289793,Uma Gajapathiraju (W),F,INC,284655,5138,1991,TDP
4,4,Andhra Pradesh,5,Bhadrachalam,ST,Karreddula Kamalakumari (W),F,INC,238956,Ramaiah Sode,M,CPI,194785,44171,1991,INC
5,5,Andhra Pradesh,6,Anakapalli,GEN,Konathala Ramakrishna,M,INC,261311,Appalanarasimham P.,M,TDP,250153,11158,1991,INC
6,6,Andhra Pradesh,7,Kakinada,GEN,Thota Subbarao,M,TDP,287357,Mangapati Pallamraju Mallipudi,M,INC,252040,35317,1991,TDP
7,7,Andhra Pradesh,8,Rajahmundry,GEN,K.V.R. Chowdary,M,TDP,315556,Jamuna (W),F,INC,253547,62009,1991,TDP
8,8,Andhra Pradesh,9,Amalapuram,SC,Balayogi G.M.C.,M,TDP,273490,Kusunma Krishan Murthy,M,INC,186003,87487,1991,TDP
9,9,Andhra Pradesh,10,Narsapuram,GEN,Vijayakumar Raju Bhupathiraju,M,TDP,317703,Krishnam Raju,M,INC,259154,58549,1991,TDP
10,10,Andhra Pradesh,11,Eluru,GEN,Bolla Bulliramaiah,M,TDP,360312,Krishna,M,INC,312657,47655,1991,TDP
11,11,Andhra Pradesh,12,Machilipatnam,GEN,K.P. Reddaiah,M,TDP,298348,Sambasiva Rao Kavuri,M,INC,271026,27322,1991,TDP
12,12,Andhra Pradesh,13,Vijayawada,GEN,Vadde Sobhandreswara Rao,M,TDP,326890,Chennupati Vidya (W),F,INC,290669,36221,1991,TDP
13,13,Andhra Pradesh,14,Tenali,GEN,Ummareddy Venkateswarlu,M,TDP,252900,Basavapunnaiah Singam,M,INC,242729,10171,1991,TDP
14,14,Andhra Pradesh,15,Guntur,GEN,Lal Jan Basha S.M,M,TDP,307073,N.G. Ranga,M,INC,292329,14744,1991,TDP
15,15,Andhra Pradesh,16,Bapatla,GEN,Venkateswara Rao Daggubati,M,TDP,285778,Salagala Benjamin,M,INC,284681,1097,1991,TDP
16,16,Andhra Pradesh,17,Narasaraopet,GEN,Kasu Venkata Krishna Reddy,M,INC,349041,Anisetty Padmavathi (W),F,TDP,286425,62616,1991,INC
17,17,Andhra Pradesh,18,Ongole,GEN,Mangunta Subbarama Reddy,M,INC,329913,Dega Narasimha Reddy,M,TDP,290583,39330,1991,INC
18,18,Andhra Pradesh,19,Nellore,SC,Kudumula Padmasre (W),F,INC,268626,M. Nagabhushanamma (W),F,TDP,223769,44857,1991,INC
19,19,Andhra Pradesh,20,Tirupati,SC,Chinta Mohan,M,INC,391534,P. Subbaiah,M,TDP,205345,186189,1991,INC
20,20,Andhra Pradesh,21,Chittoor,GEN,M. Gnanendra Reddy,M,INC,373631,Gurram V. Sreenatha Reddy,M,TDP,263649,109982,1991,INC
21,21,Andhra Pradesh,22,Rajampet,GEN,Annaiahgari Saiprathap,M,INC,325107,Palakondrayudu Sugavasi,M,TDP,162813,162294,1991,INC
22,22,Andhra Pradesh,23,Cuddapah,GEN,Y.S. Rajasekhar Reddy,M,INC,583953,C.Ramachandraiah,M,TDP,165028,418925,1991,INC
23,23,Andhra Pradesh,24,Hindupur,GEN,S. Gangadhara,M,INC,317078,K. Ramachandra Reddy,M,TDP,217965,99113,1991,INC
24,24,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkata Reddy,M,INC,362676,B.T.L.N. Chowdary,M,TDP,200392,162284,1991,INC
25,25,Andhra Pradesh,26,Kurnool,GEN,K. Vijaya Bhaskara Reddy,M,INC,302352,S.V. Subba Reddy,M,TDP,249885,52467,1991,INC
26,26,Andhra Pradesh,By Polls (1994),Kurnool,GEN,K.J.S. Prakash Reddy,M,INC,293922,S.V.S. Reddy,M,TD,274276,19646,1991,INC
27,27,Andhra Pradesh,27,Nandyal,GEN,Gangula Prathapa Reddy,M,INC,377556,Challa Rama Krishna Reddy,M,TDP,190790,186766,1991,INC
28,28,Andhra Pradesh,By Polls (1991),Nandyal,GEN,P.V.N.Rao,M,INC,626241,B.Laxman,M,BJP,45944,580297,1991,INC
29,29,Andhra Pradesh,28,Nagarkurnool,SC,Mallu Ravi,M,INC,259128,Mahendranath P.,M,TDP,208888,50240,1991,INC
30,30,Andhra Pradesh,29,Mahabubnagar,GEN,Mallikarjun,M,INC,217072,Dyapa Gopal Reddy,M,TDP,184910,32162,1991,INC
31,31,Andhra Pradesh,30,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,MIM,454823,Baddam Bal Reddy,M,BJP,415299,39524,1991,MIM
32,32,Andhra Pradesh,31,Secunderabad,GEN,Bandaru Dattatraya,M,BJP,253924,T. Manemma Anjaiah (W),F,INC,168861,85063,1991,BJP
33,33,Andhra Pradesh,32,Siddipet,SC,Yellaiah Nandi,M,INC,300629,G. Vijaya Rama Rao,M,TDP,185367,115262,1991,INC
34,34,Andhra Pradesh,33,Medak,GEN,N. Baga Reddy,M,INC,313740,D. Rama Krishna,M,TDP,173590,140150,1991,INC
35,35,Andhra Pradesh,34,Nizamabad,GEN,Gaddam Ganga Reddy,M,TDP,257297,T. Aduri Bala Goud,M,INC,188949,68348,1991,TDP
36,36,Andhra Pradesh,35,Adilabad,GEN,Allola Indrakaran Reddy,M,TDP,208792,P. Narasa Reddy,M,INC,168816,39976,1991,TDP
37,37,Andhra Pradesh,36,Peddapalli,SC,G. Venkat Swamy,M,INC,251019,Suddala Devaiah,M,TDP,141054,109965,1991,INC
38,38,Andhra Pradesh,37,Karimnagar,GEN,Chokka Rao Juvvadi,M,INC,223914,Krishnaiah N.V.,M,IND,106378,117536,1991,INC
39,39,Andhra Pradesh,38,Hanamkonda,GEN,Kamaluddin Ahmed,M,INC,188278,Vanga Sundershan Reddy,M,TDP,123815,64463,1991,INC
40,40,Andhra Pradesh,39,Warangal,GEN,Surendra Reddy Rama Sahayam,M,INC,258733,Nemarugommula Yethiraja Rao,M,TDP,206860,51873,1991,INC
41,41,Andhra Pradesh,40,Khammam,GEN,Rangayya Nayudu P.V.,M,INC,316186,Tammineni Veerabhadram,M,CPM,310268,5918,1991,INC
42,42,Andhra Pradesh,41,Nalgonda,GEN,Bommagani Dharma Biksham,M,CPI,282904,Chakilam Srinivasa Rao,M,INC,214327,68577,1991,CPI
43,43,Andhra Pradesh,42,Miryalguda,GEN,Bheemireddy Narsimha Reddy,M,CPI,309249,B.N. Reddy,M,INC,300986,8263,1991,CPI
44,44,Arunachal Pradesh,1,Arunachal West,GEN,Prem Khandu Thungon,M,INC,103249,Kamen Ringu,M,JD,35668,67581,1991,INC
45,45,Arunachal Pradesh,2,Arunachal East,GEN,Laeta Umbrey,M,INC,76575,Chau Khouk Manpoong,M,JD,28712,47863,1991,INC
46,46,Assam,1,Karimganj,SC,Dwarka Nath Das,M,BJP,231810,Jatindra Chandra Das,M,JD,182057,49753,1991,BJP
47,47,Assam,2,Silchar,GEN,Kabindra Purkayastha,M,BJP,204201,Nurul Huda,M,CPM,193350,10851,1991,BJP
48,48,Assam,3,Autonomous District,GEN,Jayanta Rongpi,M,ADC,139785,Biren Singh Engti,M,INC,82004,57781,1991,ADC
49,49,Assam,4,Dhubri,GEN,Nurul Islam,M,INC,189843,Dinesh Chandra Sarkar,M,BJP,140391,49452,1991,INC
50,50,Assam,5,Kokrajhar,GEN,Satyendra Nath Brohmo Choudhury,M,IND,426727,Louis Islary,M,INC,163588,263139,1991,IND
51,51,Assam,6,Barpeta,GEN,Uddhab Barman,M,CPI,206772,Abdul Latif,M,INC,153665,53107,1991,CPI
52,52,Assam,7,Gauhati,GEN,Kirip Chaliha,M,INC,169628,Asfaf Ali,M,NAGP,124823,44805,1991,INC
53,53,Assam,8,Mangaldoi,GEN,Prbin Deka,M,INC,164410,Birendra Prasad Baishya,M,AGP,146397,18013,1991,INC
54,54,Assam,9,Tezpur,GEN,Swarup Upadhayaya,M,INC,237955,Purna Narayan Sinha,M,AGP,131638,106317,1991,INC
55,55,Assam,10,Nowgong,GEN,Muhiram Saikia,M,AGP,151481,Bishnu Prasad,M,INC,138564,12917,1991,AGP
56,56,Assam,11,Kaliabor,GEN,Tarun Gogoi,M,INC,295049,Debeswar Bora,M,AGP,170330,124719,1991,INC
