,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year,Party_clean
57,57,Assam,12,Jorhat,GEN,Bijoy Krishna Handuqui,M,INC,239369,Paragehar Chaliha,M,AGP,128706,110663,1991,INC
58,58,Assam,13,Dibrugarh,GEN,Paban Singh Ghatowar,M,INC,243937,Dipen Tanti,M,AGP,106017,137920,1991,INC
59,59,Assam,14,Lakhimpur,GEN,Bolin Kuli,M,INC,187610,Iswar Prasanna Hazarika,M,AGP,126250,61360,1991,INC
60,60,Bihar,1,Bagaha,SC,Mahendra Baitha,M,JD,182265,Kanchan Baitha,M,BJP,133690,48575,1991,JD
61,61,Bihar,2,Bettiah,GEN,Faiyazulazam,M,JD,283073,Madan Pra. Jaiswal,M,BJP,184715,98358,1991,JD
62,62,Bihar,3,Motihari,GEN,Kamla Mishra Madhukar,M,CPI,264423,Radha Mohan Singh,M,BJP,166371,98052,1991,CPI
63,63,Bihar,4,Gopalganj,GEN,Abdul Ghafoor,M,JD,351243,Kali Prasad Pandey,M,INC,238593,112650,1991,JD
64,64,Bihar,5,Siwan,GEN,Brishin Patel,M,JD,315336,Umashankar Singh,M,JP,169444,145892,1991,JD
65,65,Bihar,6,Maharajganj,GEN,Girija Devi (W),F,JD,239700,Ram Bahadur Singh,M,JP,215365,24335,1991,JD
66,66,Bihar,7,Chapra,GEN,Lal Babu Rai,M,JD,350282,Rajiv Ranjan Singh,M,JP,225709,124573,1991,JD
67,67,Bihar,8,Hajipur,SC,Ram Sunder Das,M,JD,489105,Dasai Choudhary,M,JP,121353,367752,1991,JD
68,68,Bihar,9,Vaishali,GEN,Sheo Sharan Singh,M,JD,346003,Usha Singh (W),F,INC,236160,109843,1991,JD
69,69,Bihar,10,Muzaffarpur,GEN,George Fernandese,M,JD,320833,Raghunath Pandey,M,INC,270786,50047,1991,JD
70,70,Bihar,11,Sitamarhi,GEN,Nawal Kishore Ray,M,JD,425186,Rambriksha Chaudhary,M,INC,196035,229151,1991,JD
71,71,Bihar,12,Sheohar,GEN,Hari Kishore Singh,M,JD,311178,Raghunath Jha,M,JP,151242,159936,1991,JD
72,72,Bihar,13,Madhubani,GEN,Bhogendra Jha,M,CPI,330111,Jagannath Mishra,M,INC,250020,80091,1991,CPI
73,73,Bihar,14,Jhanjharpur,GEN,Devendra Prasad Yadav,M,JD,372785,Jagdina Chaudhary,M,INC,242711,130074,1991,JD
74,74,Bihar,15,Darbhanga,GEN,Md. Ali Asraf Fatmi,M,JD,318253,Nagendra Jha,M,INC,178275,139978,1991,JD
75,75,Bihar,16,Rosera,SC,Ram Vilas Paswan,M,JD,373710,Ashok Kumar,M,INC,113226,260484,1991,JD
76,76,Bihar,17,Samastipur,GEN,Manjay Lal,M,JD,430450,Baliram Bhagat,M,INC,191418,239032,1991,JD
77,77,Bihar,18,Barh,GEN,Nitish Kumar,M,JD,416275,Sidheshwar Prasad,M,INC,241736,174539,1991,JD
78,78,Bihar,19,Balia,GEN,Surya Narayan Singh,M,CPI,258150,Shyam Sunder Singh Dhiraj,M,INC,163298,94852,1991,CPI
79,79,Bihar,20,Saharsa,GEN,Surya Narain Yadav,M,JD,440749,Taranand Sada,M,INC,242641,198108,1991,JD
80,80,Bihar,21,Madhepura,GEN,Sharad Yadav,M,JD,437483,Anand Mohan,M,JP,152106,285377,1991,JD
81,81,Bihar,22,Araria,SC,Sukdeo Paswan,M,JD,292887,Sukha Paswan,M,BJP,121893,170994,1991,JD
82,82,Bihar,23,Kishanganj,GEN,Syed Shahabuddin,M,JD,231703,Vishwanath Kejriwal,M,BJP,152075,79628,1991,JD
83,83,Bihar,24,Katihar,GEN,Md. Yunus Salim,M,JD,174430,Tarique Anwer,M,INC,150808,23622,1991,JD
84,84,Bihar,25,Rajmahal,ST,Simon Marandi,M,JMM,176223,Thomas Hansda,M,INC,143559,32664,1991,JMM
85,85,Bihar,26,Dumka,ST,Shibu Soren,M,JMM,260169,Babulal Marandi,M,BJP,126528,133641,1991,JMM
86,86,Bihar,27,Godda,GEN,Suraj Mandal,M,JMM,259348,Janardan Yadav,M,BJP,155200,104148,1991,JMM
87,87,Bihar,28,Banka,GEN,Pratap Singh,M,JD,241797,Manorma Singh (W),F,INC,131410,110387,1991,JD
88,88,Bihar,29,Bhagalpur,GEN,Chunchun Pra. Yadav,M,JD,315292,Sadanand Singh,M,IND,146668,168624,1991,JD
89,89,Bihar,30,Khagaria,GEN,Ram Sharan Yadav,M,JD,303773,Vimala Rai (W),F,BJP,150552,153221,1991,JD
90,90,Bihar,31,Monghyr,GEN,Brahmanand Mandal,M,CPI,279472,Dhanraj Singh,M,JP,168488,110984,1991,CPI
91,91,Bihar,32,Begusarai,GEN,Krishna Sahi (W),F,INC,343050,Ram Badan Rai,M,JD,275104,67946,1991,INC
92,92,Bihar,33,Nalanda,GEN,Vijoy Kumar Yadav,M,CPI,365566,Ram Swaroop Prasad,M,INC,273695,91871,1991,CPI
93,93,Bihar,34,Arrah,GEN,Ram Lakhan Singh Yadav,M,JD,275320,Surajdeo Singh,M,JP,219972,55348,1991,JD
94,94,Bihar,35,Buxar,GEN,Tej Narain Singh,M,CPI,234088,Kamal Singh,M,BJP,168088,66000,1991,CPI
95,95,Bihar,36,Sasaram,SC,Chhedi Paswan,M,JD,210823,Meera Kumar (W),F,INC,188261,22562,1991,JD
96,96,Bihar,37,Bikramganj,GEN,Ram Prasad Singh,M,JD,258761,Indu Devi (W),F,INC,81685,177076,1991,JD
97,97,Bihar,38,Aurangabad,GEN,Ram Naresh Singh,M,JD,207642,Satyendra Narain Sinha,M,INC,154786,52856,1991,JD
98,98,Bihar,39,Jahanabad,GEN,Ramramasharay Prasad Singh,M,CPI,332484,Mahendra Prasad,M,INC,297493,34991,1991,CPI
99,99,Bihar,40,Nawada,SC,Prem Chand Ram,M,CPI,418010,Mahaveer Choudhary,M,INC,316417,101593,1991,CPI
100,100,Bihar,41,Gaya,SC,Rajesh Kumar,M,JD,308077,Jitan Ram Manjhi,M,INC,254282,53795,1991,JD
101,101,Bihar,42,Chatra,GEN,Upendra Nath Verma,M,JD,152477,Dhirendra Agrawal,M,BJP,111098,41379,1991,JD
102,102,Bihar,43,Kodarma,GEN,Mumtaz Ansari,M,JD,162419,Ritlal Prasad Verma,M,BJP,148297,14122,1991,JD
103,103,Bihar,44,Giridih,GEN,Binod Bihari Mahto,M,JMM,228413,Ramdas Singh,M,BJP,150610,77803,1991,JMM
104,104,Bihar,By Polls (1992),Giridih,GEN,R.K.Mahte,M,JMM,211345,S.Singh,M,BJP,149842,61503,1991,JMM
105,105,Bihar,45,Dhanbad,GEN,Rita Verma (W),F,BJP,257066,A.K. Roy,M,M-COR,171767,85299,1991,BJP
106,106,Bihar,46,Hazaribagh,GEN,Bhuneshwar Prasad Mehta,M,CPI,171725,Yadunath Pandey,M,BJP,147044,24681,1991,CPI
107,107,Bihar,47,Ranchi,GEN,Ram Tahal Choudhary,M,BJP,223824,Awadhesh Kumar Singh,M,JD,104247,119577,1991,BJP
108,108,Bihar,48,Jamshedpur,GEN,Silendra Mahto,M,JMM,205296,Amrendra Pratap Singh,M,BJP,149049,56247,1991,JMM
109,109,Bihar,49,Singhbhum,ST,Krishna Marandi,M,JMM,121125,Bijay Singh Soy,M,INC,74945,46180,1991,JMM
110,110,Bihar,50,Khunti,ST,Karia Munda,M,BJP,123583,Niral Enem Horo,M,JKP,80209,43374,1991,BJP
111,111,Bihar,51,Lohardaga,ST,Lalit Oraon,M,BJP,139611,Sumati Oraon (W),F,INC,85095,54516,1991,BJP
112,112,Bihar,52,Palamu,SC,Ram Deo Ram,M,BJP,130864,Jorawar Ram,M,JD,110622,20242,1991,BJP
113,113,Goa,1,Panaji,GEN,Prabhu Zantye Harish Narayan,M,INC,88336,Gopal Mayekar,M,MAG,30892,57444,1991,INC
114,114,Goa,2,Mormugao,GEN,Falerio Edurado Martinho,M,INC,93098,Prabhu M.S.,M,MAG,33860,59238,1991,INC
115,115,Gujarat,1,Kutch,GEN,Patel Harilal Nanji,M,INC,179109,Babulal Meghji Shah,M,BJP,146106,33003,1991,INC
116,116,Gujarat,2,Surendranagar,GEN,Kolipatel Somabhai Gadabhai,M,BJP,189389,Sanat Magnlal Mehta,M,INC,178503,10886,1991,BJP
117,117,Gujarat,3,Jamnagar,GEN,Kordiya Chandresh Kumar Valjibhai,M,BJP,178027,Urmilaben Chimanbhai Patel (Dr. Urimila Ben Patel) (W),F,JD(G),131307,46720,1991,BJP
118,118,Gujarat,4,Rajkot,GEN,Shivlalbhai Veraria,M,BJP,277289,Manoharsinhji Pradumnasinhji Jadeja,M,INC,222429,54860,1991,BJP
119,119,Gujarat,5,Porbandar,GEN,Patel Hiralal Madhavjibhai,M,BJP,192869,Manvar Balwantbhai Bachubhai,M,JD(G),113820,79049,1991,BJP
120,120,Gujarat,6,Junagadh,GEN,Chikhaliya Bhavenaben Devrajbhai (W),F,BJP,195821,Govindbhai Kanjibhai (Shekhada),M,JD(G),117381,78440,1991,BJP
121,121,Gujarat,7,Amreli,GEN,Dilipbhai Sanghani,M,BJP,235950,Kotadiya Manubhai Naranbhai,M,JD(G),139349,96601,1991,BJP
122,122,Gujarat,8,Bhavnagar,GEN,Mahavirsinh Harisinhji Gohil,M,BJP,215604,Dhanajibhai Baladhiya,M,INC,125401,90203,1991,BJP
123,123,Gujarat,9,Dhandhuka,SC,Ratilal Verma,M,BJP,202061,Narsinh Makwana,M,INC,171545,30516,1991,BJP
124,124,Gujarat,10,Ahmedabad,GEN,Harin Pathak,M,BJP,233568,Maganbhai Barot,M,INC,141683,91885,1991,BJP
125,125,Gujarat,11,Gandhinagar,GEN,Lal Krishna Advani,M,BJP,356902,G.I. Patel,M,INC,231223,125679,1991,BJP
126,126,Gujarat,12,Mehsana,GEN,A.K. Patel,M,BJP,251605,Patel Babaldas Shankardas,M,INC,169583,82022,1991,BJP
127,127,Gujarat,13,Patan,SC,Mahesh Kanodiya,M,BJP,204115,Parmar Narendrakumar Muljibhai,M,JD(G),159606,44509,1991,BJP
128,128,Gujarat,14,Banaskantha,GEN,Chavda Harisinhji Patapsinhji,M,BJP,226895,Shah Jayantilal Virchandbhai,M,JD(G),174853,52042,1991,BJP
129,129,Gujarat,15,Sabarkantha,GEN,Arvind Trivedi (Lankesh),M,BJP,168704,Maganbhai Manibhai Patel,M,JD(G),132286,36418,1991,BJP
130,130,Gujarat,16,Kapadvanj,GEN,Gabhaji Mangaji Thakor,M,BJP,175471,Chauhan Budhaji Jitaji,M,INC,147137,28334,1991,BJP
131,131,Gujarat,17,Dohad,ST,Damor Somjibhai Punjabhai,M,INC,155707,Bhabhor Sumanbhai Rangjibhai,M,BJP,105998,49709,1991,INC
132,132,Gujarat,18,Godhra,GEN,Veghela Shankerji Laxmanji,M,BJP,202171,Patel Shantilal Purushottamdas,M,JD(G),90694,111477,1991,BJP
133,133,Gujarat,19,Kaira,GEN,K.D. Jeswani,M,BJP,168285,Chauhan Prabtsinh Hathisinh,M,JD(G),166597,1688,1991,BJP
134,134,Gujarat,20,Anand,GEN,Chavda Ishvarbhai Khodabhai,M,INC,234875,Patel Rajnikant Dhulabhai,M,BJP,198836,36039,1991,INC
135,135,Gujarat,21,Chhota Udaipur,ST,Naranbhai Jamlabhai Rathava,M,JD(G),173809,Bhikhubhai Rathava,M,BJP,129722,44087,1991,JD(G)
136,136,Gujarat,22,Baroda,GEN,Dipika Chikhliya (W),F,BJP,276038,Gaekwad Ranjit Singh Pratapsingh,M,INC,241850,34188,1991,BJP
137,137,Gujarat,23,Bharuch,GEN,Chandubhai Deshmukh,M,BJP,248437,Ahmadbhai Mohammedbhai Patel,M,INC,226264,22173,1991,BJP
138,138,Gujarat,24,Surat,GEN,Kashiram Rana,M,BJP,336285,Chaudhary Sahdev Bherabhai,M,INC,229931,106354,1991,BJP
139,139,Gujarat,25,Mandvi,ST,Gamit Chhitubhai Devjibhai,M,INC,258829,Patel Kanjibhai Maganbhai,M,BJP,152813,106016,1991,INC
140,140,Gujarat,26,Bulsar,ST,Uttambhai Harjibhai Patel,M,INC,190868,Khalpabhai Chhaganbhai Patel,M,BJP,125260,65608,1991,INC
141,141,Haryana,1,Ambala,SC,Ram Prakash,M,INC,196406,Suraj Bhan,M,BJP,124464,71942,1991,INC
142,142,Haryana,2,Kurukshetra,GEN,Tara Singh,M,INC,212783,Shyam Singh,M,JP,182758,30025,1991,INC
143,143,Haryana,3,Karnal,GEN,Chiranji Lal Sharma,M,INC,200770,Chasham Pal Singh,M,JD,145598,55172,1991,INC
144,144,Haryana,4,Sonipat,GEN,Dharampal Singh,M,INC,247572,Kapil Dev,M,JP,202770,44802,1991,INC
145,145,Haryana,5,Rohtak,GEN,Bhupender Singh,M,INC,241235,Devi Lal,M,JP,210662,30573,1991,INC
146,146,Haryana,6,Faridabad,GEN,Avtar Singh Bhadana,M,INC,268965,Khurshid Ahmed,M,JD,217443,51522,1991,INC
147,147,Haryana,7,Mahendragarh,GEN,Ram Singh,M,INC,241808,Birender Singh,M,JP,169820,71988,1991,INC
148,148,Haryana,8,Bhiwani,GEN,Jangbir Singh,M,HVP,210090,Jai Narain,M,INC,179525,30565,1991,HVP
149,149,Haryana,9,Hisar,GEN,Narain Singh,M,INC,233012,Jai Parkash,M,JP,206818,26194,1991,INC
150,150,Haryana,10,Sirsa,SC,Shailja (W),F,INC,287927,Het Ram,M,JP,188829,99098,1991,INC
151,151,Himachal Pradesh,1,Shimla,SC,Krishan Dutt Sultanpuri,M,INC,209406,Roop Dass Kashyap,M,BJP,162546,46860,1991,INC
152,152,Himachal Pradesh,2,Mandi,GEN,Sukh Ram,M,INC,233380,Maheshwar Singh,M,BJP,206753,26627,1991,INC
153,153,Himachal Pradesh,3,Kangra,GEN,D.D. Khanoria,M,BJP,174457,Chandresh Kumari (W),F,INC,163641,10816,1991,BJP
154,154,Himachal Pradesh,4,Hamirpur,GEN,Prem Kumar Dhumal,M,BJP,205970,Narain Chandra Parashar,M,INC,202232,3738,1991,BJP
155,155,Karnataka,1,Bidar,SC,Ramchandra Veerappa,M,BJP,227867,Narsingrao Hulaji Suryawanshi,M,INC,111642,116225,1991,BJP
156,156,Karnataka,2,Gulbarga,GEN,B.G. Jawali,M,INC,182351,Basawaraj Patil Sedam,M,BJP,120268,62083,1991,INC
157,157,Karnataka,3,Raichur,GEN,Venkatesh Naik,M,INC,194709,Nazeer Ahmed Siddiqui,M,JD,72251,122458,1991,INC
158,158,Karnataka,4,Koppal,GEN,Anwari Basavaraj Patil,M,INC,241176,Siddaramaiah,M,JD,229979,11197,1991,INC
159,159,Karnataka,5,Bellary,GEN,Basavarajeshwari (W),F,INC,234812,Y. Netakallappa,M,JD,168831,65981,1991,INC
160,160,Karnataka,6,Davanagere,GEN,Channaiah Odeyar,M,INC,237542,S.A. Rabindranath,M,BJP,237087,455,1991,INC
161,161,Karnataka,7,Chitradurga,GEN,C.P. Mudalagiriyappa,M,INC,302847,L.G. Havanura,M,BJP,220335,82512,1991,INC
162,162,Karnataka,8,Tumkur,GEN,S. Mallikarjunaiah,M,BJP,255186,G.S. Basavaraj,M,INC,236269,18917,1991,BJP
163,163,Karnataka,9,Chikkaballapur,GEN,V. Krishna Rao,M,INC,309614,R.L. Jalappa,M,JD,206243,103371,1991,INC
164,164,Karnataka,10,Kolar,SC,K.H. Muniyappa,M,INC,235902,V. Hanumappa,M,BJP,173525,62377,1991,INC
165,165,Karnataka,11,Kanakapura,GEN,M.V. Chandrashekara Murthy,M,INC,301455,Ramchandra Gowda,M,BJP,267992,33463,1991,INC
166,166,Karnataka,12,Bangalore North,GEN,C.K. Jaffer Sharief,M,INC,252272,C. Narayanaswamy,M,JD,191955,60317,1991,INC
167,167,Karnataka,13,Bangalore South,GEN,K. Venkatgiri Gowda,M,BJP,275083,R. Gundu Rao,M,INC,247835,27248,1991,BJP
168,168,Karnataka,14,Mandya,GEN,G. Madegowda,M,INC,259500,D. Ramalingaiah,M,BJP,164153,95347,1991,INC
169,169,Karnataka,15,Chamarajanagar,SC,V. Sreenivasa Prasad,M,INC,217735,H.C. Mahadevappa,M,JD,148775,68960,1991,INC
170,170,Karnataka,16,Mysore,GEN,Chandraprabha Urs (W),F,INC,225881,Srikantadatta Narasimharaja Wadiyar,M,BJP,208999,16882,1991,INC
171,171,Karnataka,17,Mangalore,GEN,V. Dhananjaya Kumar,M,BJP,274700,Janardhana Poojari,M,INC,239695,35005,1991,BJP
172,172,Karnataka,18,Udupi,GEN,Oscar Fernandes,M,INC,234120,A. Rukmayya Poojary,M,BJP,146308,87812,1991,INC
173,173,Karnataka,19,Hassan,GEN,H.D. Devegowda,M,JP,260761,H.C. Srikanthaiah Alias Annaiah,M,INC,257570,3191,1991,JP
174,174,Karnataka,20,Chikmagalur,GEN,D.K. Tharadevi (W),F,INC,217309,D.C. Srikantappa,M,BJP,185437,31872,1991,INC
175,175,Karnataka,21,Shimoga,GEN,K.G. Shivappa,M,INC,281182,B.S. Yediyurappa,M,BJP,240479,40703,1991,INC
176,176,Karnataka,22,Kanara,GEN,Naik G. Devaraya,M,INC,171436,Karki Manjunath,M,BJP,141472,29964,1991,INC
177,177,Karnataka,23,Dharwad South,GEN,B.M. Mujahid,M,INC,231473,B.G. Banakar,M,BJP,157702,73771,1991,INC
178,178,Karnataka,24,Dharwad North,GEN,D.K. Naikar,M,INC,157682,Bellad Chandrakant,M,BJP,135891,21791,1991,INC
179,179,Karnataka,25,Belgaum,GEN,Sidnal Shanmukhappa Basappa,M,INC,161391,Babagouda Rudragouda Patil,M,KRS,115282,46109,1991,INC
180,180,Karnataka,26,Chikkodi,SC,B. Shankaranand,M,INC,261884,A.K. Rayannavar,M,JD,149268,112616,1991,INC
181,181,Karnataka,27,Bagalkot,GEN,Siddappa Bhimappa Nyamagoudar,M,INC,276849,Ramakrishna Hegade,M,JD,255645,21204,1991,INC
182,182,Karnataka,28,Bijapur,GEN,Gudadinni Basagondappa Kadappa,M,INC,207887,Pattan Shetty Rajashekar Veergondappa,M,BJP,140233,67654,1991,INC
183,183,Kerala,1,Kasaragod,GEN,M. Ramanna Rai,M,CPI,344536,K.C. Venugopal,M,INC,335113,9423,1991,CPI
184,184,Kerala,2,Cannanore,GEN,Mullappally Ramachandran,M,INC,376696,E. Ebranhim Kutty,M,CPM,335569,41127,1991,INC
185,185,Kerala,3,Badagara,GEN,Unnikrishnan K.P. (Scs),M,ICS(SCS),395501,M. Ratnasingh,M,IND,378012,17489,1991,ICS(SCS)
186,186,Kerala,4,Calicut,GEN,K. Muraleedharan,M,INC,355113,M.P. Veerendra Kumar,M,JD,339229,15884,1991,INC
