,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year,Party_clean
0,Andhra Pradesh,1,Srikakulam,GEN,Appayyadora Hanumantu,M,TDP,298167,Rajgopalarao Boddepalli,M,INC,173699,124468,1984,TDP
1,Andhra Pradesh,2,Parvathipuram,ST,Kishore Chandra Suryamarayana Deo Vyricheria,M,ICS,233175,Narasimha Rao Viswasa Rayi,M,INC,184495,48680,1984,ICS
2,Andhra Pradesh,3,Bobbili,GEN,Anand Gajapathi Raju Poosapati,M,TDP,315156,Penumetcha Samba Siva Raju,M,INC,177573,137583,1984,TDP
3,Andhra Pradesh,4,Visakhapatnam,GEN,Bhattam Sreerama Murthy,M,TDP,334399,Narayana Murthy Patrudu Sukhavasi,M,INC,193968,140431,1984,TDP
4,Andhra Pradesh,5,Bhadrachalam,ST,Sode Ramaiah,M,CPI,195618,B.Radhabai Anandarao,F,INC,170978,24640,1984,CPI
5,Andhra Pradesh,6,Anakapalli,GEN,Appalanarasimham P.,M,TDP,322347,Appalanaidy S.R.A.S.,M,INC,147531,174816,1984,TDP
6,Andhra Pradesh,7,Kakinada,GEN,Thota Gopala Krishna,M,TDP,344038,Sanjeeva Rao M.S.,M,INC,214324,129714,1984,TDP
7,Andhra Pradesh,8,Rajahmundry,GEN,Srihari Rao,M,TDP,381091,Satyanarayana Rao S.B.P.B.K.,M,INC,227213,153878,1984,TDP
8,Andhra Pradesh,9,Amalapuram,SC,Aithabathula Jogeswara Venkata,M,TDP,317481,Kusuma Krishna Murthy,M,INC,197750,119731,1984,TDP
9,Andhra Pradesh,10,Narsapuram,GEN,Vijaya Kumar Raju Bhupathiraju,M,TDP,366534,Alluri Subhaschandra Bose,M,INC,170160,196374,1984,TDP
10,Andhra Pradesh,11,Eluru,GEN,Bolla Bulli Ramaiah,M,TDP,351340,Vatti Venkata Ranga Partha Sarathi,M,INC,239688,111652,1984,TDP
11,Andhra Pradesh,12,Machilipatnam,GEN,Sambasivarao Kuvuru,M,INC,272513,Vaddi Rangarao,M,TDP,263420,9093,1984,INC
12,Andhra Pradesh,13,Vijayawada,GEN,Vadde Sobhanadreeswara Rao,M,TDP,318023,Chennupati Vidya,F,INC,289579,28444,1984,TDP
13,Andhra Pradesh,14,Tenali,GEN,Nissankararao Venkataratnam,M,TDP,256766,Basav Punnayya Singam,M,INC,246328,10438,1984,TDP
14,Andhra Pradesh,15,Guntur,GEN,N.G.Ranga,M,INC,293589,Chandraskhara Rao Movva,M,TDP,281695,11894,1984,INC
15,Andhra Pradesh,16,Bapatla,GEN,Chimata Sambu,M,TDP,290492,Rajeswara Rao Maddirala,M,INC,256072,34420,1984,TDP
16,Andhra Pradesh,17,Narasaraopet,GEN,Katuri Narayanaswamy,M,TDP,295059,Kasu Bramananda Reddy,M,INC,280821,14238,1984,TDP
17,Andhra Pradesh,18,Ongole,GEN,Bezawada Papireddy,M,TDP,287662,Nkata Reddy Puli,M,INC,269519,18143,1984,TDP
18,Andhra Pradesh,19,Nellore,SC,Penchalaiah Puchalapalli,M,TDP,296284,Orepalli Venkata Subbaiah,M,INC,242733,53551,1984,TDP
19,Andhra Pradesh,20,Tirupati,SC,Chinta Mohan,M,TDP,318467,Penchalaiah Pasala,M,INC,283686,34781,1984,TDP
20,Andhra Pradesh,21,Chittoor,GEN,N.P.Jhansi Lakshmi,F,TDP,332543,Amaranadha Reddy Nallari,M,INC,271332,61211,1984,TDP
21,Andhra Pradesh,22,Rajampet,GEN,Palakondrayudu Sugavasi,M,TDP,298060,A.Sai Prathap,M,INC,180913,117147,1984,TDP
22,Andhra Pradesh,23,Cuddapah,GEN,D.N.Reddy,M,TDP,332915,Obula Reddy Kandula,M,INC,278607,54308,1984,TDP
23,Andhra Pradesh,24,Hindupur,GEN,K. Ramachandra Reddy,M,TDP,349239,D. Reddappa Reddy,M,INC,193902,155337,1984,TDP
24,Andhra Pradesh,25,Anantapur,GEN,Devineni Narayana Swamy,M,TDP,302307,Daruru Pullaiah,M,INC,193658,108649,1984,TDP
25,Andhra Pradesh,26,Kurnool,GEN,Erasu Ayyapu Reddy,M,TDP,253832,Kotla Vijaya Bhaskara Reddy,M,INC,246542,7290,1984,TDP
26,Andhra Pradesh,27,Nandyal,GEN,Maddur Subba Reddy,M,TDP,298420,Pendekanti Venkata Subbaiah,M,INC,248157,50263,1984,TDP
27,Andhra Pradesh,28,Nagarkurnool,SC,V. Tulsiram,M,TDP,301089,Anantharamulu Mallu,M,INC,211952,89137,1984,TDP
28,Andhra Pradesh,29,Mahabubnagar,GEN,Sudini Jaipal Reddy,M,JNP,274064,Mallikarjun,M,INC,193961,80103,1984,JNP
29,Andhra Pradesh,30,Hyderabad,GEN,Sultan Salahuddin Owaise,M,IND,222187,K.Prahbakara Reddy,M,TDP,218706,3481,1984,IND
30,Andhra Pradesh,31,Secunderabad,GEN,T.Anjaiah,M,INC,246309,Bandaru Dattareya,M,BJP,237835,8474,1984,INC
31,Andhra Pradesh,By Polls (1987),Secunderabad,GEN,T.Manemmhja(W),F,INC,182861,B.P.Reddy,M,TDP,90300,92561,1984,INC
32,Andhra Pradesh,32,Siddipet,SC,G.Vijayaramarao,M,TDP,253243,Yelliah Nandi,M,INC,239042,14201,1984,TDP
33,Andhra Pradesh,33,Medak,GEN,P.Manik Reddy,M,TDP,263524,P.Manik Reddy,M,INC,261708,1816,1984,TDP
34,Andhra Pradesh,34,Nizamabad,GEN,Tadur Bala Goud,M,INC,251172,M. Narayan Reddy,M,TDP,248725,2447,1984,INC
35,Andhra Pradesh,35,Adilabad,GEN,C. Madhav Reddy,M,TDP,238440,C. Narisimha Reddy,M,INC,183882,54558,1984,TDP
36,Andhra Pradesh,36,Peddapalli,SC,Gotte Bhoopathy,M,TDP,246334,Ganta Srihari,M,INC,199376,46958,1984,TDP
37,Andhra Pradesh,37,Karimnagar,GEN,Juvvadi Chokkarao,M,INC,243357,Chenna Reddy M.,M,IND,164750,78607,1984,INC
38,Andhra Pradesh,38,Hanamkonda,GEN,Chandupatla Janga Reddy,M,BJP,263762,P.V. Narasimha Rao,M,INC,209564,54198,1984,BJP
39,Andhra Pradesh,39,Warangal,GEN,T. Kalpana Devi,F,TDP,232088,Kamaluddin Ahmed,M,INC,223632,8456,1984,TDP
40,Andhra Pradesh,40,Khammam,GEN,Jalagam Vengala Rao,M,INC,261056,Nallamala Prasad Rao,M,CPI,169557,91499,1984,INC
41,Andhra Pradesh,41,Nalgonda,GEN,Mallareddy Raguma Reddy,M,TDP,324973,Damodar Reddy Tummalpally,M,INC,210563,114410,1984,TDP
42,Andhra Pradesh,42,Miryalguda,GEN,Bhimreddy Narsimha Reddy,M,CPI,282973,Chakilam Sreenivasa Rao,M,INC,241218,41755,1984,CPI
43,Arunachal Pradesh,1,Arunachal West,GEN,P.K.Thangon,M,INC,56219,Tomo Riba,M,PPA,55758,461,1984,INC
44,Arunachal Pradesh,2,Arunachal East,GEN,Wangpha Lowang,M,INC,41912,Bakin Pertin,M,PPA,22697,19215,1984,INC
45,Bihar,1,Bagaha,SC,Bhola Raut,M,INC,209301,Jagannath Prasad Swatantra,M,JNP,43767,165534,1984,INC
46,Bihar,2,Bettiah,GEN,Manoj Kumar Pande,M,INC,223945,Pitambar Singh,M,CPI,88677,135268,1984,INC
47,Bihar,3,Motihari,GEN,Prabhawati Gupta,F,INC,255980,Kamla Mishra Madhukar,M,CPI,111685,144295,1984,INC
