,Unnamed: 0,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes,State,Year
449,449,Azamgarh,GEN,Dharmendra Yadav,SP,48,508239,Dinesh Lal Yadav,BJP,32,347204,15,161035,Uttar Pradesh,2024
450,450,Ghosi,GEN,Rajeev Rai,SP,43,503131,Arvind Rajbhar,SBSP,29,340188,14,162943,Uttar Pradesh,2024
451,451,Salempur,GEN,Ramashankar Rajbhar,SP,44,405472,Ravindra Kushawaha,BJP,43,401899,0,3573,Uttar Pradesh,2024
452,452,Ballia,GEN,Sanatan Pandey,SP,46,467068,Neeraj Shekhar,BJP,42,423684,4,43384,Uttar Pradesh,2024
453,453,Jaunpur,GEN,Babu Singh Kushwaha,SP,46,509130,Kripashankar Singh,BJP,37,409795,9,99335,Uttar Pradesh,2024
454,454,Machhlishahr,SC,Priya Saroj,SP,42,451292,B. P. Saroj,BJP,39,415442,3,35850,Uttar Pradesh,2024
455,455,Ghazipur,GEN,Afzal Ansari,SP,46,539912,Pars Nath Rai,BJP,35,415051,10,124861,Uttar Pradesh,2024
456,456,Chandauli,GEN,Birendra Singh,SP,42,474476,Mahendra Nath Pandey,BJP,40,452911,1,21565,Uttar Pradesh,2024
457,457,Varanasi,GEN,Narendra Modi,BJP,54,612970,Ajay Rai,INC,40,460457,13,152513,Uttar Pradesh,2024
458,458,Bhadohi,GEN,Vinod Kumar Bind,BJP,42,459982,Laliteshpati Tripathi,AITC,38,415910,4,44072,Uttar Pradesh,2024
459,459,Mirzapur,GEN,Anupriya Patel,AD(S),42,471631,Ramesh Chand Bind,SP,39,433821,3,37810,Uttar Pradesh,2024
460,460,Robertsganj,SC,Chhotelal,SP,46,465848,Rinki Kol,AD(S),33,336614,12,129234,Uttar Pradesh,2024
461,461,Garhwal,GEN,Anil Baluni,BJP,58,432159,Ganesh Godiyal,INC,36,268656,22,163503,Uttarakhand,2024
462,462,Almora,SC,Ajay Tamta,BJP,64,429167,Pradeep Tamta,INC,29,195070,35,234097,Uttarakhand,2024
463,463,Nainital‑Udhamsingh Nagar,GEN,Ajay Bhatt,BJP,61,772671,Prakash Joshi,INC,34,438123,26,334548,Uttarakhand,2024
464,464,Haridwar,GEN,Trivendra Singh Rawat,BJP,50,653808,Virendra Rawat,INC,37,489752,12,164056,Uttarakhand,2024
465,465,Alipurduars,SC,Manoj Tigga,BJP,48,695314,Prakash Chik Baraik,AITC,43,619867,5,75447,West Bengal,2024
466,466,Jalpaiguri,SC,Jayanta Kumar Roy,BJP,48,766568,Nirmal Chandra Roy,AITC,43,679875,5,86693,West Bengal,2024
467,467,Darjeeling,GEN,Raju Bista,BJP,51,679331,Gopal Lama,AITC,37,500806,13,178525,West Bengal,2024
468,468,Raiganj,GEN,Kartick Chandra Paul,BJP,40,560897,Krishna Kalyani,AITC,36,492700,4,68197,West Bengal,2024
469,469,Balurghat,GEN,Sukanta Majumdar,BJP,46,574996,Biplab Mitra,AITC,45,564610,0,10386,West Bengal,2024
470,470,Maldaha Uttar,GEN,Khagen Murmu,BJP,37,527023,Prasun Banerjee,AITC,31,449315,5,77708,West Bengal,2024
471,471,Maldaha Dakshin,GEN,Isha Khan Choudhury,INC,41,572395,Sreerupa Mitra Chaudhury,BJP,32,444027,9,128368,West Bengal,2024
472,472,Jangipur,GEN,Khalilur Rahaman,AITC,39,544427,Murtoja Hossain Bokul,INC,31,427790,8,116637,West Bengal,2024
473,473,Baharampur,GEN,Yusuf Pathan,AITC,37,524516,Adhir Ranjan Chowdhury,INC,31,439494,6,85022,West Bengal,2024
474,474,Murshidabad,GEN,Abu Taher Khan,AITC,44,682442,Mohammed Salim,CPI,33,518227,10,164215,West Bengal,2024
475,475,Krishnanagar,GEN,Mahua Moitra,AITC,44,628789,Amrita Roy,BJP,40,572084,3,56705,West Bengal,2024
476,476,Ranaghat,SC,Jagannath Sarkar,BJP,50,782396,Mukut Mani Adhikari,AITC,38,595497,12,186899,West Bengal,2024
477,477,Bangaon,SC,Shantanu Thakur,BJP,48,719505,Biswajit Das,AITC,43,645812,4,73693,West Bengal,2024
478,478,Barrackpore,GEN,Partha Bhowmick,AITC,45,520231,Arjun Singh,BJP,39,455793,5,64438,West Bengal,2024
479,479,Dum Dum,GEN,Sougata Ray,AITC,41,528579,Silbhadra Datta,BJP,36,457919,5,70660,West Bengal,2024
480,480,Barasat,GEN,Kakoli Ghosh Dastidar,AITC,45,692010,Swapan Majumder,BJP,37,577821,7,114189,West Bengal,2024
481,481,Basirhat,GEN,Sk Nurul Islam,AITC,52,803762,Rekha Patra,BJP,30,470215,21,333547,West Bengal,2024
482,482,Joynagar,SC,Pratima Mondal,AITC,60,894312,Ashok Kandary,BJP,28,424093,31,470219,,2024
483,483,Mathurapur,SC,Bapi Haldar,AITC,50,755731,Ashok Purkait,BJP,37,554674,13,201057,West Bengal,2024
484,484,Diamond Harbour,GEN,Abhishek Banerjee,AITC,68,1048230,Abhijit Das (Bobby),BJP,22,337300,46,710930,West Bengal,2024
485,485,Jadavpur,GEN,Sayani Ghosh,AITC,45,717899,Dr. Anirban Ganguly,BJP,29,459698,16,258201,West Bengal,2024
486,486,Kolkata Dakshin,GEN,Mala Roy,AITC,49,615274,Debasree Chaudhuri,BJP,34,428043,15,187231,West Bengal,2024
487,487,Kolkata Uttar,GEN,Sudip Bandyopadhyay,AITC,47,454696,Tapas Roy,BJP,37,362136,9,92560,West Bengal,2024
488,488,Howrah,GEN,Prasun Banerjee,AITC,49,626493,Rathin Chakravarty,BJP,35,457051,13,169442,West Bengal,2024
489,489,Uluberia,GEN,Sajda Ahmed,AITC,52,724622,Arunuday Paulchowdhury,BJP,36,505949,15,218673,West Bengal,2024
490,490,Serampore,GEN,Kalyan Banerjee,AITC,45,673970,Kabir Shankar Bose,BJP,33,499140,11,174830,West Bengal,2024
491,491,Hooghly,GEN,Rachna Banerjee,AITC,46,702744,Locket Chatterjee,BJP,41,625891,5,76853,West Bengal,2024
492,492,Arambagh,SC,Mitali Bag,AITC,45,712587,Arup Kanti Digar,BJP,45,706188,0,6399,West Bengal,2024
493,493,Tamluk,GEN,Abhijit Gangopadhyay,BJP,48,765584,Debangshu Bhattacharya,AITC,43,687851,4,77733,West Bengal,2024
494,494,Kanthi,GEN,Soumendu Adhikari,BJP,49,763195,Uttam Barik,AITC,46,715431,3,47764,West Bengal,2024
495,495,Ghatal,GEN,Deepak Adhikari (Dev),AITC,52,837990,Hiranmoy Chattopadhyaya,BJP,40,655122,11,182868,West Bengal,2024
496,496,Jhargram,ST,Kalipada Saren,AITC,49,743478,Dr. Pranat Tudu,BJP,38,569430,11,174048,West Bengal,2024
497,497,Medinipur,GEN,June Maliah,AITC,47,702192,Agnimitra Paul,BJP,45,675001,1,27191,West Bengal,2024
498,498,Purulia,GEN,Jyotirmay Singh Mahato,BJP,40,578489,Shantiram Mahato,AITC,39,561410,1,17079,West Bengal,2024
499,499,Bankura,GEN,Arup Chakraborty,AITC,44,641813,Subhas Sarkar,BJP,42,609035,2,32778,West Bengal,2024
500,500,Bishnupur,SC,Saumitra Khan,BJP,44,680130,Sujata Mondal,AITC,44,674563,0,5567,West Bengal,2024
501,501,Bardhaman Purba,SC,Sharmila Sarkar,AITC,48,720302,Asim Kumar Sarkar,BJP,37,559730,10,160572,West Bengal,2024
502,502,Bardhaman-Durgapur,GEN,Kirti Azad Jha,AITC,47,720667,Dilip Ghosh,BJP,38,582686,9,137981,West Bengal,2024
503,503,Asansol,GEN,Shatrughan Prasad Sinha,AITC,46,605645,Surendrajeet Singh Ahluwalia,BJP,41,546081,4,59564,West Bengal,2024
504,504,Bolpur,SC,Asit Kumar Mal,AITC,55,855633,Piya Saha,BJP,34,528380,21,327253,West Bengal,2024
505,505,Birbhum,GEN,Satabdi Roy,AITC,47,717961,Debtanu Bhattacharya,BJP,34,520311,12,197650,West Bengal,2024
506,506,Andaman And Nicobar Islands,GEN,Bishnu Pada Ray,BJP,50,102436,Kuldeep Rai Sharma,INC,38,78040,12,24396,Andaman and Nicobar Islands,2024
507,507,Araku,ST,Gumma Thanuja Rani,YSRCP,40,477005,Kothapalli Geetha,BJP,36,426425,4,50580,Andhra Pradesh,2024
508,508,Arunachal West,ST,Kiren Rijiju,BJP,51,205417,Nabam Tuki,INC,26,104679,25,100738,Arunachal Pradesh,2024
509,509,Kokrajhar,ST,Joyanta Basumatary,UPPL,39,488995,Kampa Borgoyari,BPF,35,437412,4,51583,Assam,2024
510,510,Valmiki Nagar,GEN,Sunil Kumar,JD(U),47,523422,Deepak Yadav,RJD,38,424747,9,98675,Bihar,2024
511,511,Chandigarh,GEN,Manish Tewari,INC,48,216657,Sanjay Tandon,BJP,47,214153,0,2504,Chandigarh,2024
512,512,Surguja,ST,Chintamani Maharaj,BJP,49,713200,Shashi Singh,INC,44,648328,4,64822,Chhattisgarh,2024
513,513,Daman And Diu,GEN,Patel Umeshbhai Babubhai,Independent,46,42523,Lalubhai Babubhai Patel,BJP,39,36298,6,6225,Dadra and Nagar Haveli and Daman and Diu,2024
514,514,Chandni Chowk,GEN,Praveen Khandelwal,BJP,53,516496,Jai Prakash Agarwal,INC,44,427171,9,89325,Delhi,2024
515,515,North Goa,GEN,Shripad Yesso Naik,BJP,56,257326,Ramakant Khalap,INC,30,141311,25,116015,Goa,2024
516,516,Kachchh,SC,Vinodbhai Chavda,BJP,60,659574,Nitishbhai Lalan,INC,35,390792,25,268782,Gujarat,2024
517,517,Ambala,SC,Varun Chaudhary,INC,49,663657,Banto Kataria,BJP,45,614621,3,49036,Haryana,2024
518,518,Kangra,GEN,Rajeev Bhardwaj,BJP,61,632793,Anand Sharma,INC,36,380898,24,251895,Himachal Pradesh,2024
519,519,Baramulla,GEN,Abdul Rashid Sheikh,Independent,45,472481,Omar Abdullah,JKNC,25,268339,19,204142,Jammu And Kashmir,2024
520,520,Rajmahal,ST,Vijay Kumar Hansdak,JMM,50,613371,Tala Marandi,BJP,35,435107,14,178264,Jharkhand,2024
521,521,Chikkodi,GEN,Priyanka Jarkiholi,INC,51,713461,Annasaheb Shankar Jolle,BJP,44,622627,6,90834,Karnataka,2024
522,522,Kasaragod,GEN,Rajmohan Unnithan,INC,44,490659,M. V. Balakrishnan,CPI,35,390010,9,100649,Kerala,2024
523,523,Ladakh,ST,Mohmad Haneefa,Independent,48,37397,Tsering Namgyal,INC,27,65259,20,27862,Ladakh,2024
524,524,Lakshadweep,ST,Muhammed Hamdulla Sayeed,INC,52,25726,Mohammed Faizal Padippura,NCP-SP,46,23079,5,2647,Lakshadweep,2024
525,525,Morena,GEN,Shivmangal Singh Tomar,BJP,43,515477,Neetu Satyapal Singh Sikarwar,INC,38,462947,4,52530,Madhya Pradesh,2024
526,526,Nandurbar,ST,Gowaal Kagada Padavi,INC,53,745998,Dr Heena Vijaykumar Gavit,BJP,42,586878,11,159120,Maharashtra,2024
527,527,Inner Manipur,GEN,Angomcha Bimol Akoijam,INC,46,374017,Thounaojam Basanta Kumar Singh,BJP,33,264216,13,109801,Manipur,2024
528,528,Shillong,ST,Ricky AJ Syngkon,VPP,55,571078,Vincent H. Pala,INC,19,199168,35,371910,Meghalaya,2024
529,529,Mizoram,ST,Richard Vanlalhmangaiha,ZPM,42,208552,K. Vanlalvena,MNF,28,140264,13,68288,Mizoram,2024
530,530,Nagaland,ST,S. Supongmeren Jamir,INC,52,401951,Chumben Murry,NDPP,46,350967,6,50984,Nagaland,2024
531,531,Bargarh,GEN,Pradeep Purohit,BJP,54,716359,Parinita Mishra,BJD,35,464692,19,251667,Odisha,2024
532,532,Puducherry,GEN,V. Vaithilingam,INC,52,426005,A. Namassivayam,BJP,35,289489,16,136516,Puducherry,2024
533,533,Gurdaspur,GEN,Sukhjinder Singh Randhawa,INC,33,364043,Dinesh Singh,BJP,26,281182,7,82861,Punjab,2024
534,534,Ganganagar,SC,Kuldeep Indora,INC,51,726492,Priyanka Balan Meghwal,BJP,45,638339,6,88153,Rajasthan,2024
535,535,Sikkim,GEN,Indra Hang Subba,SKM,42,164396,Bharat Basnett,Citizen Action Party (Sikkim),21,83566,21,164396,Sikkim,2024
536,536,Thiruvallur,GEN,Sasikanth Senthil,INC,56,796956,V. Pon Balaganapathy,BJP,15,224801,40,572155,Tamil Nadu,2024
537,537,Adilabad,ST,Godam Nagesh,BJP,45,568168,Athram Suguna,INC,38,477516,7,90652,Telangana,2024
538,538,Tripura West,GEN,Biplab Kumar Deb,BJP,72,881341,Ashish Kumar Saha,INC,22,269763,50,611578,Tripura,2024
539,539,Saharanpur,GEN,Imran Masood,INC,44,547967,Raghav Lakhanpal,BJP,39,483425,5,64542,Uttar Pradesh,2024
540,540,Tehri Garhwal,GEN,Mala Rajya Lakshmi Shah,BJP,53,462603,Jot Singh Gunsola,INC,22,190110,31,272493,Uttarakhand,2024
541,541,Cooch Behar,SC,Jagadish Chandra Barma Basunia,AITC,48,788375,Nisith Pramanik,BJP,46,749125,2,39250,West Bengal,2024
