,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin Votes,Year
38,38,Assam,11,Kaliabor,GEN,Gourav Gogoi,INC,443315,Mrinal Kumar Saikia,BJP,349441,93874,2014
39,39,Assam,12,Jorhat,GEN,Kamakhya Prasad Tasa,BJP,456420,Bijoy Krishna Handique,INC,354000,102420,2014
40,40,Assam,13,Dibrugarh,ST,Rameswar Teli,BJP,494364,Paban Singh Ghatowar,INC,309017,185347,2014
41,41,Assam,14,Lakhimpur,GEN,Sarbananda Sonowal,BJP,612543,Ranee Narah,INC,320405,292138,2014
42,42,Bihar,1,Valmiki Nagar,GEN,Satish Chandra Dubey,BJP,364011,Purnmasi Ram,INC,246218,117793,2014
43,43,Bihar,2,Paschim Champaran,GEN,Dr. Sanjay Jaiswal,BJP,371232,Prakash Jha,JD(U),260978,110254,2014
44,44,Bihar,3,Purvi Champaran,GEN,Radha Mohan Singh,BJP,400452,Binod Kumar Srivastava,RJD,208289,192163,2014
45,45,Bihar,4,Sheohar,GEN,Rama Devi,BJP,372506,Md Anwarul Haque,RJD,236267,136239,2014
46,46,Bihar,5,Sitamarhi,GEN,Ram Kumar Sharma,RLSP,411265,Sitaram Yadav,RJD,263300,147965,2014
47,47,Bihar,6,Madhubani,GEN,Hukm Deo Narayan Yadav,BJP,358040,Abdul Bari Siddiqui,RJD,337505,20535,2014
48,48,Bihar,7,Jhanjharpur,GEN,Birendra Kumar Chaudhary,BJP,335481,Mangani Lal Mandal,RJD,280073,55408,2014
49,49,Bihar,8,Supaul,GEN,Ranjeet Ranjan,INC,332927,Dileshwar Kamait,JD(U),273255,59672,2014
50,50,Bihar,9,Araria,GEN,Tasleem Uddin,RJD,407978,Pradeep Kumar Singh,BJP,261474,146504,2014
51,51,Bihar,10,Kishanganj,GEN,Mohammad Asrarul Haque,INC,493461,Dr Dilip Kumar Jaiswal,BJP,298849,194612,2014
52,52,Bihar,11,Katihar,GEN,Tariq Anwar,NCP,431292,Nikhil Kumar Choudhary,BJP,316552,114740,2014
53,53,Bihar,12,Purnia,GEN,Santosh Kumar,JD(U),418826,Uday Singh Alias Pappu Singh,BJP,302157,116669,2014
54,54,Bihar,13,Madhepura,GEN,Rajesh Ranjan (Pappu Yadav),RJD,368937,Sharad Yadav,JD(U),312728,56209,2014
55,55,Bihar,14,Darbhanga,GEN,Kirti Azad,BJP,314949,Md. Ali Ashraf Fatmi,RJD,279906,35043,2014
56,56,Bihar,15,Muzaffarpur,GEN,Ajay Nishad,BJP,469295,Akhilesh Prasad Singh,INC,246873,222422,2014
57,57,Bihar,16,Vaishali,GEN,Rama Kishore Singh,LJP,305450,Raghuvansh Prasad Singh,RJD,206183,99267,2014
58,58,Bihar,17,Gopalganj,SC,Janak Ram,BJP,478773,Dr. Jyoti Bharti,INC,191837,286936,2014
59,59,Bihar,18,Siwan,GEN,Om Prakash Yadav,BJP,372670,Hena Shahab,RJD,258823,113847,2014
60,60,Bihar,19,Maharajganj,GEN,Janardan Singh (Sigriwal),BJP,320753,Prabhu Nath Singh,RJD,282338,38415,2014
61,61,Bihar,20,Saran,GEN,Rajiv Pratap Rudy,BJP,355120,Rabri Devi,RJD,314172,40948,2014
62,62,Bihar,21,Hajipur,SC,Ramvilas Paswan,LJP,455652,Sanjeev Prasad Toni,INC,230152,225500,2014
63,63,Bihar,22,Ujiarpur,GEN,Nityanand Rai,BJP,317352,Alok Kumar Mehta,RJD,256883,60469,2014
64,64,Bihar,23,Samastipur,SC,Ram Chandra Paswan,LJP,270401,Dr. Ashok Kumar,INC,263529,6872,2014
65,65,Bihar,24,Begusarai,GEN,Bhola Singh,BJP,428227,Md. Tanveer Hassan,RJD,369892,58335,2014
66,66,Bihar,25,Khagaria,GEN,Choudhary Mahboob Ali Kaiser,LJP,313806,Krishna Kumari Yadav,RJD,237803,76003,2014
67,67,Bihar,26,Bhagalpur,GEN,Shailesh Kumar Urph Bulo Mandal,RJD,367623,Syed Shahnawaz Hussain,BJP,358138,9485,2014
68,68,Bihar,27,Banka,GEN,Jai Prakash Narayan Yadav,RJD,285150,Putul Kumari,BJP,275006,10144,2014
69,69,Bihar,28,Munger,GEN,Veena Devi,LJP,352911,Rajiv Ranjan Singh Alias Lalan Singh,JD(U),243827,109084,2014
70,70,Bihar,29,Nalanda,GEN,Kaushlendra Kumar,JD(U),321982,Satya Nand Sharma,LJP,312355,9627,2014
71,71,Bihar,30,Patna Sahib,GEN,Shatrughana Sinha,BJP,485905,Kunal Singh,INC,220100,265805,2014
72,72,Bihar,31,Pataliputra,GEN,Ram Kripal Yadav,BJP,383262,Misha Bharti,RJD,342940,40322,2014
73,73,Bihar,32,Arrah,GEN,Raj Kumar Singh,BJP,391074,Sribhagwan Singh Kushwaha,RJD,255204,135870,2014
74,74,Bihar,33,Buxar,GEN,Ashwini Kumar Choubey,BJP,319012,Jagadanand Singh,RJD,186674,132338,2014
75,75,Bihar,34,Sasaram,SC,Chhedi Paswan,BJP,366087,Meira Kumar,INC,302760,63327,2014
76,76,Bihar,35,Karakat,GEN,Upendra Kushwaha,RLSP,338892,Kanti Singh,RJD,233651,105241,2014
77,77,Bihar,36,Jahanabad,GEN,Dr. Arun Kumar,RLSP,322647,Surendra Prasad Yadav,RJD,280307,42340,2014
78,78,Bihar,37,Aurangabad,GEN,Sushil Kumar Singh,BJP,307941,Nikhil Kumar,INC,241594,66347,2014
79,79,Bihar,38,Gaya,SC,Hari Manjhi,BJP,326230,Ramji Manjhi,RJD,210726,115504,2014
80,80,Bihar,39,Nawada,GEN,Giriraj Singh,BJP,390248,Raj Ballabh Prasad,RJD,250091,140157,2014
81,81,Bihar,40,Jamui,SC,Chirag Kumar Paswan,LJP,285354,Sudhansu Shekhar Bhaskar,RJD,199407,85947,2014
82,82,Chandigarh,1,Chandigarh,GEN,Smt. Kirron Kher Anupam,BJP,191362,Pawan Kumar Bansal,INC,121720,69642,2014
83,83,Chhattisgarh,1,Surguja,ST,Kamalbhan Singh Marabi,BJP,585336,Ram Dev Ram,INC,438100,147236,2014
84,84,Chhattisgarh,2,Raigarh,ST,Vishnu Deo Sai,BJP,662478,Arti Singh,INC,445728,216750,2014
85,85,Chhattisgarh,3,Janjgir-Champa,SC,Smt. Kamla Patle,BJP,518909,Prem Chand Jayasi,INC,343948,174961,2014
86,86,Chhattisgarh,4,Korba,GEN,Dr. Banshilal Mahto,BJP,439002,Charan Das Mahant,INC,434737,4265,2014
87,87,Chhattisgarh,5,Bilaspur,GEN,Lakhan Lal Sahu,BJP,561387,Karuna Shukla,INC,384951,176436,2014
88,88,Chhattisgarh,6,Rajnandgaon,GEN,Abhishek Singh,BJP,643473,Kamleshwar Verma,INC,407562,235911,2014
89,89,Chhattisgarh,7,Durg,GEN,Tamradhwaj Sahu,INC,570687,Saroj Pandey,BJP,553839,16848,2014
90,90,Chhattisgarh,8,Raipur,GEN,Ramesh Bais,BJP,654922,Satya Narayan Sharma (Sattu Bhaiya),INC,483276,171646,2014
91,91,Chhattisgarh,9,Mahasamund,GEN,Chandu Lal Sahu (Chandu Bhaiya),BJP,503514,Ajit Jogi,INC,502297,1217,2014
92,92,Chhattisgarh,10,Bastar,ST,Dinesh Kashyap,BJP,385829,Deepak Karma (Bunty),INC,261470,124359,2014
93,93,Chhattisgarh,11,Kanker,ST,Vikram Dev Usendi,BJP,465215,Foolodevi Netam,INC,430057,35158,2014
94,94,Dadra And Nagar Haveli,1,Dadra And Nagar Haveli,ST,Patel Natubhai Gomanbhai,BJP,80790,Delkar Mohanbhai Sanjibhai,INC,74576,6214,2014
95,95,Daman And Diu,1,Daman And Diu,GEN,Patel Lalubhai Babubhai,BJP,46960,Ketan Dahyabhai Patel,INC,37738,9222,2014
