,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin Votes,Year
201,201,Kerala,9,Alathur,SC,P.K.Biju,CPM,411808,Sheeba K.A,INC,374496,37312,2014
202,202,Kerala,10,Thrissur,GEN,C. N. Jayadevan,CPI,389209,K. P. Dhanapalan,INC,350982,38227,2014
203,203,Kerala,11,Chalakudy,GEN,Innocent,IND,358440,P C Chacko,INC,344556,13884,2014
204,204,Kerala,12,Ernakulam,GEN,Prof. K.V. Thomas,INC,353841,Christy Fernandez,IND,266794,87047,2014
205,205,Kerala,13,Idukki,GEN,Adv.Joice George,IND,382019,Adv.Dean Kuriakose,INC,331477,50542,2014
206,206,Kerala,14,Kottayam,GEN,Jose K. Mani,KC(M),424194,Adv.Mathew T. Thomas,JD(S),303595,120599,2014
207,207,Kerala,15,Alappuzha,GEN,K C Venugopal,INC,462525,C B Chandrababu,CPM,443118,19407,2014
208,208,Kerala,16,Mavelikkara,SC,Kodikunnil Suresh,INC,402432,Chengara Surendran,CPI,369695,32737,2014
209,209,Kerala,17,Pathanamthitta,GEN,Anto Antony,INC,358842,Adv. Peelipose Thomas,IND,302651,56191,2014
210,210,Kerala,18,Kollam,GEN,N.K.Premachandran,RSP,408528,M.A. Baby,CPM,370879,37649,2014
211,211,Kerala,19,Attingal,GEN,Dr.A .Sampath,CPM,392478,Adv.Bindhu Krishna,INC,323100,69378,2014
212,212,Kerala,20,Thiruvananthapuram,GEN,Dr. Shashi Tharoor,INC,297806,Sri. O Rajagopal,BJP,282336,15470,2014
213,213,Lakshadweep,1,Lakshadweep,ST,Mohammed Faizal P.P.,NCP,21665,Hamdullah Sayeed,INC,20130,1535,2014
214,214,Madhya Pradesh,1,Morena,GEN,Anoop Mishra,BJP,375567,Brindawan Singh Sikarwar,BSP,242586,132981,2014
215,215,Madhya Pradesh,2,Bhind,SC,Dr. Bhagirath Prasad,BJP,404474,Imarti Devi,INC,244513,159961,2014
216,216,Madhya Pradesh,3,Gwalior,GEN,Narendra Singh Tomar,BJP,442796,Ashok Singh,INC,413097,29699,2014
217,217,Madhya Pradesh,4,Guna,GEN,Jyotiraditya M Scindia,INC,517036,Jaibhansingh Pawaiya,BJP,396244,120792,2014
218,218,Madhya Pradesh,5,Sagar,GEN,Laxmi Narayan Yadav,BJP,482580,Govind Singh Rajput,INC,361843,120737,2014
219,219,Madhya Pradesh,6,Tikamgarh,SC,Dr. Virendra Kumar,BJP,422979,Ahirwar Dr. Kamlesh Verma,INC,214248,208731,2014
220,220,Madhya Pradesh,7,Damoh,GEN,Prahalad Singh Patel,BJP,513079,Choudhary Mahendra Pratap Singh,INC,299780,213299,2014
221,221,Madhya Pradesh,8,Khajuraho,GEN,Nagendra Singh,BJP,474966,Raja Pateria,INC,227476,247490,2014
222,222,Madhya Pradesh,9,Satna,GEN,Ganesh Singh,BJP,375288,Ajay Singh Rahul Bhaiyya,INC,366600,8688,2014
223,223,Madhya Pradesh,10,Rewa,GEN,Janardan Mishra,BJP,383320,Sunderlal Tiwari,INC,214594,168726,2014
224,224,Madhya Pradesh,11,Sidhi,GEN,Riti Pathak,BJP,475678,Indrajeet Kumar,INC,367632,108046,2014
225,225,Madhya Pradesh,12,Shahdol,ST,Dalpat Singh Paraste,BJP,525419,Rajesh Nandini Singh,INC,284118,241301,2014
226,226,Madhya Pradesh,13,Jabalpur,GEN,Rakesh Singh,BJP,564609,Vivek Krishna Tankha,INC,355970,208639,2014
227,227,Madhya Pradesh,14,Mandla,ST,Faggan Singh Kulaste,BJP,585720,Omkar Singh Markam,INC,475251,110469,2014
228,228,Madhya Pradesh,15,Balaghat,GEN,Bodhsingh Bhagat,BJP,480594,Hina Likhiram Kawre,INC,384553,96041,2014
229,229,Madhya Pradesh,16,Chhindwara,GEN,Kamal Nath,INC,559755,Choudhary Chandrabhan Kuber Singh,BJP,443218,116537,2014
230,230,Madhya Pradesh,17,Hoshangabad,GEN,Uday Pratap Singh,BJP,669128,Devendra Patel (Guddu Bhaiya),INC,279168,389960,2014
231,231,Madhya Pradesh,18,Vidisha,GEN,Sushma Swaraj,BJP,714348,Lakshman Singh,INC,303650,410698,2014
232,232,Madhya Pradesh,19,Bhopal,GEN,Alok Sanjar,BJP,714178,P C Sharma (Prakash Mangilal Sharma ),INC,343482,370696,2014
233,233,Madhya Pradesh,20,Rajgarh,GEN,Rodmal Nagar,BJP,596727,Amlabe Narayan Singh,INC,367990,228737,2014
234,234,Madhya Pradesh,21,Dewas,SC,Manohar Untwal,BJP,665646,Sajjan Singh Verma,INC,405333,260313,2014
235,235,Madhya Pradesh,22,Ujjain,SC,Prof. Chintamani Malviya,BJP,641101,Premchand Guddu,INC,331438,309663,2014
236,236,Madhya Pradesh,23,Mandsaur,GEN,Sudhir Gupta,BJP,698335,Meenakshi Natarajan,INC,394686,303649,2014
237,237,Madhya Pradesh,24,Ratlam,ST,Dileepsingh Bhuria,BJP,545970,Kantilal Bhuria,INC,437523,108447,2014
238,238,Madhya Pradesh,25,Dhar,ST,Savitri Thakur,BJP,558387,Umang Singhar,INC,454059,104328,2014
239,239,Madhya Pradesh,26,Indore,GEN,Sumitra Mahajan (Tai),BJP,854972,Satyanarayan Patel,INC,388071,466901,2014
240,240,Madhya Pradesh,27,Khargone,ST,Subhash Patel,BJP,649354,Ramesh Patel,INC,391475,257879,2014
241,241,Madhya Pradesh,28,Khandwa,GEN,Nandkumar Singh Chouhan (Nandu Bhaiya),BJP,717357,Arun Subhash Chandra Yadav,INC,457643,259714,2014
242,242,Madhya Pradesh,29,Betul,ST,Jyoti Dhurve,BJP,643651,Ajay Shah (Makrai),INC,315037,328614,2014
243,243,Maharashtra,1,Nandurbar,ST,Dr.Gavit Heena Vaijaykumar,BJP,579486,Gavit Manikrao Hodlya,INC,472581,106905,2014
244,244,Maharashtra,2,Dhule,GEN,Dr. Bhamre Subhash Ramrao,BJP,529450,Amrishbhai Rasiklal Patel,INC,398727,130723,2014
245,245,Maharashtra,3,Jalgaon,GEN,A.T. Nana Patil,BJP,647773,Annasaheb Dr.Satish Bhaskarrao Patil,NCP,264248,383525,2014
246,246,Maharashtra,4,Raver,GEN,Khadase Raksha Nikhil,BJP,605452,Manishdada Jain,NCP,287384,318068,2014
247,247,Maharashtra,5,Buldhana,GEN,Jadhav Prataprao Ganpatrao,SHS,509145,Ingle Krushanarao Ganpatrao,NCP,349566,159579,2014
248,248,Maharashtra,6,Akola,GEN,Dhotre Sanjay Shamrao,BJP,456472,Patel Hidayat Ulla Barkat Ulla,INC,253356,203116,2014
249,249,Maharashtra,7,Amravati,SC,Adsul Anandrao Vithoba,SHS,467212,Navneet Ravi Rana,NCP,329280,137932,2014
250,250,Maharashtra,8,Wardha,GEN,Ramdas Chandrabhanji Tadas,BJP,537518,Meghe Sagar Dattatraya,INC,321735,215783,2014
251,251,Maharashtra,9,Ramtek,SC,Krupal Balaji Tumane,SHS,519892,Mukul Wasnik,INC,344101,175791,2014
252,252,Maharashtra,10,Nagpur,GEN,Gadkari Nitin Jairam,BJP,587767,Vilas Muttemwar,INC,302939,284828,2014
253,253,Maharashtra,11,Bhandara-Gondiya,GEN,Nanabhau Falgunrao Patole,BJP,606129,Patel Praful Manoharbhai,NCP,456875,149254,2014
254,254,Maharashtra,12,Gadchiroli-Chimur,ST,Ashok Mahadeorao Nete,BJP,535982,Dr. Namdeo Dalluji Usendi,INC,299112,236870,2014
255,255,Maharashtra,13,Chandrapur,GEN,Ahir Hansraj Gangaram,BJP,508049,Deotale Sanjay Wamanrao,INC,271780,236269,2014
256,256,Maharashtra,14,Yavatmal-Washim,GEN,Gawali Bhavana Pundlikrao,SHS,477905,Adv.Shivajirao Shivaramji Moghe,INC,384089,93816,2014
257,257,Maharashtra,15,Hingoli,GEN,Rajeev Shankarrao Satav,INC,467397,Wankhede Subhash Bapurao,SHS,465765,1632,2014
258,258,Maharashtra,16,Nanded,GEN,Ashok Shankarrao Chavan,INC,493075,D. B. Patil,BJP,411620,81455,2014
259,259,Maharashtra,17,Parbhani,GEN,Jadhav Sanjay (Bandu) Haribhau,SHS,578455,Bhambale Vijay Manikrao,NCP,451300,127155,2014
260,260,Maharashtra,18,Jalna,GEN,Danve Raosaheb Dadarao,BJP,591428,Autade Vilas Keshavrao,INC,384630,206798,2014
261,261,Maharashtra,19,Aurangabad,GEN,Chandrakant Bhaurao Khaire,SHS,520902,Patil Nitin Suresh,INC,358902,162000,2014
262,262,Maharashtra,20,Dindori,ST,Chavan Harishchandra Deoram,BJP,542784,Dr. Bharati Pravin Pawar,NCP,295165,247619,2014
263,263,Maharashtra,21,Nashik,GEN,Godse Hemant Tukaram,SHS,494735,Chhagan Bhujbal,NCP,307399,187336,2014
264,264,Maharashtra,22,Palghar,ST,Adv. Chintaman Navasha Wanga,BJP,533201,Baliram Sukur Jadhav,BVA,293681,239520,2014
265,265,Maharashtra,23,Bhiwandi,GEN,Kapil Moreshwar Patil,BJP,411070,Patil Vishwanath Ramchandra,INC,301620,109450,2014
266,266,Maharashtra,24,Kalyan,GEN,Dr.Shrikant Eknath Shinde,SHS,440892,Anand Prakash Paranjpe,NCP,190143,250749,2014
267,267,Maharashtra,25,Thane,GEN,Vichare Rajan Baburao,SHS,595364,Sanjeev Ganesh Naik,NCP,314065,281299,2014
268,268,Maharashtra,26,Mumbai-North,GEN,Gopal Chinayya Shetty,BJP,664004,Sanjay Brijkishorlal Nirupam,INC,217422,446582,2014
269,269,Maharashtra,27,Mumbai-North-West,GEN,Gajanan Chandrakant Kirtikar,SHS,464820,Kamat Gurudas Vasant,INC,281792,183028,2014
270,270,Maharashtra,28,Mumbai-North-East,GEN,Kirit Somaiya,BJP,525285,Sanjay Dina Patil,NCP,208163,317122,2014
271,271,Maharashtra,29,Mumbai-North-Central,GEN,Poonam Mahajan Alias Poonam Vajendla Rao,BJP,478535,Dutt Priya Sunil,INC,291764,186771,2014
272,272,Maharashtra,30,Mumbai-South-Central,GEN,Rahul Ramesh Shewale,SHS,381275,Eknath M. Gaikwad,INC,242933,138342,2014
273,273,Maharashtra,31,Mumbai-South,GEN,Arvind Sawant,SHS,374780,Deora Milind Murli,INC,246632,128148,2014
274,274,Maharashtra,32,Raigad,GEN,Anant Geete,SHS,396178,Tatkare Sunil Dattatrey,NCP,394068,2110,2014
275,275,Maharashtra,33,Maval,GEN,Appa Alias Shrirang Chandu Barne,SHS,512226,Jagtap Laxmanbhau Pandurang,PWPI,354829,157397,2014
276,276,Maharashtra,34,Pune,GEN,Anil Shirole,BJP,569825,Dr.Vishwajeet Patangrao Kadam,INC,254056,315769,2014
277,277,Maharashtra,35,Baramati,GEN,Supriya Sule,NCP,521562,Mahadev Jagannath Jankar,RSP,451843,69719,2014
278,278,Maharashtra,36,Shirur,GEN,Adhalrao Shivaji Dattatrey,SHS,643415,Nikam Devdatta Jaywant,NCP,341601,301814,2014
279,279,Maharashtra,37,Ahmednagar,GEN,Gandhi Dilipkumar Mansukhlal,BJP,605185,Rajeev Appasaheb Rajale,NCP,396063,209122,2014
280,280,Maharashtra,38,Shirdi,SC,Lokhande Sadashiv Kisan,SHS,532936,Bhausaheb Rajaram Wakchaure,INC,333014,199922,2014
281,281,Maharashtra,39,Beed,GEN,Pritam Munde,BJP,922416,Ashokrao Shankarrao Patil,INC,226095,696321,2014
282,282,Maharashtra,40,Osmanabad,GEN,Gaikwad Ravindra Vishwanath,SHS,607699,Patil Padmasinha Bajirao,NCP,373374,234325,2014
283,283,Maharashtra,41,Latur,SC,Dr. Sunil Baliram Gaikwad,BJP,616509,Bansode Dattatray Gunderao,INC,363114,253395,2014
284,284,Maharashtra,42,Solapur,SC,Sharad Bansode,BJP,517879,Shinde Sushilkumar Sambhajirao,INC,368205,149674,2014
285,285,Maharashtra,43,Madha,GEN,Mohite Patil Vijaysinh Shankarrao,NCP,489989,Sadabhau Ramchandra Khot,SWP,464645,25344,2014
286,286,Maharashtra,44,Sangli,GEN,Sanjaykaka Patil,BJP,611563,Patil Pratik Prakashbapu,INC,372271,239292,2014
287,287,Maharashtra,45,Satara,GEN,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,NCP,522531,Purushottam Jadhav,IND,155937,366594,2014
288,288,Maharashtra,46,Ratnagiri-Sindhudurg,GEN,Vinayak Bhaurao Raut,SHS,493088,Nilesh Narayan Rane,INC,343037,150051,2014
289,289,Maharashtra,47,Kolhapur,GEN,Dhananjay Bhimrao Mahadik,NCP,607665,Sanjay Sadashiv Mandalik,SHS,574406,33259,2014
290,290,Maharashtra,48,Hatkanangle,GEN,Raju Shetty,SWP,640428,Awade Kallappa Baburao,INC,462618,177810,2014
291,291,Manipur,1,Inner Manipur,GEN,Dr. Thokchom Meinya,INC,292102,Moirangthem Nara,CPI,197428,94674,2014
292,292,Manipur,2,Outer Manipur,ST,Thangso Baite,INC,296770,Soso Lorho,NPF,281133,15637,2014
293,293,Meghalaya,1,Shillong,ST,Vincent H. Pala,INC,209340,Prechard B. M. Basaiawmoit,IND,168961,40379,2014
294,294,Meghalaya,2,Tura,ST,Purno Agitok Sangma,NPP,239301,Daryl William Ch Momin,INC,199585,39716,2014
295,295,Mizoram,1,Mizoram,ST,C. L. Ruala,INC,210485,Robert Romawia Royte,IND,204331,6154,2014
296,296,Nagaland,1,Nagaland,ST,Neiphiu Rio,NPF,713372,K. V. Pusa,INC,313147,400225,2014
297,297,Odisha,1,Bargarh,GEN,Prabhas Kumar Singh,BJD,383230,Subash Chouhan,BJP,372052,11178,2014
298,298,Odisha,2,Sundargarh,ST,Jual (Juel Oram),BJP,340508,Dilip Kumar Tirkey,BJD,321679,18829,2014
299,299,Odisha,3,Sambalpur,GEN,Nagendra Kumar Pradhan,BJD,358618,Suresh Pujari,BJP,328042,30576,2014
300,300,Odisha,4,Keonjhar,ST,Sakuntala Laguri,BJD,434471,Ananta Nayak,BJP,277154,157317,2014
301,301,Odisha,5,Mayurbhanj,ST,Rama Chandra Hansdah,BJD,393779,Nepole Raghu Murmu,BJP,270913,122866,2014
302,302,Odisha,6,Balasore,GEN,Rabindra Kumar Jena,BJD,433768,Pratap Chandra Sarangi,BJP,291943,141825,2014
303,303,Odisha,7,Bhadrak,SC,Arjun Charan Sethi,BJD,502338,Sangram Keshari Jena,INC,322979,179359,2014
304,304,Odisha,8,Jajpur,SC,Rita Tarai,BJD,541349,Asok Das,INC,221078,320271,2014
305,305,Odisha,9,Dhenkanal,GEN,Tathagata Satpathy,BJD,453277,Rudra Narayan Pany,BJP,315937,137340,2014
306,306,Odisha,10,Bolangir,GEN,Kalikesh Narayan Singh Deo,BJD,453519,Sangeeta Kumari Singh Deo,BJP,349220,104299,2014
307,307,Odisha,11,Kalahandi,GEN,Arka Keshari Deo,BJD,370871,Pradipta Kumar Naik,BJP,314524,56347,2014
308,308,Odisha,12,Nabarangpur,ST,Balabhadra Majhi,BJD,373887,Pradeep Kumar Majhi,INC,371845,2042,2014
309,309,Odisha,13,Kandhamal,GEN,Pratyusha Rajeshwari Singh,BJD,477529,Rudra Madhab Ray,BJP,178661,298868,2014
310,310,Odisha,14,Cuttack,GEN,Bhartruhari Mahatab,BJD,526085,Aparajita Mohanty,INC,219323,306762,2014
311,311,Odisha,15,Kendrapara,GEN,Baijayant Panda,BJD,601574,Dharanidhar Nayak,INC,392466,209108,2014
312,312,Odisha,16,Jagatsinghpur,SC,Kulamani Samal,BJD,624492,Bibhu Prasad Tarai,INC,348098,276394,2014
313,313,Odisha,17,Puri,GEN,Pinaki Misra,BJD,523161,Sucharita Mohanty,INC,259800,263361,2014
314,314,Odisha,18,Bhubaneswar,GEN,Prasanna Kumar Patasani,BJD,439252,Prithiviraj Harichandan,BJP,249775,189477,2014
315,315,Odisha,19,Aska,GEN,Ladu Kishore Swain,BJD,541473,Srilokanath Ratha,INC,229476,311997,2014
316,316,Odisha,20,Berhampur,GEN,Sidhant Mohapatra,BJD,398107,Chandra Sekhar Sahu,INC,270387,127720,2014
317,317,Odisha,21,Koraput,ST,Jhina Hikaka,BJD,395109,Giridhar Gamang,INC,375781,19328,2014
318,318,Puducherry,1,Puducherry,GEN,R. Radhakrishnan,AINRC,255826,V. Narayanasamy,INC,194972,60854,2014
319,319,Punjab,1,Gurdaspur,GEN,Vinod Khanna,BJP,482255,Partap Singh Bajwa,INC,346190,136065,2014
320,320,Punjab,2,Amritsar,GEN,Captain Amarinder Singh,INC,482876,Arun Jaitley,BJP,380106,102770,2014
321,321,Punjab,3,Khadoor Sahib,GEN,Ranjit Singh Brahmpura,SAD,467332,Harminder Singh Gill,INC,366763,100569,2014
322,322,Punjab,4,Jalandhar,SC,Santokh Singh Chaudhary,INC,380479,Pawan Kumar Tinu,SAD,309498,70981,2014
323,323,Punjab,5,Hoshiarpur,SC,Vijay Sampla,BJP,346643,Mohinder Singh Kaypee,INC,333061,13582,2014
324,324,Punjab,6,Anandpur Sahib,GEN,Prem Singh Chandumajra,SAD,347394,Ambika Soni,INC,323697,23697,2014
325,325,Punjab,7,Ludhiana,GEN,Ravneet Singh Bittu,INC,300459,Harvinder Singh Phoolka,AAP,280750,19709,2014
326,326,Punjab,8,Fatehgarh Sahib,SC,Harinder Singh Khalsa,AAP,367293,Sadhu Singh,INC,313149,54144,2014
327,327,Punjab,9,Faridkot,SC,Prof. Sadhu Singh,AAP,450751,Paramjit Kaur Gulshan,SAD,278235,172516,2014
328,328,Punjab,10,Ferozpur,GEN,Sher Singh Ghubaya,SAD,487932,Sunil Jakhar,INC,456512,31420,2014
329,329,Punjab,11,Bathinda,GEN,Harsimrat Kaur Badal,SAD,514727,Manpreet Singh Badal S/O Gurdas Singh,INC,495332,19395,2014
330,330,Punjab,12,Sangrur,GEN,Bhagwant Mann,AAP,533237,Sukhdev Singh Dhindsa,SAD,321516,211721,2014
331,331,Punjab,13,Patiala,GEN,Dr. Dharam Vira Gandhi,AAP,365671,Preneet Kaur,INC,344729,20942,2014
332,332,Rajasthan,1,Ganganagar,SC,Nihalchand,BJP,658130,Master Bhanwarlal Meghwal,INC,366389,291741,2014
333,333,Rajasthan,2,Bikaner,SC,Arjun Ram Meghwal,BJP,584932,Er. Shankar Pannu,INC,276853,308079,2014
334,334,Rajasthan,3,Churu,GEN,Rahul Kaswan,BJP,595756,Abhinesh Maharshi,BSP,301017,294739,2014
335,335,Rajasthan,4,Jhunjhunu,GEN,Santosh Ahlawat,BJP,488182,Raj Bala Ola,INC,254347,233835,2014
336,336,Rajasthan,5,Sikar,GEN,Sumedhanand Saraswati,BJP,499428,Pratap Singh Jat,INC,260232,239196,2014
337,337,Rajasthan,6,Jaipur Rural,GEN,Rajyavardhan Singh Rathore,BJP,632930,Dr. C.P. Joshi,INC,300034,332896,2014
338,338,Rajasthan,7,Jaipur,GEN,Ramcharan Bohara,BJP,863358,Dr. Mahesh Joshi,INC,324013,539345,2014
339,339,Rajasthan,8,Alwar,GEN,Chand Nath,BJP,642278,Bhanwar Jitendra Singh,INC,358383,283895,2014
340,340,Rajasthan,9,Bharatpur,SC,Bahadur Singh,BJP,579825,Dr.Suresh Jatav,INC,334357,245468,2014
341,341,Rajasthan,10,Karauli-Dholpur,SC,Manoj Rajoria,BJP,402407,Lakkhiram,INC,375191,27216,2014
342,342,Rajasthan,11,Dausa,ST,Harish Chandra Meena,BJP,315059,Dr. Kirodi Lal,NPP,269655,45404,2014
343,343,Rajasthan,12,Tonk-Sawai Madhopur,GEN,Sukhbir Singh Jaunapuria,BJP,548179,Mohammed Azharuddin,INC,412868,135311,2014
344,344,Rajasthan,13,Ajmer,GEN,Sanwar Lal Jat,BJP,637874,Sachin Pilot,INC,465891,171983,2014
345,345,Rajasthan,14,Nagaur,GEN,C R Choudhary,BJP,414791,Dr Jyoti Mirdha,INC,339573,75218,2014
346,346,Rajasthan,15,Pali,GEN,P P Choudhary,BJP,711772,Munni Devi Godara,INC,312733,399039,2014
347,347,Rajasthan,16,Jodhpur,GEN,Gajendrasingh Shekhawat,BJP,713515,Chandresh Kumari,INC,303464,410051,2014
348,348,Rajasthan,17,Barmer,GEN,Col. Sona Ram,BJP,488747,Jaswant Singh,IND,401286,87461,2014
349,349,Rajasthan,18,Jalore,SC,Devji Patel,BJP,580508,Anjana Udai Lal,INC,199363,381145,2014
350,350,Rajasthan,19,Udaipur,ST,Arjunlal Meena,BJP,660373,Raghuvir Singh,INC,423611,236762,2014
351,351,Rajasthan,20,Banswara,ST,Manshankar Ninama,BJP,577433,Resham Malviya,INC,485517,91916,2014
352,352,Rajasthan,21,Chittorgarh,GEN,Chandra Prakash Joshi,BJP,703236,Girija Vyas,INC,386379,316857,2014
353,353,Rajasthan,22,Rajsamand,GEN,Hariom Singh Rathore,BJP,644794,Gopal Singh Shekhawat,INC,249089,395705,2014
354,354,Rajasthan,23,Bhilwara,GEN,Subhash Baheria,BJP,630317,Ashok Chandna,INC,384053,246264,2014
355,355,Rajasthan,24,Kota,GEN,Om Birla,BJP,644822,Ijyaraj Singh,INC,444040,200782,2014
356,356,Rajasthan,25,Jhalawar-Baran,GEN,Dushyant Singh,BJP,676102,Pramod Bhaya,INC,394556,281546,2014
357,357,Sikkim,1,Sikkim,GEN,Prem Das Rai,SDF,163698,Tek Nath Dhakal,SKM,121956,41742,2014
358,358,Tamil Nadu,1,Tiruvallur,SC,Venugopal.P.(Dr),AIADMK,628499,Ravikumar.D,VCK,305069,323430,2014
359,359,Tamil Nadu,2,Chennai North,GEN,Venkatesh Babu .T.G,AIADMK,406704,Girirajan .R,DMK,307000,99704,2014
360,360,Tamil Nadu,3,Chennai South,GEN,Dr. J. Jayavardhan,AIADMK,438404,T.K.S.Elangovan,DMK,301779,136625,2014
361,361,Tamil Nadu,4,Chennai Central,GEN,S.R. Vijayakumar,AIADMK,333296,Dayanidhi Maran,DMK,287455,45841,2014
362,362,Tamil Nadu,5,Sriperumbudur,GEN,"Ramachandran, K.N. Thiru",AIADMK,545820,"Jagathrakshakan, S. Thiru",DMK,443174,102646,2014
363,363,Tamil Nadu,6,Kancheepuram,SC,Maragatham K,AIADMK,499395,Selvam G,DMK,352529,146866,2014
364,364,Tamil Nadu,7,Arakkonam,GEN,"Hari, G.",AIADMK,493534,N.R Elango,DMK,252768,240766,2014
365,365,Tamil Nadu,8,Vellore,GEN,"Senguttuvan, B.",AIADMK,383719,"Shanmugam, A.C.",BJP,324326,59393,2014
366,366,Tamil Nadu,9,Krishnagiri,GEN,Ashok Kumar.K,AIADMK,480491,Chinna Pillappa.P,DMK,273900,206591,2014
367,367,Tamil Nadu,10,Dharmapuri,GEN,Anbumani Ramadoss,PMK,468194,Mohan.P.S,AIADMK,391048,77146,2014
368,368,Tamil Nadu,11,Tiruvannamalai,GEN,Vanaroja R,AIADMK,500751,Annadurai C N,DMK,332145,168606,2014
369,369,Tamil Nadu,12,Arani,GEN,V.Elumalai,AIADMK,502721,R.Sivanandam,DMK,258877,243844,2014
370,370,Tamil Nadu,13,Viluppuram,SC,Rajendran S,AIADMK,482704,Muthaiyan K Dr,DMK,289337,193367,2014
371,371,Tamil Nadu,14,Kallakurichi,GEN,Kamaraj. K,AIADMK,533383,Manimaran. R,DMK,309876,223507,2014
372,372,Tamil Nadu,15,Salem,GEN,Pannerselvam.V,AIADMK,556546,Umarani. S,DMK,288936,267610,2014
373,373,Tamil Nadu,16,Namakkal,GEN,Sundaram P.R,AIADMK,563272,Gandhiselvan.S,DMK,268898,294374,2014
374,374,Tamil Nadu,17,Erode,GEN,Selvakumara Chinnayan S,AIADMK,466995,Ganeshamurthi.A,MDMK,255432,211563,2014
375,375,Tamil Nadu,18,Tiruppur,GEN,V.Sathyabama,AIADMK,442778,N.Dineshkumar,DMDK,263463,179315,2014
376,376,Tamil Nadu,19,Nilgiris,SC,"Gopalakrishnan, C.",AIADMK,463700,"Raja, A.",DMK,358760,104940,2014
377,377,Tamil Nadu,20,Coimbatore,GEN,"Nagarajan, P.",AIADMK,431717,"Radhakrishnan, C.P.",BJP,389701,42016,2014
378,378,Tamil Nadu,21,Pollachi,GEN,Mahendran.C,AIADMK,417092,Eswaran.E.R.,BJP,276118,140974,2014
379,379,Tamil Nadu,22,Dindigul,GEN,Udhaya Kumar .M,AIADMK,510462,Gandhirajan S,DMK,382617,127845,2014
380,380,Tamil Nadu,23,Karur,GEN,"Thambidurai,M.",AIADMK,540722,"Chinnasamy, M.",DMK,345475,195247,2014
381,381,Tamil Nadu,24,Tiruchirappalli,GEN,Kumar.P,AIADMK,458478,Anbhalagan.Mu,DMK,308002,150476,2014
382,382,Tamil Nadu,25,Perambalur,GEN,"Marutharajaa, R.P.",AIADMK,462693,"Seemanur Prabu, S.",DMK,249645,213048,2014
383,383,Tamil Nadu,26,Cuddalore,GEN,Arunmozhithevan.A,AIADMK,481429,Nandagopalakrishnan.K.,DMK,278304,203125,2014
384,384,Tamil Nadu,27,Chidambaram,SC,"Chandrakasi, M",AIADMK,429536,"Thirumaavalavan, Thol",VCK,301041,128495,2014
385,385,Tamil Nadu,28,Mayiladuthurai,GEN,Bharathi Mohan R.K,AIADMK,513729,Hyder Ali.S,MAMAK,236679,277050,2014
386,386,Tamil Nadu,29,Nagapattinam,SC,Gopal. Dr. K,AIADMK,434174,Vijayan. A.K.S,DMK,328095,106079,2014
387,387,Tamil Nadu,30,Thanjavur,GEN,Parasuraman.K,AIADMK,510307,Baalu.T.R,DMK,366188,144119,2014
388,388,Tamil Nadu,31,Sivaganga,GEN,Senthilnathan Pr,AIADMK,475993,Dhurai Raaj Subha,DMK,246608,229385,2014
389,389,Tamil Nadu,32,Madurai,GEN,R.Gopalakrishnan,AIADMK,454167,V Velusamy,DMK,256731,197436,2014
390,390,Tamil Nadu,33,Theni,GEN,"Parthipan, R.",AIADMK,571254,Pon. Muthuramalingam,DMK,256722,314532,2014
391,391,Tamil Nadu,34,Virudhunagar,GEN,Radhakrishnan T,AIADMK,406694,Vaiko,MDMK,261143,145551,2014
392,392,Tamil Nadu,35,Ramanathapuram,GEN,Anwhar Raajhaa.A,AIADMK,405945,Mohamed Jaleel .S,DMK,286621,119324,2014
393,393,Tamil Nadu,36,Thoothukkudi,GEN,Jeyasingh Thiyagaraj Natterjee.J,AIADMK,366052,Jegan. P,DMK,242050,124002,2014
394,394,Tamil Nadu,37,Tenkasi,SC,Vasanthi.M,AIADMK,424586,Dr.Krishnasamy.K.,PT,262812,161774,2014
395,395,Tamil Nadu,38,Tirunelveli,GEN,Prabakaran.K.R.P,AIADMK,398139,Devadasa Sundaram,DMK,272040,126099,2014
396,396,Tamil Nadu,39,Kanniyakumari,GEN,Radhakrishnan P.,BJP,372906,Vasantha Kumar H.,INC,244244,128662,2014
397,397,Telangana,1,Adilabad,ST,Godam Nagesh,TRS,430847,Naresh,INC,259557,171290,2014
398,398,Telangana,2,Peddapalli,SC,Balka Suman,TRS,565496,G. Vivekanand,INC,274338,291158,2014
399,399,Telangana,3,Karimnagar,GEN,Vinod Kumar Boinapally,TRS,505783,Ponnam Prabhakar,INC,300706,205077,2014
400,400,Telangana,4,Nizamabad,GEN,Kalvakuntla Kavitha,TRS,439307,Madhu Yaskhi Goud,INC,272123,167184,2014
401,401,Telangana,5,Zahirabad,GEN,B.B. Patil,TRS,508661,Suresh Kumar Shetkar,INC,364030,144631,2014
402,402,Telangana,6,Medak,GEN,Kotha Prabhakar Reddy,TRS,571800,V Sunita Laxma Reddy,INC,210523,361277,2014
403,403,Telangana,7,Malkajgiri,GEN,Ch.Malla Reddy,TDP,523336,Hanumanth Rao Mynampally,TRS,494965,28371,2014
404,404,Telangana,8,Secunderabad,GEN,Bandaru Dattatreya,BJP,438271,M.Anjan Kumar Yadav,INC,183536,254735,2014
