,State,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,Andhra Pradesh,Adilabad,ST,Ramesh Rathod,M,TDP,372268,Kotnak Ramesh,M,INC,257181,115087,2009
1,Andhra Pradesh,Peddapalli,SC,Dr. Gaddam Vivekanand,M,INC,313748,Gomasa Srinivas,M,TRS,264731,49017,2009
2,Andhra Pradesh,Karimnagar,GEN,Ponnam Prabhakar,M,INC,317927,Vinod Kumar Boinapally,M,TRS,267684,50243,2009
3,Andhra Pradesh,Nizamabad,GEN,Madhu Goud Yaskhi,M,INC,296504,Bigala Ganesh Gupta,M,TRS,236114,60390,2009
4,Andhra Pradesh,Zahirabad,GEN,Suresh Kumar Shetkar,M,INC,395767,Syed Yousuf Ali,M,TRS,378360,17407,2009
5,Andhra Pradesh,Medak,GEN,Smt. M. Vijaya Shanthi,F,TRS,388839,Narendranath .C,M,INC,382762,6077,2009
6,Andhra Pradesh,Malkajgiri,GEN,Sathyanarayana Sarvey,M,INC,388368,Bheemsen.T,M,TDP,295042,93326,2009
7,Andhra Pradesh,Secunderabad,GEN,M. Anjan Kumar Yadav,M,INC,340549,Bandaru Dattatreya,M,BJP,170382,170167,2009
8,Andhra Pradesh,Hyderabad,GEN,Asaduddin Owaisi,M,AIMIM,308061,Zahid Ali Khan,M,TDP,194196,113865,2009
9,Andhra Pradesh,Chevella,GEN,Jaipal Sudini Reddy,M,INC,420807,A.P.Jithender Reddy,M,TDP,402275,18532,2009
10,Andhra Pradesh,Mahabubnagar,GEN,Kalva Kuntla Chandrasekhar Rao,M,TRS,366569,Devarakonda Vittal Rao,M,INC,346385,20184,2009
11,Andhra Pradesh,Nagarkurnool,SC,Dr. M. Jagannath,M,INC,422745,Guvvala Balaraju,M,TRS,374978,47767,2009
12,Andhra Pradesh,Nalgonda,GEN,Sukender Reddy Gutha,M,INC,493849,Suravaram Sudhakar Reddy,M,CPI,340867,152982,2009
13,Andhra Pradesh,Bhongir,GEN,Komatireddy Raj Gopal Reddy,M,INC,504103,Nomula Narsimhaiah,M,CPI,364215,139888,2009
