,State,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,Andhra Pradesh,Srikakulam,GEN,Appayyadora Hanumantu,M,TDP,298167,Rajgopalarao Boddepalli,M,INC,173699,124468,1984
1,Andhra Pradesh,Parvathipuram,ST,Kishore Chandra Suryamarayana Deo Vyricheria,M,INC,233175,Narasimha Rao Viswasa Rayi,M,INC,184495,48680,1984
2,Andhra Pradesh,Bobbili,GEN,Anand Gajapathi Raju Poosapati,M,TDP,315156,Penumetcha Samba Siva Raju,M,INC,177573,137583,1984
3,Andhra Pradesh,Visakhapatnam,GEN,Bhattam Sreerama Murthy,M,TDP,334399,Narayana Murthy Patrudu Sukhavasi,M,INC,193968,140431,1984
4,Andhra Pradesh,Bhadrachalam,ST,Sode Ramaiah,M,CPI,195618,B.Radhabai Anandarao,F,INC,170978,24640,1984
5,Andhra Pradesh,Anakapalli,GEN,Appalanarasimham P.,M,TDP,322347,Appalanaidy S.R.A.S.,M,INC,147531,174816,1984
6,Andhra Pradesh,Kakinada,GEN,Thota Gopala Krishna,M,TDP,344038,Sanjeeva Rao M.S.,M,INC,214324,129714,1984
7,Andhra Pradesh,Rajahmundry,GEN,Srihari Rao,M,TDP,381091,Satyanarayana Rao S.B.P.B.K.,M,INC,227213,153878,1984
8,Andhra Pradesh,Amalapuram,SC,Aithabathula Jogeswara Venkata,M,TDP,317481,Kusuma Krishna Murthy,M,INC,197750,119731,1984
9,Andhra Pradesh,Narsapuram,GEN,Vijaya Kumar Raju Bhupathiraju,M,TDP,366534,Alluri Subhaschandra Bose,M,INC,170160,196374,1984
10,Andhra Pradesh,Eluru,GEN,Bolla Bulli Ramaiah,M,TDP,351340,Vatti Venkata Ranga Partha Sarathi,M,INC,239688,111652,1984
11,Andhra Pradesh,Machilipatnam,GEN,Sambasivarao Kuvuru,M,INC,272513,Vaddi Rangarao,M,TDP,263420,9093,1984
12,Andhra Pradesh,Vijayawada,GEN,Vadde Sobhanadreeswara Rao,M,TDP,318023,Chennupati Vidya,F,INC,289579,28444,1984
13,Andhra Pradesh,Tenali,GEN,Nissankararao Venkataratnam,M,TDP,256766,Basav Punnayya Singam,M,INC,246328,10438,1984
14,Andhra Pradesh,Guntur,GEN,N.G.Ranga,M,INC,293589,Chandraskhara Rao Movva,M,TDP,281695,11894,1984
15,Andhra Pradesh,Bapatla,GEN,Chimata Sambu,M,TDP,290492,Rajeswara Rao Maddirala,M,INC,256072,34420,1984
16,Andhra Pradesh,Narasaraopet,GEN,Katuri Narayanaswamy,M,TDP,295059,Kasu Bramananda Reddy,M,INC,280821,14238,1984
17,Andhra Pradesh,Ongole,GEN,Bezawada Papireddy,M,TDP,287662,Nkata Reddy Puli,M,INC,269519,18143,1984
18,Andhra Pradesh,Nellore,SC,Penchalaiah Puchalapalli,M,TDP,296284,Orepalli Venkata Subbaiah,M,INC,242733,53551,1984
19,Andhra Pradesh,Tirupati,SC,Chinta Mohan,M,TDP,318467,Penchalaiah Pasala,M,INC,283686,34781,1984
20,Andhra Pradesh,Chittoor,GEN,N.P.Jhansi Lakshmi,F,TDP,332543,Amaranadha Reddy Nallari,M,INC,271332,61211,1984
21,Andhra Pradesh,Rajampet,GEN,Palakondrayudu Sugavasi,M,TDP,298060,A.Sai Prathap,M,INC,180913,117147,1984
22,Andhra Pradesh,Kadapa,GEN,D.N.Reddy,M,TDP,332915,Obula Reddy Kandula,M,INC,278607,54308,1984
23,Andhra Pradesh,Hindupur,GEN,K. Ramachandra Reddy,M,TDP,349239,D. Reddappa Reddy,M,INC,193902,155337,1984
24,Andhra Pradesh,Anantapur,GEN,Devineni Narayana Swamy,M,TDP,302307,Daruru Pullaiah,M,INC,193658,108649,1984
25,Andhra Pradesh,Kurnool,GEN,Erasu Ayyapu Reddy,M,TDP,253832,Kotla Vijaya Bhaskara Reddy,M,INC,246542,7290,1984
26,Andhra Pradesh,Nandyal,GEN,Maddur Subba Reddy,M,TDP,298420,Pendekanti Venkata Subbaiah,M,INC,248157,50263,1984
27,Andhra Pradesh,Nagarkurnool,SC,V. Tulsiram,M,TDP,301089,Anantharamulu Mallu,M,INC,211952,89137,1984
28,Andhra Pradesh,Mahabubnagar,GEN,Sudini Jaipal Reddy,M,JNP,274064,Mallikarjun,M,INC,193961,80103,1984
29,Andhra Pradesh,Hyderabad,GEN,Sultan Salahuddin Owaise,M,IND,222187,K.Prahbakara Reddy,M,TDP,218706,3481,1984
30,Andhra Pradesh,Secunderabad,GEN,T.Anjaiah,M,INC,246309,Bandaru Dattareya,M,BJP,237835,8474,1984
31,Andhra Pradesh,Secunderabad,GEN,T.Manemmhja(W),F,INC,182861,B.P.Reddy,M,TDP,90300,92561,1984
32,Andhra Pradesh,Siddipet,SC,G.Vijayaramarao,M,TDP,253243,Yelliah Nandi,M,INC,239042,14201,1984
33,Andhra Pradesh,Medak,GEN,P.Manik Reddy,M,TDP,263524,P.Manik Reddy,M,INC,261708,1816,1984
34,Andhra Pradesh,Nizamabad,GEN,Tadur Bala Goud,M,INC,251172,M. Narayan Reddy,M,TDP,248725,2447,1984
35,Andhra Pradesh,Adilabad,GEN,C. Madhav Reddy,M,TDP,238440,C. Narisimha Reddy,M,INC,183882,54558,1984
36,Andhra Pradesh,Peddapalli,SC,Gotte Bhoopathy,M,TDP,246334,Ganta Srihari,M,INC,199376,46958,1984
37,Andhra Pradesh,Karimnagar,GEN,Juvvadi Chokkarao,M,INC,243357,Chenna Reddy M.,M,IND,164750,78607,1984
38,Andhra Pradesh,Hanamkonda,GEN,Chandupatla Janga Reddy,M,BJP,263762,P.V. Narasimha Rao,M,INC,209564,54198,1984
