,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,0,Andhra Pradesh,1,Srikakulam,GEN,Kinjarapu Yerrannaidu,M,TDP,286582,Appayya Dora Hanumanthu,M,TDP(LP),200217,86365,1998
1,1,Andhra Pradesh,2,Parvathipuram,ST,Vijaya Ramaraju Setrucharla,M,TDP,299904,Pradeep Kumar Dev Vyricherla,M,INC,276627,23277,1998
2,2,Andhra Pradesh,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,M,TDP,298961,Botcha Satyanarayana,M,INC,272053,26908,1998
3,3,Andhra Pradesh,4,Visakhapatnam,GEN,Subbarami Reddy.T,M,INC,375782,Ananda Gajapathi Raju Pusapati,M,TDP,314265,61517,1998
4,4,Andhra Pradesh,5,Bhadrachalam,ST,Ramaiah Sode,M,CPI,263141,Karreddula Kamala Kumari,M,INC,203701,59440,1998
5,5,Andhra Pradesh,6,Anakapalli,GEN,Gurunadha Rao Gudivada,M,INC,321840,Ayyanna Patrudu Chintakayala,M,TDP,295915,25925,1998
6,6,Andhra Pradesh,7,Kakinada,GEN,Krishnamraju U.V.,M,BJP,330381,Gopala Krishna Thota,M,TDP,262582,67799,1998
7,7,Andhra Pradesh,8,Rajahmundry,GEN,Girajala Venkata Swamy Naidu,M,BJP,285741,M.V.V.S. Murthi,M,TDP,275829,9912,1998
8,8,Andhra Pradesh,9,Amalapuram,SC,Ganti Mohana Chandra Balayogi,M,TDP,286953,K.S.R.Murthy,M,INC,196713,90240,1998
9,9,Andhra Pradesh,10,Narsapuram,GEN,Kanumuru Bapi Raju,M,INC,368630,Kothapalli Subbarayudu (Pedababu),M,TDP,320660,47970,1998
10,10,Andhra Pradesh,11,Eluru,GEN,Maganti Venkateswara Rao (Babu),M,INC,385412,Bolla Bulli Ramaiah,M,TDP,361605,23807,1998
11,11,Andhra Pradesh,12,Machilipatnam,GEN,Kavuru Sambasiva Rao,M,INC,355030,Kaikala Satyanarayana,M,TDP,273938,81092,1998
12,12,Andhra Pradesh,13,Vijayawada,GEN,Upendra Parvathaneni,M,INC,405062,Jai Ramesh Dasari,M,TDP,374995,30067,1998
13,13,Andhra Pradesh,14,Tenali,GEN,P.Shiv Shanker,M,INC,290014,Sarada Tadiparthi,M,TDP,275478,14536,1998
14,14,Andhra Pradesh,15,Guntur,GEN,Rayapati Sambasiva Rao,M,INC,359456,Lal Jan Basha S.M.,M,TDP,302109,57347,1998
15,15,Andhra Pradesh,16,Bapatla,GEN,Janardhana Reddy Nedurumalli,M,INC,316788,Ummareddy Venkateswarlu,M,TDP,276300,40488,1998
16,16,Andhra Pradesh,17,Narasaraopet,GEN,Konijeti Rosaiah,M,INC,375815,Saidaiah Kota,M,TDP,327996,47819,1998
17,17,Andhra Pradesh,18,Ongole,GEN,Magunta Sreenivasulu Reddy,M,INC,351390,Rajamohan Reddy Mekapati,M,TDP,330524,20866,1998
18,18,Andhra Pradesh,19,Nellore,SC,Panabaka Lakshmi,F,INC,296731,Buduru Swarnalatha,M,CPM,250204,46527,1998
19,19,Andhra Pradesh,20,Tirupati,SC,Chintha Mohan,M,INC,288904,Dr. N. Sivaprasad,M,TDP,279558,9346,1998
20,20,Andhra Pradesh,21,Chittoor,GEN,Nuthanakalva Ramakrishna Reddy,M,TDP,349831,Gnanendra Reddy.M,M,INC,269750,80081,1998
21,21,Andhra Pradesh,22,Rajampet,GEN,Annaiahgari Sai Pratap,M,INC,274889,Gunipati Ramaiah,M,TDP,226993,47896,1998
22,22,Andhra Pradesh,23,Cuddapah,GEN,Y.S.Rajasekhar Reddy,M,INC,374762,Kandula Rajamohana Reddy,M,TDP,320881,53881,1998
23,23,Andhra Pradesh,24,Hindupur,GEN,S.Gangadhar,M,INC,284096,S.Ramachandra Reddy,M,TDP,257958,26138,1998
