,Unnamed: 0.1,Unnamed: 0,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
227,227,227,Maharashtra,Amravati,SC,Balwant Baswant Wankhade,INC,44,526271,Navneet Kaur Rana,BJP,43,506540,1,19731
228,228,228,Maharashtra,Wardha,GEN,Amar Sharadrao Kale,NCP-SP,48,533106,Ramdas Tadas,BJP,41,451458,7,81648
229,229,229,Maharashtra,Ramtek,SC,Shyamkumar Barve,INC,48,613025,Raju Deonath Parve,SS,42,536257,6,76768
230,230,230,Maharashtra,Nagpur,GEN,Nitin Gadkari,BJP,54,655027,Vikas Thakre,INC,42,517424,11,137603
231,231,231,Maharashtra,Bhandara‑Gondiya,GEN,Prashant Yadaorao Padole,INC,47,587413,Sunil Baburao Mendhe,BJP,44,550033,3,37380
232,232,232,Maharashtra,Gadchiroli‑Chimur,ST,Kirsan Namdeo,INC,52,617792,Ashok Mahadeorao Nete,BJP,40,476096,12,141696
233,233,233,Maharashtra,Chandrapur,GEN,Pratibha Dhanorkar,INC,57,718410,Sudhir Mungantiwar,BJP,36,458004,20,260406
234,234,234,Maharashtra,Yavatmal‑Washim,GEN,Sanjay Uttamrao Deshmukh,SS(UBT),48,594807,Rajshritai Hemant Patil,SS,40,500334,7,94473
235,235,235,Maharashtra,Hingoli,GEN,Nagesh Bapurao Patil Ashtikar,SS(UBT),42,492535,Baburao Kadam Kohalikar,SS,33,383933,9,108602
236,236,236,Maharashtra,Nanded,GEN,Vasantrao Balwantrao Chavan,INC,46,528894,Prataprao Govindrao Chikhalikar,BJP,41,469452,5,59442
237,237,237,Maharashtra,Parbhani,GEN,Sanjay Jadhav,SS(UBT),45,601343,Mahadev Jankar,RSPS,35,467282,10,134061
238,238,238,Maharashtra,Jalna,GEN,Kalyan Vaijinathrao Kale,INC,44,607897,Raosaheb Dadarao Danve,BJP,36,497939,8,109958
239,239,239,Maharashtra,Aurangabad,GEN,Sandipanrao Bhumre,SS,36,476130,Imtiyaz Jaleel,AIMIM,26,341480,10,134650
240,240,240,Maharashtra,Dindori,ST,Bhaskar Murlidhar Bhagare,NCP-SP,46,577339,Bharati Pawar,BJP,37,464140,9,113199
241,241,241,Maharashtra,Nashik,GEN,Rajabhau Waje,SS(UBT),49,616729,Hemant Tukaram Godse,SS,36,454728,13,162001
242,242,242,Maharashtra,Palghar,ST,Hemant Vishnu Savara,BJP,43,601244,Bharti Bharat Kamdi,SS(UBT),30,417938,13,183306
243,243,243,Maharashtra,Bhiwandi,GEN,Suresh Mhatre,NCP-SP,39,499464,Kapil Moreshwar Patil,BJP,34,433343,5,66121
244,244,244,Maharashtra,Kalyan,GEN,Shrikant Shinde,SS,56,589636,Vaishali Darekar,SS(UBT),36,380492,19,209144
245,245,245,Maharashtra,Thane,GEN,Naresh Mhaske,SS,56,734231,Rajan Vichare,SS(UBT),39,517220,16,217011
246,246,246,Maharashtra,Mumbai North,GEN,Piyush Goyal,BJP,65,680146,Bhushan Patil,INC,31,322538,34,357608
247,247,247,Maharashtra,Mumbai North West,GEN,Ravindra Waikar,SS,47,452644,Amol Kirtikar,SS(UBT),47,452596,0,48
248,248,248,Maharashtra,Mumbai North East,GEN,Sanjay Dina Patil,SS(UBT),48,450937,Mihir Kotecha,BJP,45,421076,3,29861
249,249,249,Maharashtra,Mumbai North Central,GEN,Varsha Gaikwad,INC,48,445545,Ujjwal Nikam,BJP,47,429031,1,16514
250,250,250,Maharashtra,Mumbai South Central,GEN,Anil Desai,SS(UBT),49,395138,Rahul Ramesh Shewale,SS,43,341754,6,53384
251,251,251,Maharashtra,Mumbai South,GEN,Arvind Sawant,SS(UBT),51,395655,Yamini Jadhav,SS,44,342982,6,52673
252,252,252,Maharashtra,Raigad,GEN,Sunil Tatkare,NCP,50,508352,Anant Geete,SS(UBT),42,425568,8,82784
253,253,253,Maharashtra,Maval,GEN,Shrirang Barne,SS,48,692832,Sanjog Bhiku Waghere Patil,SS(UBT),42,596217,7,96615
254,254,254,Maharashtra,Pune,GEN,Murlidhar Mohol,BJP,52,584728,Ravindra Hemraj Dhangekar,INC,41,461690,11,123038
255,255,255,Maharashtra,Baramati,GEN,Supriya Sule,NCP-SP,51,732312,Sunetra Pawar,NCP,40,573979,11,158333
256,256,256,Maharashtra,Shirur,GEN,Amol Kolhe,NCP-SP,50,698692,Shivajirao Adhalarao Patil,NCP,40,557741,10,140951
257,257,257,Maharashtra,Ahmednagar,GEN,Nilesh Dnyandev Lanke,NCP-SP,47,624797,Sujay Vikhe Patil,BJP,44,595868,2,28929
258,258,258,Maharashtra,Shirdi,SC,Bhausaheb Rajaram Wakchaure,SS(UBT),45,476900,Sadashiv Lokhande,SS,40,426371,4,50529
259,259,259,Maharashtra,Beed,GEN,Bajrang Manohar Sonwane,NCP-SP,44,683950,Pankaja Munde,BJP,44,677397,0,6553
260,260,260,Maharashtra,Osmanabad,GEN,Omprakash Rajenimbalkar,SS(UBT),58,748752,Archana Patil,NCP,32,418906,25,329846
261,261,261,Maharashtra,Latur,SC,Kalge Shivaji Bandappa,INC,49,609021,Sudhakar Tukaram Shrangare,BJP,44,547140,4,61881
262,262,262,Maharashtra,Solapur,SC,Praniti Shinde,INC,51,620225,Ram Satpute,BJP,45,546028,6,74197
263,263,263,Maharashtra,Madha,GEN,Dhairyasheel Patil,NCP-SP,48,622213,Ranjit Naik-Nimbalkar,BJP,39,501376,9,120837
264,264,264,Maharashtra,Sangli,GEN,Vishal Prakashbapu Patil,Independent,48,571666,Sanjay Patil,BJP,40,471613,8,100053
265,265,265,Maharashtra,Satara,GEN,Shrimant Chhatrapati Udayanraje Pratapsinhmaharaj Bhonsle,BJP,47,571134,Shashikant Shinde,NCP-SP,44,538363,2,32771
266,266,266,Maharashtra,Ratnagiri‑Sindhudurg,GEN,Narayan Rane,BJP,49,448514,Vinayak Raut,SS(UBT),43,400656,5,47858
267,267,267,Maharashtra,Kolhapur,GEN,Chhatrapati Shahuji Maharaj,INC,54,754522,Sanjay Mandlik,SS,43,599558,11,154964
268,268,268,Maharashtra,Hatkanangle,GEN,Dhairyasheel Sambhajirao Mane,SS,40,520190,Satyajeet Patil,SS(UBT),39,506764,1,13426
