,Unnamed: 0.1,Unnamed: 0,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
371,371,371,Telangana,Secunderabad,GEN,G. Kishan Reddy,BJP,45,473012,Danam Nagender,INC,40,423068,4,49944
372,372,372,Telangana,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,61,661981,Kompella Madhavi Latha,BJP,29,323894,31,338087
373,373,373,Telangana,Chevella,GEN,Konda Vishweshwar Reddy,BJP,48,809882,G. Ranjith Reddy,INC,38,636985,10,172897
374,374,374,Telangana,Mahabubnagar,GEN,D. K. Aruna,BJP,41,510747,Challa Vamshi Chand Reddy,INC,41,506247,0,4500
375,375,375,Telangana,Nagarkurnool,SC,Mallu Ravi,INC,38,465072,Bharath Prasad Pothuganti,BJP,30,370658,7,94414
376,376,376,Telangana,Nalgonda,GEN,Kunduru Raghuveer,INC,60,784337,Shanampudi Saidireddy,BJP,17,224432,43,559905
377,377,377,Telangana,Bhongir,GEN,Chamala Kiran Kumar Reddy,INC,44,629143,Boora Narsaiah Goud,BJP,29,406973,15,222170
378,378,378,Telangana,Warangal,SC,Kadiyam Kavya,INC,45,581294,Aroori Ramesh,BJP,28,360955,17,220339
379,379,379,Telangana,Mahabubabad,ST,Balram Naik Porika,INC,55,612774,Kavitha Maloth,BRS,23,263609,31,349165
380,380,380,Telangana,Khammam,GEN,Ramasahayam Raghuram Reddy,INC,61,766929,Nama Nageswara Rao,BRS,23,299082,37,467847
381,381,381,Tripura,Tripura East,ST,Kriti Devi Debbarman,BJP,68,777447,Rajendra Reang,CPI(M),25,290628,42,486819
382,382,382,Uttar Pradesh,Kairana,GEN,Iqra Choudhary,SP,48,528013,Pradeep Choudhary,BJP,42,458897,6,69116
383,383,383,Uttar Pradesh,Muzaffarnagar,GEN,Harendra Singh Malik,SP,43,470721,Sanjeev Kumar Balyan,BJP,41,446049,2,24672
384,384,384,Uttar Pradesh,Bijnor,GEN,Chandan Chauhan,RLD,39,404493,Deepak,SP,35,366985,3,37508
385,385,385,Uttar Pradesh,Nagina,SC,Chandrashekhar,ASP(KR),51,512552,Om Kumar,BJP,36,361079,15,151473
386,386,386,Uttar Pradesh,Moradabad,GEN,Ruchi Vira,SP,49,637363,Kunwar Sarvesh Kumar Singh,BJP,41,531601,8,105762
387,387,387,Uttar Pradesh,Rampur,GEN,Mohibbullah,SP,49,481503,Ghanshyam Singh Lodhi,BJP,40,394069,9,87434
388,388,388,Uttar Pradesh,Sambhal,GEN,Zia ur Rahman Barq,SP,47,571161,Parmeshwar Lal Saini,BJP,37,449667,10,121494
389,389,389,Uttar Pradesh,Amroha,GEN,Kanwar Singh Tanwar,BJP,42,476506,Kunwar Danish Ali,INC,40,447836,2,28670
390,390,390,Uttar Pradesh,Meerut,GEN,Arun Govil,BJP,46,546469,Sunita Verma,SP,45,535884,0,10585
391,391,391,Uttar Pradesh,Baghpat,GEN,Rajkumar Sangwan,RLD,52,488967,Amarpal Sharma,SP,35,329508,17,159459
392,392,392,Uttar Pradesh,Ghaziabad,GEN,Atul Garg,BJP,58,854170,Dolly Sharma,INC,35,517205,22,336965
393,393,393,Uttar Pradesh,Gautam Buddha Nagar,GEN,Mahesh Sharma,BJP,59,857829,Mahendra Singh Nagar,SP,20,298357,38,559472
394,394,394,Uttar Pradesh,Bulandshahr,SC,Bhola Singh,BJP,56,597310,Shivram,INC,30,322176,26,275134
395,395,395,Uttar Pradesh,Aligarh,GEN,Satish Kumar Gautam,BJP,44,501834,Bijendra Singh,SP,42,486187,1,15647
396,396,396,Uttar Pradesh,Hathras,SC,Anoop Pradhan,BJP,51,554746,Jasveer Valmiki,SP,28,307428,22,247318
397,397,397,Uttar Pradesh,Mathura,GEN,Hema Malini,BJP,53,510064,Mukesh Dhangar,INC,22,216657,30,293407
398,398,398,Uttar Pradesh,Agra,SC,S. P. Singh Baghel,BJP,53,599397,Suresh Chand Kardam,SP,29,328103,24,271294
399,399,399,Uttar Pradesh,Fatehpur Sikri,GEN,Rajkumar Chahar,BJP,43,445657,Ramnath Singh Sikarwar,INC,38,402252,4,43405
400,400,400,Uttar Pradesh,Firozabad,GEN,Akshay Yadav,SP,49,543037,Vishwadeep Singh,BJP,40,453725,8,89312
401,401,401,Uttar Pradesh,Mainpuri,GEN,Dimple Yadav,SP,56,598526,Jaiveer Singh,BJP,35,376887,21,221639
402,402,402,Uttar Pradesh,Etah,GEN,Devesh Shakya,SP,47,475808,Rajveer Singh,BJP,44,447756,2,28052
403,403,403,Uttar Pradesh,Badaun,GEN,Aditya Yadav,SP,45,501855,Durvijay Singh Shakya,BJP,42,466864,3,34991
404,404,404,Uttar Pradesh,Aonla,GEN,Neeraj Maurya,SP,45,492515,Dharmendra Kashyap,BJP,43,476546,1,15969
405,405,405,Uttar Pradesh,Bareilly,GEN,Chhatrapal Singh Gangwar,BJP,50,567127,Praveen Singh Aron,SP,47,532323,3,34804
406,406,406,Uttar Pradesh,Pilibhit,GEN,Jitin Prasad,BJP,52,607158,Bhagwat Saran Gangwar,SP,38,442223,14,164935
407,407,407,Uttar Pradesh,Shahjahanpur,SC,Arun Kumar Sagar,BJP,47,592718,Jyotsna Gond,SP,43,537339,4,55379
408,408,408,Uttar Pradesh,Kheri,GEN,Utkarsh Verma,SP,45,557365,Ajay Mishra Teni,BJP,43,523036,2,34329
409,409,409,Uttar Pradesh,Dhaurahra,GEN,Anand Bhadauriya,SP,39,443743,Rekha Verma,BJP,39,439294,0,4449
410,410,410,Uttar Pradesh,Sitapur,GEN,Rakesh Rathore,INC,48,531138,Rajesh Verma (politician),BJP,40,441497,8,89641
411,411,411,Uttar Pradesh,Hardoi,SC,Jai Prakash,BJP,44,486798,Usha Verma,SP,41,458942,2,27856
412,412,412,Uttar Pradesh,Misrikh,SC,Ashok Kumar Rawat,BJP,45,475016,Sangita Rajvanshi,SP,41,441610,3,33406
413,413,413,Uttar Pradesh,Unnao,GEN,Sakshi Maharaj,BJP,47,616133,Annu Tandon,SP,44,580315,2,35818
414,414,414,Uttar Pradesh,Mohanlalganj,SC,R. K. Chaudhary,SP,48,667869,Kaushal Kishore,BJP,43,597577,5,70292
415,415,415,Uttar Pradesh,Lucknow,GEN,Rajnath Singh,BJP,53,612709,Ravidas Mehrotra,SP,42,477550,11,135159
416,416,416,Uttar Pradesh,Rae Bareli,GEN,Rahul Gandhi,INC,66,687649,Dinesh Pratap Singh,BJP,28,297619,37,390030
417,417,417,Uttar Pradesh,Amethi,GEN,Kishori Lal Sharma,INC,54,539228,Smriti Irani,BJP,37,372032,17,167196
418,418,418,Uttar Pradesh,Sultanpur,GEN,Rambhual Nishad,SP,43,444330,Maneka Gandhi,BJP,38,401156,4,43174
419,419,419,Uttar Pradesh,Pratapgarh,GEN,Shiv Pal Singh Patel,SP,46,441932,Sangam Lal Gupta,BJP,39,375726,6,66206
420,420,420,Uttar Pradesh,Farrukhabad,GEN,Mukesh Rajput,BJP,47,487963,Naval Kishore Shakya,SP,46,485285,0,2678
421,421,421,Uttar Pradesh,Etawah,SC,Jitendra Kumar Dohare,SP,47,490747,Ram Shankar Katheria,BJP,41,432328,5,58419
422,422,422,Uttar Pradesh,Kannauj,GEN,Akhilesh Yadav,SP,52,642292,Subrat Pathak,BJP,38,471370,14,170922
423,423,423,Uttar Pradesh,Kanpur Urban,GEN,Ramesh Awasthi,BJP,49,443055,Alok Mishra,INC,47,422087,2,20968
424,424,424,Uttar Pradesh,Akbarpur,GEN,Devendra Singh,BJP,47,517423,Raja Ram Pal,SP,43,473078,4,44345
425,425,425,Uttar Pradesh,Jalaun,SC,Narayan Das Ahirwar,SP,46,530180,Bhanu Pratap Singh Verma,BJP,42,476282,4,53898
426,426,426,Uttar Pradesh,Jhansi,GEN,Anurag Sharma,BJP,50,690316,Pradeep Jain Aditya,INC,42,587702,7,102614
427,427,427,Uttar Pradesh,Hamirpur,GEN,Ajendra Singh Lodhi,SP,44,490683,Kunwar Pushpendra Singh Chandel,BJP,43,488054,0,2629
428,428,428,Uttar Pradesh,Banda,GEN,Krishna Devi Shivshanker Patel,SP,38,406567,R. K. Singh Patel,BJP,32,335357,6,71210
429,429,429,Uttar Pradesh,Fatehpur,GEN,Naresh Uttam Patel,SP,45,500328,Niranjan Jyoti,BJP,42,467129,3,33199
430,430,430,Uttar Pradesh,Kaushambi,SC,Pushpendra Saroj,SP,50,509787,Vinod Kumar Sonkar,BJP,40,405843,10,103944
431,431,431,Uttar Pradesh,Phulpur,GEN,Praveen Patel,BJP,44,452600,Amarnath Singh Maurya,SP,44,448268,0,4332
432,432,432,Uttar Pradesh,Allahabad,GEN,Ujjwal Raman Singh,INC,48,462145,Neeraj Tripathi,BJP,42,403350,6,58795
433,433,433,Uttar Pradesh,Barabanki,SC,Tanuj Punia,INC,55,719927,Rajrani Rawat,BJP,39,504223,16,215704
434,434,434,Uttar Pradesh,Faizabad,GEN,Awadhesh Prasad,SP,48,554289,Lallu Singh,BJP,43,499722,4,54567
435,435,435,Uttar Pradesh,Ambedkar Nagar,GEN,Lalji Verma,SP,46,544959,Ritesh Pandey,BJP,34,407712,11,137247
436,436,436,Uttar Pradesh,Bahraich,SC,Anand Kumar Gond,BJP,49,518802,Ramesh Chandra,SP,43,454575,6,64227
437,437,437,Uttar Pradesh,Kaiserganj,GEN,Karan Bhushan Singh,BJP,53,571263,Bhagat Ram,SP,39,422420,14,148843
438,438,438,Uttar Pradesh,Shravasti,GEN,Ram Shiromani Verma,SP,48,511055,Saket Misra,BJP,41,434382,7,76673
439,439,439,Uttar Pradesh,Gonda,GEN,Kirti Vardhan Singh,BJP,49,474258,Shreya Verma,SP,44,428034,4,46224
440,440,440,Uttar Pradesh,Domariyaganj,GEN,Jagdambika Pal,BJP,45,463303,Bhishma Shankar Tiwari,SP,41,420575,4,42728
441,441,441,Uttar Pradesh,Basti,GEN,Ram Prasad Chaudhary,SP,48,527005,Harish Dwivedi,BJP,39,426011,9,100994
442,442,442,Uttar Pradesh,Sant Kabir Nagar,GEN,Laxmikant,SP,45,498695,Praveen Kumar Nishad,BJP,37,406525,8,92170
443,443,443,Uttar Pradesh,Maharajganj,GEN,Pankaj Chaudhary,BJP,48,591310,Virendra Chaudhary,INC,45,555859,2,35451
444,444,444,Uttar Pradesh,Gorakhpur,GEN,Ravi Kishan,BJP,50,585834,Kajal Nishad,SP,41,482308,8,103526
445,445,445,Uttar Pradesh,Kushi Nagar,GEN,Vijay Kumar Dubey,BJP,47,516345,Ajay Pratap Singh,SP,40,434555,7,81790
446,446,446,Uttar Pradesh,Deoria,GEN,Shashank Mani,BJP,48,504541,Akhilesh Pratap Singh,INC,45,469699,3,34842
447,447,447,Uttar Pradesh,Bansgaon,SC,Kamlesh Paswan,BJP,45,428693,Sadal Prasad,INC,45,425543,0,3150
448,448,448,Uttar Pradesh,Lalganj,SC,Daroga Prasad Saroj,SP,43,439959,Neelam Sonkar,BJP,32,324936,11,115023
449,449,449,Uttar Pradesh,Azamgarh,GEN,Dharmendra Yadav,SP,48,508239,Dinesh Lal Yadav,BJP,32,347204,15,161035
450,450,450,Uttar Pradesh,Ghosi,GEN,Rajeev Rai,SP,43,503131,Arvind Rajbhar,SBSP,29,340188,14,162943
451,451,451,Uttar Pradesh,Salempur,GEN,Ramashankar Rajbhar,SP,44,405472,Ravindra Kushawaha,BJP,43,401899,0,3573
452,452,452,Uttar Pradesh,Ballia,GEN,Sanatan Pandey,SP,46,467068,Neeraj Shekhar,BJP,42,423684,4,43384
453,453,453,Uttar Pradesh,Jaunpur,GEN,Babu Singh Kushwaha,SP,46,509130,Kripashankar Singh,BJP,37,409795,9,99335
454,454,454,Uttar Pradesh,Machhlishahr,SC,Priya Saroj,SP,42,451292,B. P. Saroj,BJP,39,415442,3,35850
455,455,455,Uttar Pradesh,Ghazipur,GEN,Afzal Ansari,SP,46,539912,Pars Nath Rai,BJP,35,415051,10,124861
456,456,456,Uttar Pradesh,Chandauli,GEN,Birendra Singh,SP,42,474476,Mahendra Nath Pandey,BJP,40,452911,1,21565
457,457,457,Uttar Pradesh,Varanasi,GEN,Narendra Modi,BJP,54,612970,Ajay Rai,INC,40,460457,13,152513
458,458,458,Uttar Pradesh,Bhadohi,GEN,Vinod Kumar Bind,BJP,42,459982,Laliteshpati Tripathi,AITC,38,415910,4,44072
459,459,459,Uttar Pradesh,Mirzapur,GEN,Anupriya Patel,AD(S),42,471631,Ramesh Chand Bind,SP,39,433821,3,37810
460,460,460,Uttar Pradesh,Robertsganj,SC,Chhotelal,SP,46,465848,Rinki Kol,AD(S),33,336614,12,129234
461,461,461,Uttarakhand,Garhwal,GEN,Anil Baluni,BJP,58,432159,Ganesh Godiyal,INC,36,268656,22,163503
462,462,462,Uttarakhand,Almora,SC,Ajay Tamta,BJP,64,429167,Pradeep Tamta,INC,29,195070,35,234097
463,463,463,Uttarakhand,Nainital‑Udhamsingh Nagar,GEN,Ajay Bhatt,BJP,61,772671,Prakash Joshi,INC,34,438123,26,334548
464,464,464,Uttarakhand,Haridwar,GEN,Trivendra Singh Rawat,BJP,50,653808,Virendra Rawat,INC,37,489752,12,164056
465,465,465,West Bengal,Alipurduars,SC,Manoj Tigga,BJP,48,695314,Prakash Chik Baraik,AITC,43,619867,5,75447
466,466,466,West Bengal,Jalpaiguri,SC,Jayanta Kumar Roy,BJP,48,766568,Nirmal Chandra Roy,AITC,43,679875,5,86693
467,467,467,West Bengal,Darjeeling,GEN,Raju Bista,BJP,51,679331,Gopal Lama,AITC,37,500806,13,178525
468,468,468,West Bengal,Raiganj,GEN,Kartick Chandra Paul,BJP,40,560897,Krishna Kalyani,AITC,36,492700,4,68197
469,469,469,West Bengal,Balurghat,GEN,Sukanta Majumdar,BJP,46,574996,Biplab Mitra,AITC,45,564610,0,10386
470,470,470,West Bengal,Maldaha Uttar,GEN,Khagen Murmu,BJP,37,527023,Prasun Banerjee,AITC,31,449315,5,77708
471,471,471,West Bengal,Maldaha Dakshin,GEN,Isha Khan Choudhury,INC,41,572395,Sreerupa Mitra Chaudhury,BJP,32,444027,9,128368
472,472,472,West Bengal,Jangipur,GEN,Khalilur Rahaman,AITC,39,544427,Murtoja Hossain Bokul,INC,31,427790,8,116637
473,473,473,West Bengal,Baharampur,GEN,Yusuf Pathan,AITC,37,524516,Adhir Ranjan Chowdhury,INC,31,439494,6,85022
474,474,474,West Bengal,Murshidabad,GEN,Abu Taher Khan,AITC,44,682442,Mohammed Salim,CPI(M),33,518227,10,164215
475,475,475,West Bengal,Krishnanagar,GEN,Mahua Moitra,AITC,44,628789,Amrita Roy,BJP,40,572084,3,56705
476,476,476,West Bengal,Ranaghat,SC,Jagannath Sarkar,BJP,50,782396,Mukut Mani Adhikari,AITC,38,595497,12,186899
477,477,477,West Bengal,Bangaon,SC,Shantanu Thakur,BJP,48,719505,Biswajit Das,AITC,43,645812,4,73693
478,478,478,West Bengal,Barrackpore,GEN,Partha Bhowmick,AITC,45,520231,Arjun Singh,BJP,39,455793,5,64438
479,479,479,West Bengal,Dum Dum,GEN,Sougata Ray,AITC,41,528579,Silbhadra Datta,BJP,36,457919,5,70660
480,480,480,West Bengal,Barasat,GEN,Kakoli Ghosh Dastidar,AITC,45,692010,Swapan Majumder,BJP,37,577821,7,114189
481,481,481,West Bengal,Basirhat,GEN,Sk Nurul Islam,AITC,52,803762,Rekha Patra,BJP,30,470215,21,333547
482,482,482,West Bengal,Joynagar,SC,Pratima Mondal,AITC,60,894312,Ashok Kandary,BJP,28,424093,31,470219
483,483,483,West Bengal,Mathurapur,SC,Bapi Haldar,AITC,50,755731,Ashok Purkait,BJP,37,554674,13,201057
484,484,484,West Bengal,Diamond Harbour,GEN,Abhishek Banerjee,AITC,68,1048230,Abhijit Das (Bobby),BJP,22,337300,46,710930
485,485,485,West Bengal,Jadavpur,GEN,Sayani Ghosh,AITC,45,717899,Dr. Anirban Ganguly,BJP,29,459698,16,258201
486,486,486,West Bengal,Kolkata Dakshin,GEN,Mala Roy,AITC,49,615274,Debasree Chaudhuri,BJP,34,428043,15,187231
487,487,487,West Bengal,Kolkata Uttar,GEN,Sudip Bandyopadhyay,AITC,47,454696,Tapas Roy,BJP,37,362136,9,92560
488,488,488,West Bengal,Howrah,GEN,Prasun Banerjee,AITC,49,626493,Rathin Chakravarty,BJP,35,457051,13,169442
489,489,489,West Bengal,Uluberia,GEN,Sajda Ahmed,AITC,52,724622,Arunuday Paulchowdhury,BJP,36,505949,15,218673
490,490,490,West Bengal,Serampore,GEN,Kalyan Banerjee,AITC,45,673970,Kabir Shankar Bose,BJP,33,499140,11,174830
491,491,491,West Bengal,Hooghly,GEN,Rachna Banerjee,AITC,46,702744,Locket Chatterjee,BJP,41,625891,5,76853
492,492,492,West Bengal,Arambagh,SC,Mitali Bag,AITC,45,712587,Arup Kanti Digar,BJP,45,706188,0,6399
493,493,493,West Bengal,Tamluk,GEN,Abhijit Gangopadhyay,BJP,48,765584,Debangshu Bhattacharya,AITC,43,687851,4,77733
494,494,494,West Bengal,Kanthi,GEN,Soumendu Adhikari,BJP,49,763195,Uttam Barik,AITC,46,715431,3,47764
495,495,495,West Bengal,Ghatal,GEN,Deepak Adhikari (Dev),AITC,52,837990,Hiranmoy Chattopadhyaya,BJP,40,655122,11,182868
496,496,496,West Bengal,Jhargram,ST,Kalipada Saren,AITC,49,743478,Dr. Pranat Tudu,BJP,38,569430,11,174048
497,497,497,West Bengal,Medinipur,GEN,June Maliah,AITC,47,702192,Agnimitra Paul,BJP,45,675001,1,27191
498,498,498,West Bengal,Purulia,GEN,Jyotirmay Singh Mahato,BJP,40,578489,Shantiram Mahato,AITC,39,561410,1,17079
499,499,499,West Bengal,Bankura,GEN,Arup Chakraborty,AITC,44,641813,Subhas Sarkar,BJP,42,609035,2,32778
500,500,500,West Bengal,Bishnupur,SC,Saumitra Khan,BJP,44,680130,Sujata Mondal,AITC,44,674563,0,5567
501,501,501,West Bengal,Bardhaman Purba,SC,Sharmila Sarkar,AITC,48,720302,Asim Kumar Sarkar,BJP,37,559730,10,160572
502,502,502,West Bengal,Bardhaman-Durgapur,GEN,Kirti Azad Jha,AITC,47,720667,Dilip Ghosh,BJP,38,582686,9,137981
503,503,503,West Bengal,Asansol,GEN,Shatrughan Prasad Sinha,AITC,46,605645,Surendrajeet Singh Ahluwalia,BJP,41,546081,4,59564
504,504,504,West Bengal,Bolpur,SC,Asit Kumar Mal,AITC,55,855633,Piya Saha,BJP,34,528380,21,327253
505,505,505,West Bengal,Birbhum,GEN,Satabdi Roy,AITC,47,717961,Debtanu Bhattacharya,BJP,34,520311,12,197650
506,506,506,Andaman And Nicobar Islands,Andaman And Nicobar Islands,GEN,Bishnu Pada Ray,BJP,50,102436,Kuldeep Rai Sharma,INC,38,78040,12,24396
507,507,507,Andhra Pradesh,Araku,ST,Gumma Thanuja Rani,YSRCP,40,477005,Kothapalli Geetha,BJP,36,426425,4,50580
508,508,508,Arunachal Pradesh,Arunachal West,ST,Kiren Rijiju,BJP,51,205417,Nabam Tuki,INC,26,104679,25,100738
509,509,509,Assam,Kokrajhar,ST,Joyanta Basumatary,UPPL,39,488995,Kampa Borgoyari,BPF,35,437412,4,51583
510,510,510,Bihar,Valmiki Nagar,GEN,Sunil Kumar,JD(U),47,523422,Deepak Yadav,RJD,38,424747,9,98675
511,511,511,Chandigarh,Chandigarh,GEN,Manish Tewari,INC,48,216657,Sanjay Tandon,BJP,47,214153,0,2504
512,512,512,Chhattisgarh,Surguja,ST,Chintamani Maharaj,BJP,49,713200,Shashi Singh,INC,44,648328,4,64822
513,513,513,Dadra And Nagar Haveli And Daman And Diu,Daman And Diu,GEN,Patel Umeshbhai Babubhai,Independent,46,42523,Lalubhai Babubhai Patel,BJP,39,36298,6,6225
514,514,514,Delhi,Chandni Chowk,GEN,Praveen Khandelwal,BJP,53,516496,Jai Prakash Agarwal,INC,44,427171,9,89325
515,515,515,Goa,North Goa,GEN,Shripad Yesso Naik,BJP,56,257326,Ramakant Khalap,INC,30,141311,25,116015
516,516,516,Gujarat,Kachchh,SC,Vinodbhai Chavda,BJP,60,659574,Nitishbhai Lalan,INC,35,390792,25,268782
517,517,517,Haryana,Ambala,SC,Varun Chaudhary,INC,49,663657,Banto Kataria,BJP,45,614621,3,49036
518,518,518,Himachal Pradesh,Kangra,GEN,Rajeev Bhardwaj,BJP,61,632793,Anand Sharma,INC,36,380898,24,251895
519,519,519,Jammu And Kashmir,Baramulla,GEN,Abdul Rashid Sheikh,Independent,45,472481,Omar Abdullah,JKNC,25,268339,19,204142
520,520,520,Jharkhand,Rajmahal,ST,Vijay Kumar Hansdak,JMM,50,613371,Tala Marandi,BJP,35,435107,14,178264
521,521,521,Karnataka,Chikkodi,GEN,Priyanka Jarkiholi,INC,51,713461,Annasaheb Shankar Jolle,BJP,44,622627,6,90834
522,522,522,Kerala,Kasaragod,GEN,Rajmohan Unnithan,INC,44,490659,M. V. Balakrishnan,CPI(M),35,390010,9,100649
523,523,523,Ladakh,Ladakh,ST,Mohmad Haneefa,Independent,48,37397,Tsering Namgyal,INC,27,65259,20,27862
524,524,524,Lakshadweep,Lakshadweep,ST,Muhammed Hamdulla Sayeed,INC,52,25726,Mohammed Faizal Padippura,NCP-SP,46,23079,5,2647
525,525,525,Madhya Pradesh,Morena,GEN,Shivmangal Singh Tomar,BJP,43,515477,Neetu Satyapal Singh Sikarwar,INC,38,462947,4,52530
526,526,526,Maharashtra,Nandurbar,ST,Gowaal Kagada Padavi,INC,53,745998,Dr Heena Vijaykumar Gavit,BJP,42,586878,11,159120
527,527,527,Manipur,Inner Manipur,GEN,Angomcha Bimol Akoijam,INC,46,374017,Thounaojam Basanta Kumar Singh,BJP,33,264216,13,109801
528,528,528,Meghalaya,Shillong,ST,Ricky AJ Syngkon,VPP,55,571078,Vincent H. Pala,INC,19,199168,35,371910
529,529,529,Mizoram,Mizoram,ST,Richard Vanlalhmangaiha,ZPM,42,208552,K. Vanlalvena,MNF,28,140264,13,68288
530,530,530,Nagaland,Nagaland,ST,S. Supongmeren Jamir,INC,52,401951,Chumben Murry,NDPP,46,350967,6,50984
531,531,531,Odisha,Bargarh,GEN,Pradeep Purohit,BJP,54,716359,Parinita Mishra,BJD,35,464692,19,251667
532,532,532,Puducherry,Puducherry,GEN,V. Vaithilingam,INC,52,426005,A. Namassivayam,BJP,35,289489,16,136516
533,533,533,Punjab,Gurdaspur,GEN,Sukhjinder Singh Randhawa,INC,33,364043,Dinesh Singh,BJP,26,281182,7,82861
534,534,534,Rajasthan,Ganganagar,SC,Kuldeep Indora,INC,51,726492,Priyanka Balan Meghwal,BJP,45,638339,6,88153
535,535,535,Sikkim,Sikkim,GEN,Indra Hang Subba,SKM,42,164396,Bharat Basnett,Citizen Action Party (Sikkim),21,83566,21,164396
536,536,536,Tamil Nadu,Thiruvallur,GEN,Sasikanth Senthil,INC,56,796956,V. Pon Balaganapathy,BJP,15,224801,40,572155
537,537,537,Telangana,Adilabad,ST,Godam Nagesh,BJP,45,568168,Athram Suguna,INC,38,477516,7,90652
538,538,538,Tripura,Tripura West,GEN,Biplab Kumar Deb,BJP,72,881341,Ashish Kumar Saha,INC,22,269763,50,611578
539,539,539,Uttar Pradesh,Saharanpur,GEN,Imran Masood,INC,44,547967,Raghav Lakhanpal,BJP,39,483425,5,64542
540,540,540,Uttarakhand,Tehri Garhwal,GEN,Mala Rajya Lakshmi Shah,BJP,53,462603,Jot Singh Gunsola,INC,22,190110,31,272493
541,541,541,West Bengal,Cooch Behar,SC,Jagadish Chandra Barma Basunia,AITC,48,788375,Nisith Pramanik,BJP,46,749125,2,39250
