,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,0,Andhra Pradesh,1,Srikakulam,GEN,Viswanatham Kanithi,M,INC,288263,Appayyadora Hanumanthu,M,TDP,238149,50114,1989
1,1,Andhra Pradesh,2,Parvathipuram,ST,Vijayaramaraju Satrucharla,M,INC,284228,Kishorechandra Suryanarayana Deo Vyricherla,M,ICS(SCS),241587,42641,1989
2,2,Andhra Pradesh,3,Bobbili,GEN,Komburi Ram Mohan Rao,M,TDP,325809,Anand Gajapathi Raju Poosapati,M,INC,285865,39944,1989
3,3,Andhra Pradesh,4,Visakhapatnam,GEN,Uma Gajapathi Raju Poosapati,F,INC,352326,M.V.V.S. Murthy,M,TDP,326593,25733,1989
4,4,Andhra Pradesh,5,Bhadrachalam,ST,Kariyeddula Kamala Kumari,F,INC,270648,Ramaith Sode,M,CPI,246662,23986,1989
5,5,Andhra Pradesh,6,Anakapalli,GEN,Konathala Ramakrishna,M,INC,299109,Appalanarasimham,M,TDP,299100,9,1989
6,6,Andhra Pradesh,7,Kakinada,GEN,Mallipudi Mangapathi Pallamraju,M,INC,383681,Thota Gopala Krishna,M,TDP,300698,82983,1989
7,7,Andhra Pradesh,8,Rajahmundry,GEN,Jamuna,F,INC,386314,Chundru Srihari,M,TDP,327992,58322,1989
8,8,Andhra Pradesh,9,Amalapuram,SC,Kusuma Krishna Murty,M,INC,339419,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,M,TDP,284638,54781,1989
9,9,Andhra Pradesh,10,Narsapuram,GEN,Bhupatiraju Vijaya Kumar Raju,M,TDP,334215,Nachu Seshagiri Rao,M,INC,320413,13802,1989
10,10,Andhra Pradesh,11,Eluru,GEN,Krishana,M,INC,410708,Bolla Bulli Ramalah,M,TDP,339301,71407,1989
11,11,Andhra Pradesh,12,Machilipatnam,GEN,Sambasivarao Kavuri,M,INC,354533,Boppana Gangadhara Chaudry,M,TDP,311044,43489,1989
12,12,Andhra Pradesh,13,Vijayawada,GEN,Chennupati Vidya,F,INC,423867,Vadde Sobhanadreeswarrarao,M,TDP,365663,58204,1989
13,13,Andhra Pradesh,14,Tenali,GEN,Basavapannayya Singam,M,INC,345150,Ummareddy Venkateswarlu,M,TDP,280962,64188,1989
14,14,Andhra Pradesh,15,Guntur,GEN,N.G.Ranga,M,INC,404558,Koteswararao M.S.S,M,TDP,339545,65013,1989
15,15,Andhra Pradesh,16,Bapatla,GEN,Salagala Benjamin,M,INC,364008,Muppavarapu Venkaiah Naidu,M,BJP,320388,43620,1989
16,16,Andhra Pradesh,17,Narasaraopet,GEN,Kasu Venkata Krishna Reddy,M,INC,402289,Pidatala Renga Reddy,M,TDP,336583,65706,1989
