,State,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,Andhra Pradesh,Srikakulam,GEN,Viswandham Kanithi,M,INC,235641,Appayyadora Hanumanthli,M,TDP,208977,26664,1991
1,Andhra Pradesh,Parvathipuram,ST,Vijayaramaraju Satrucharla,M,INC,279415,Kishore Chandra Suryanarayanadeo Viricherla,M,ICS(SCS),229903,49512,1991
2,Andhra Pradesh,Bobbili,GEN,Ananda Gajapathi Raju Poosapathi,M,INC,280335,Kemburu Rama Mohana Rao,M,TDP,252211,28124,1991
3,Andhra Pradesh,Visakhapatnam,GEN,M.V.V.S. Murthi,M,TDP,289793,Uma Gajapathiraju (W),F,INC,284655,5138,1991
4,Andhra Pradesh,Bhadrachalam,ST,Karreddula Kamalakumari (W),F,INC,238956,Ramaiah Sode,M,CPI,194785,44171,1991
5,Andhra Pradesh,Anakapalli,GEN,Konathala Ramakrishna,M,INC,261311,Appalanarasimham P.,M,TDP,250153,11158,1991
6,Andhra Pradesh,Kakinada,GEN,Thota Subbarao,M,TDP,287357,Mangapati Pallamraju Mallipudi,M,INC,252040,35317,1991
7,Andhra Pradesh,Rajahmundry,GEN,K.V.R. Chowdary,M,TDP,315556,Jamuna (W),F,INC,253547,62009,1991
8,Andhra Pradesh,Amalapuram,SC,Balayogi G.M.C.,M,TDP,273490,Kusunma Krishan Murthy,M,INC,186003,87487,1991
9,Andhra Pradesh,Narsapuram,GEN,Vijayakumar Raju Bhupathiraju,M,TDP,317703,Krishnam Raju,M,INC,259154,58549,1991
10,Andhra Pradesh,Eluru,GEN,Bolla Bulliramaiah,M,TDP,360312,Krishna,M,INC,312657,47655,1991
11,Andhra Pradesh,Machilipatnam,GEN,K.P. Reddaiah,M,TDP,298348,Sambasiva Rao Kavuri,M,INC,271026,27322,1991
12,Andhra Pradesh,Vijayawada,GEN,Vadde Sobhandreswara Rao,M,TDP,326890,Chennupati Vidya (W),F,INC,290669,36221,1991
13,Andhra Pradesh,Tenali,GEN,Ummareddy Venkateswarlu,M,TDP,252900,Basavapunnaiah Singam,M,INC,242729,10171,1991
14,Andhra Pradesh,Guntur,GEN,Lal Jan Basha S.M,M,TDP,307073,N.G. Ranga,M,INC,292329,14744,1991
15,Andhra Pradesh,Bapatla,GEN,Venkateswara Rao Daggubati,M,TDP,285778,Salagala Benjamin,M,INC,284681,1097,1991
16,Andhra Pradesh,Narasaraopet,GEN,Kasu Venkata Krishna Reddy,M,INC,349041,Anisetty Padmavathi (W),F,TDP,286425,62616,1991
17,Andhra Pradesh,Ongole,GEN,Mangunta Subbarama Reddy,M,INC,329913,Dega Narasimha Reddy,M,TDP,290583,39330,1991
18,Andhra Pradesh,Nellore,SC,Kudumula Padmasre (W),F,INC,268626,M. Nagabhushanamma (W),F,TDP,223769,44857,1991
19,Andhra Pradesh,Tirupati,SC,Chinta Mohan,M,INC,391534,P. Subbaiah,M,TDP,205345,186189,1991
20,Andhra Pradesh,Chittoor,GEN,M. Gnanendra Reddy,M,INC,373631,Gurram V. Sreenatha Reddy,M,TDP,263649,109982,1991
21,Andhra Pradesh,Rajampet,GEN,Annaiahgari Saiprathap,M,INC,325107,Palakondrayudu Sugavasi,M,TDP,162813,162294,1991
22,Andhra Pradesh,Kadapa,GEN,Y.S. Rajasekhar Reddy,M,INC,583953,C.Ramachandraiah,M,TDP,165028,418925,1991
23,Andhra Pradesh,Hindupur,GEN,S. Gangadhara,M,INC,317078,K. Ramachandra Reddy,M,TDP,217965,99113,1991
24,Andhra Pradesh,Anantapur,GEN,Anantha Venkata Reddy,M,INC,362676,B.T.L.N. Chowdary,M,TDP,200392,162284,1991
25,Andhra Pradesh,Kurnool,GEN,K. Vijaya Bhaskara Reddy,M,INC,302352,S.V. Subba Reddy,M,TDP,249885,52467,1991
26,Andhra Pradesh,Kurnool,GEN,K.J.S. Prakash Reddy,M,INC,293922,S.V.S. Reddy,M,TDP,274276,19646,1991
27,Andhra Pradesh,Nandyal,GEN,Gangula Prathapa Reddy,M,INC,377556,Challa Rama Krishna Reddy,M,TDP,190790,186766,1991
28,Andhra Pradesh,Nandyal,GEN,P.V.N.Rao,M,INC,626241,B.Laxman,M,BJP,45944,580297,1991
29,Andhra Pradesh,Nagarkurnool,SC,Mallu Ravi,M,INC,259128,Mahendranath P.,M,TDP,208888,50240,1991
30,Andhra Pradesh,Mahabubnagar,GEN,Mallikarjun,M,INC,217072,Dyapa Gopal Reddy,M,TDP,184910,32162,1991
31,Andhra Pradesh,Hyderabad,GEN,Sultan Salahuddin Owaisi,M,MIM,454823,Baddam Bal Reddy,M,BJP,415299,39524,1991
32,Andhra Pradesh,Secunderabad,GEN,Bandaru Dattatraya,M,BJP,253924,T. Manemma Anjaiah (W),F,INC,168861,85063,1991
33,Andhra Pradesh,Siddipet,SC,Yellaiah Nandi,M,INC,300629,G. Vijaya Rama Rao,M,TDP,185367,115262,1991
34,Andhra Pradesh,Medak,GEN,N. Baga Reddy,M,INC,313740,D. Rama Krishna,M,TDP,173590,140150,1991
35,Andhra Pradesh,Nizamabad,GEN,Gaddam Ganga Reddy,M,TDP,257297,T. Aduri Bala Goud,M,INC,188949,68348,1991
36,Andhra Pradesh,Adilabad,GEN,Allola Indrakaran Reddy,M,TDP,208792,P. Narasa Reddy,M,INC,168816,39976,1991
37,Andhra Pradesh,Peddapalli,SC,G. Venkat Swamy,M,INC,251019,Suddala Devaiah,M,TDP,141054,109965,1991
38,Andhra Pradesh,Karimnagar,GEN,Chokka Rao Juvvadi,M,INC,223914,Krishnaiah N.V.,M,IND,106378,117536,1991
39,Andhra Pradesh,Hanamkonda,GEN,Kamaluddin Ahmed,M,INC,188278,Vanga Sundershan Reddy,M,TDP,123815,64463,1991
40,Andhra Pradesh,Warangal,GEN,Surendra Reddy Rama Sahayam,M,INC,258733,Nemarugommula Yethiraja Rao,M,TDP,206860,51873,1991
41,Andhra Pradesh,Khammam,GEN,Rangayya Nayudu P.V.,M,INC,316186,Tammineni Veerabhadram,M,CPI,310268,5918,1991
42,Andhra Pradesh,Nalgonda,GEN,Bommagani Dharma Biksham,M,CPI,282904,Chakilam Srinivasa Rao,M,INC,214327,68577,1991
43,Andhra Pradesh,Miryalguda,GEN,Bheemireddy Narsimha Reddy,M,CPI,309249,B.N. Reddy,M,INC,300986,8263,1991
44,Arunachal Pradesh,Arunachal West,GEN,Prem Khandu Thungon,M,INC,103249,Kamen Ringu,M,JD,35668,67581,1991
45,Arunachal Pradesh,Arunachal East,GEN,Laeta Umbrey,M,INC,76575,Chau Khouk Manpoong,M,JD,28712,47863,1991
46,Assam,Karimganj,SC,Dwarka Nath Das,M,BJP,231810,Jatindra Chandra Das,M,JD,182057,49753,1991
47,Assam,Silchar,GEN,Kabindra Purkayastha,M,BJP,204201,Nurul Huda,M,CPI,193350,10851,1991
