,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
0,0,Andhra Pradesh,1,Srikakulam,GEN,Yerrannaidu Kinjarapu,M,TDP,361906,Killi Kruparani,M,INC,330027,31879,2004
1,1,Andhra Pradesh,2,Parvathipuram,ST,Kishore Chandra Suryanarayana Deo Vyricherla,M,INC,321788,Dadichiluka Veera Gouri Sankara Rao,M,TDP,314370,7418,2004
2,2,Andhra Pradesh,3,Bobbili,GEN,Kondapalli Pydithalli Naidu,M,TDP,373922,Jhansi Botcha,M,INC,342574,31348,2004
3,3,Andhra Pradesh,By Polls (2006),Bobbili,GEN,Jhansi Lakshmi Botcha,F,INC,334321,Appalanaidu Kondapalli,M,TDP,334164,157,2004
4,4,Andhra Pradesh,4,Visakhapatnam,GEN,Janardhana Reddy Nedurumalli,M,INC,524122,Dr.M.V.V.S.Murthy,M,TDP,393551,130571,2004
5,5,Andhra Pradesh,5,Bhadrachalam,ST,Midiyam Babu Rao,M,CPM,373148,Smt.Kprk Phaneeswaramma,M,TDP,319342,53806,2004
6,6,Andhra Pradesh,6,Anakapalli,GEN,Chalapathirao Pappala,M,TDP,385406,Nanda Gopal Gandham,M,INC,369992,15414,2004
7,7,Andhra Pradesh,7,Kakinada,GEN,Mallipudi Mangapati Pallam Raju,M,INC,410982,Mudragada Padmanabham,M,TDP,353730,57252,2004
8,8,Andhra Pradesh,8,Rajahmundry,GEN,Aruna Kumar Vundavalli,M,INC,413927,Kantipudi Sarvarayudu,M,BJP,265107,148820,2004
9,9,Andhra Pradesh,9,Amalapuram,SC,G.V. Harsha Kumar,M,INC,350346,Dunna Janardhana Rao,M,TDP,308861,41485,2004
10,10,Andhra Pradesh,10,Narsapuram,GEN,Chegondi Venkata Harirama Jogaiah,M,INC,402761,Uppalapati Venkatakrishnam Raju,M,BJP,338349,64412,2004
11,11,Andhra Pradesh,11,Eluru,GEN,Kavuru  Samba Siva Rao,M,INC,499191,Bolla Bulli Ramaiah,M,TDP,375900,123291,2004
12,12,Andhra Pradesh,12,Machilipatnam,GEN,Badiga Ramakrishna,M,INC,387127,Ambati Brahmanaiah,M,TDP,336786,50341,2004
13,13,Andhra Pradesh,13,Vijayawada,GEN,Rajagopal Lagadapati,M,INC,519624,Aswini Dutt Chalasani,M,TDP,405037,114587,2004
14,14,Andhra Pradesh,14,Tenali,GEN,Balashowry Vallabhaneni,M,INC,366843,Ummareddy Venkateswarlu,M,TDP,288287,78556,2004
15,15,Andhra Pradesh,15,Guntur,GEN,Rayapati  Sambasiva Rao,M,INC,466221,Y. V. Rao,M,TDP,336429,129792,2004
16,16,Andhra Pradesh,16,Bapatla,GEN,Daggubati Purandareswari,F,INC,411099,Daggubati Ramanaidu,M,TDP,317017,94082,2004
17,17,Andhra Pradesh,17,Narasaraopet,GEN,Mekapati Rajamohan Reddy,M,INC,481310,Maddi Lakshmaiah,M,TDP,395055,86255,2004
18,18,Andhra Pradesh,18,Ongole,GEN,Sreenivasulu Reddy Magunta,M,INC,446584,Bathula Vijaya Bharathi,M,TDP,340563,106021,2004
19,19,Andhra Pradesh,19,Nellore,SC,Panabaka Lakshmi,F,INC,450129,Balakondaiah Karupotala,M,BJP,321905,128224,2004
20,20,Andhra Pradesh,20,Tirupati,SC,Chinta Mohan,M,INC,510961,Dr. N. Venkata Swamy,M,BJP,311633,199328,2004
21,21,Andhra Pradesh,21,Chittoor,GEN,D.K. Audikesavulu,M,TDP,454128,Dr. Ravuri Venkata Swamy,M,INC,391990,62138,2004
22,22,Andhra Pradesh,22,Rajampet,GEN,Annayyagari Sai Prathap,M,INC,369797,Gunipati Ramaiah,M,TDP,291712,78085,2004
23,23,Andhra Pradesh,23,Kadapa,GEN,Y.S. Vivekananda Reddy,M,INC,461431,Venkata Mysura Reddy Mule,M,TDP,329757,131674,2004
24,24,Andhra Pradesh,24,Hindupur,GEN,Nizamoddin,M,INC,419744,B.K.Pardhasarathi,M,TDP,417904,1840,2004
25,25,Andhra Pradesh,25,Anantapur,GEN,Anantha Venkata Rami Reddy,M,INC,458925,Kalava Srinivasulu,M,TDP,385521,73404,2004
26,26,Andhra Pradesh,26,Kurnool,GEN,Kotla Jayasurya Prakasha Reddy,M,INC,433529,Kambalapadu Ediga Krishnamurthi,M,TDP,332431,101098,2004
27,27,Andhra Pradesh,27,Nandyal,GEN,S. P. Y. Reddy,M,INC,458526,Bhuma Shobha Nagi Reddy,M,TDP,346847,111679,2004
28,28,Andhra Pradesh,28,Nagarkurnool,SC,Dr.Manda Jagannath,M,TDP,405046,K.S.Ratnam,M,IND,305396,99650,2004
29,29,Andhra Pradesh,29,Mahabubnagar,GEN,D. Vittal Rao,M,INC,428764,Yelkoti Yella Reddy,M,TDP,380857,47907,2004
30,30,Andhra Pradesh,30,Hyderabad,GEN,Asaduddin Owaisi,M,AIMIM,378854,G.Subash Chanderji,M,BJP,278709,100145,2004
31,31,Andhra Pradesh,31,Secunderabad,GEN,M. Anjan Kumar Yadav,M,INC,485710,Bandaru Dattatraya,M,BJP,416952,68758,2004
32,32,Andhra Pradesh,32,Siddipet,SC,Sarvey Sathyanarayana,M,INC,593879,Dr.K.Lingaiah,M,TDP,454907,138972,2004
33,33,Andhra Pradesh,33,Medak,GEN,A. Narendra,M,TRS,453738,P Ramachandra Reddy,M,BJP,329972,123766,2004
34,34,Andhra Pradesh,34,Nizamabad,GEN,Madhu Goud Yaskhi,M,INC,442142,Syed Yousuf Ali,M,TDP,304271,137871,2004
